Rank,Pokemon,Weighted Usage %
1,Landorus-Therian,43.73809
2,Magearna,26.88129
3,Greninja-Ash,20.12411
4,Kartana,18.62045
5,Tapu Koko,18.109
6,Ferrothorn,16.99164
7,Heatran,15.74237
8,Tornadus-Therian,15.37292
9,Tapu Lele,13.57249
10,Greninja,12.35106
11,Zapdos,11.66003
12,Tapu Fini,11.01451
13,Garchomp,10.96453
14,Toxapex,10.33233
15,Excadrill,10.20868
16,Tapu Bulu,9.96015
17,Rotom-Wash,8.8096
18,Chansey,8.28496
19,Pelipper,8.25611
20,Mawile-Mega,8.21929
21,Swampert-Mega,8.20482
22,Celesteela,8.1904
23,Medicham-Mega,8.17
24,Serperior,7.95993
25,Victini,7.80589
26,Hawlucha,6.91644
27,Clefable,6.82246
28,Kommo-o,6.71344
29,Tangrowth,6.56738
30,Scizor-Mega,6.42253
31,Magnezone,6.39264
32,Kyurem-Black,5.87512
33,Skarmory,5.85594
34,Tyranitar,5.75572
35,Volcarona,5.68754
36,Keldeo,5.68299
37,Jirachi,5.65346
38,Gliscor,5.50001
39,Alakazam-Mega,5.26848
40,Charizard-Mega-X,5.19961
41,Lopunny-Mega,5.18065
42,Diancie-Mega,5.17352
43,Gyarados-Mega,4.93641
44,Pinsir-Mega,4.5508
45,Blacephalon,4.44765
46,Charizard-Mega-Y,4.17901
47,Venusaur-Mega,3.93165
48,Tyranitar-Mega,3.80427
49,Hoopa-Unbound,3.79298
50,Azumarill,3.66142
51,Mew,3.55233
52,Mimikyu,3.26781
53,Bisharp,3.12315
54,Latias-Mega,3.11884
55,Sableye-Mega,2.91329
56,Dragonite,2.73249
57,Kingdra,2.46837
58,Hippowdon,2.36154
59,Weavile,2.2874
60,Manaphy,2.2766
61,Reuniclus,2.25197
62,Araquanid,2.15444
63,Cresselia,2.12308
64,Gastrodon,1.97545
65,Crawdaunt,1.94715
66,Ditto,1.91035
67,Ribombee,1.83183
68,Hydreigon,1.80695
69,Marowak-Alola,1.7898
70,Latios-Mega,1.73055
71,Garchomp-Mega,1.67095
72,Thundurus,1.66323
73,Latios,1.59812
74,Volcanion,1.59321
75,Gyarados,1.51859
76,Muk-Alola,1.46487
77,Thundurus-Therian,1.41365
78,Amoonguss,1.40486
79,Heracross-Mega,1.40282
80,Gallade-Mega,1.39777
81,Slowbro,1.30666
82,Salamence,1.23544
83,Mamoswine,1.22569
84,Manectric-Mega,1.18705
85,Conkeldurr,1.14001
86,Shuckle,1.11415
87,Breloom,1.09777
88,Beedrill-Mega,1.0958
89,Quagsire,1.07053
90,Gengar,1.05739
