Rank,Pokemon,Weighted Usage %
1,Landorus-Therian,51.74725
2,Magearna,24.47485
3,Tapu Koko,20.95282
4,Greninja-Ash,18.29296
5,Heatran,17.1804
6,Kartana,16.18864
7,Naganadel,16.11623
8,Ferrothorn,14.82629
9,Tapu Lele,14.58256
10,Zygarde,12.90239
11,Toxapex,12.73636
12,Greninja,11.94879
13,Tyranitar,11.60192
14,Excadrill,10.34095
15,Tapu Bulu,9.79704
16,Celesteela,9.11298
17,Scizor-Mega,8.9957
18,Blacephalon,8.64258
19,Latios,8.61765
20,Keldeo,8.45295
21,Mimikyu,8.42059
22,Lopunny-Mega,7.84118
23,Chansey,7.78158
24,Pinsir-Mega,7.66855
25,Hawlucha,7.29428
26,Zapdos,7.28799
27,Clefable,7.2875
28,Tapu Fini,6.95666
29,Magnezone,6.55018
30,Gyarados-Mega,6.45462
31,Tangrowth,6.30205
32,Mawile-Mega,6.195
33,Bisharp,6.18037
34,Skarmory,6.09451
35,Stakataka,5.71995
36,Medicham-Mega,5.71478
37,Mew,5.53084
38,Kyurem-Black,4.96948
39,Diancie-Mega,4.96921
40,Garchomp,4.84632
41,Charizard-Mega-X,4.61009
42,Tyranitar-Mega,4.4675
43,Venusaur-Mega,4.46448
44,Victini,4.30127
45,Volcarona,4.13524
46,Marowak-Alola,4.07077
47,Pelipper,3.94934
48,Sableye-Mega,3.75048
49,Rotom-Wash,3.72853
50,Swampert-Mega,3.52389
51,Alakazam-Mega,3.22161
52,Charizard-Mega-Y,2.97736
53,Shuckle,2.90917
54,Cresselia,2.82339
55,Gliscor,2.73816
56,Hoopa-Unbound,2.68425
57,Latias-Mega,2.66635
58,Serperior,2.63028
59,Ditto,2.48626
60,Gengar,2.46922
61,Uxie,2.36679
62,Ninetales-Alola,2.31001
63,Weavile,2.28313
64,Tornadus-Therian,2.10079
65,Mantine,2.08059
66,Jirachi,2.05847
67,Kommo-o,2.02158
68,Kingdra,1.9648
69,Latios-Mega,1.96285
70,Dragonite,1.90478
71,Crawdaunt,1.90315
72,Ribombee,1.84682
73,Gyarados,1.77079
74,Azumarill,1.54992
75,Quagsire,1.54404
76,Alomomola,1.51566
77,Volcanion,1.49349
78,Hippowdon,1.48177
79,Lycanroc-Dusk,1.4778
80,Manaphy,1.40988
81,Araquanid,1.32407
82,Porygon2,1.25874
83,Buzzwole,1.17139
84,Mamoswine,1.1578
85,Latias,1.14401
86,Manectric-Mega,1.12501
87,Nihilego,1.11932
88,Thundurus,1.11459
89,Gastrodon,1.07551
90,Heracross-Mega,1.07549
91,Amoonguss,1.07053
92,Reuniclus,1.06689
93,Muk-Alola,1.05328
94,Thundurus-Therian,1.02708
