Rank,Pokemon,Weighted Usage %
1,Landorus-Therian,40.70085
2,Magearna,26.10497
3,Greninja-Ash,20.59657
4,Heatran,19.95714
5,Zygarde,18.69877
6,Tapu Koko,17.34755
7,Kartana,16.72606
8,Tornadus-Therian,15.4502
9,Ferrothorn,14.87331
10,Tapu Lele,13.2683
11,Toxapex,12.47011
12,Zapdos,12.43305
13,Tapu Bulu,11.72284
14,Greninja,11.52804
15,Excadrill,11.49599
16,Clefable,10.04167
17,Mawile-Mega,9.99097
18,Chansey,9.85401
19,Tangrowth,9.5151
20,Tapu Fini,8.33379
21,Scizor-Mega,8.14012
22,Garchomp,7.89915
23,Medicham-Mega,7.82464
24,Blacephalon,7.76261
25,Victini,7.15159
26,Serperior,6.83881
27,Celesteela,6.64163
28,Hawlucha,6.52976
29,Gyarados-Mega,6.34439
30,Kyurem-Black,6.23675
31,Charizard-Mega-X,5.95371
32,Alakazam-Mega,5.77426
33,Pelipper,5.7558
34,Swampert-Mega,5.71124
35,Rotom-Wash,5.58276
36,Gliscor,5.46591
37,Pinsir-Mega,5.12134
38,Magnezone,5.09376
39,Skarmory,5.06004
40,Tyranitar,4.96243
41,Mimikyu,4.91776
42,Lopunny-Mega,4.8724
43,Mew,4.8714
44,Volcarona,4.79152
45,Keldeo,4.57297
46,Jirachi,4.4753
47,Sableye-Mega,3.97391
48,Manaphy,3.61287
49,Diancie-Mega,3.57747
50,Charizard-Mega-Y,3.55931
51,Hippowdon,3.28001
52,Tyranitar-Mega,3.08154
53,Hoopa-Unbound,2.92418
54,Weavile,2.33307
55,Bisharp,2.28798
56,Venusaur-Mega,2.28563
57,Gastrodon,2.24746
58,Latias-Mega,2.23981
59,Crawdaunt,2.18311
60,Ribombee,2.13808
61,Gyarados,2.13079
62,Azumarill,2.11631
63,Dragonite,2.09292
64,Reuniclus,2.05704
65,Amoonguss,1.78433
66,Thundurus-Therian,1.78395
67,Heracross-Mega,1.75388
68,Kommo-o,1.75201
69,Ninetales-Alola,1.74692
70,Kingdra,1.72042
71,Ditto,1.71853
72,Araquanid,1.69068
73,Hydreigon,1.65327
74,Mamoswine,1.54279
75,Quagsire,1.53231
76,Muk-Alola,1.50599
77,Marowak-Alola,1.46518
78,Latios-Mega,1.40849
79,Latios,1.39298
80,Shuckle,1.29289
81,Slowbro,1.28436
82,Volcanion,1.27791
83,Garchomp-Mega,1.25679
84,Cresselia,1.1997
85,Salamence,1.15021
86,Xurkitree,1.1227
87,Gengar,1.10322
88,Buzzwole,1.0991
89,Slowbro-Mega,1.09139
90,Aggron-Mega,1.01446
91,Alomomola,1.0039
