Rank,Pokemon,Weighted Usage %
1,Landorus-Therian,49.06947
2,Magearna,24.94738
3,Tapu Koko,24.87027
4,Kartana,22.23371
5,Chansey,19.68686
6,Greninja-Ash,17.79955
7,Heatran,16.65278
8,Toxapex,16.6257
9,Zygarde,15.03473
10,Clefable,15.00448
11,Ferrothorn,14.86256
12,Zapdos,14.65988
13,Tapu Lele,14.51889
14,Hawlucha,12.56957
15,Skarmory,12.37146
16,Scizor-Mega,12.16112
17,Tapu Bulu,10.68086
18,Sableye-Mega,9.15204
19,Medicham-Mega,8.70398
20,Tangrowth,8.14294
21,Greninja,7.94011
22,Excadrill,7.76582
23,Kyurem-Black,7.57288
24,Tornadus-Therian,6.87111
25,Keldeo,6.6965
26,Celesteela,6.68764
27,Venusaur-Mega,6.39307
28,Mawile-Mega,5.80663
29,Magnezone,5.76733
30,Tyranitar,5.65028
31,Mew,5.56775
32,Jirachi,5.4995
33,Pinsir-Mega,5.28252
34,Amoonguss,5.02318
35,Lopunny-Mega,4.9135
36,Gyarados-Mega,4.83167
37,Latios,4.63935
38,Mimikyu,4.48995
39,Blacephalon,4.36179
40,Gliscor,4.22262
41,Victini,4.21646
42,Bisharp,4.1633
43,Quagsire,4.04446
44,Pelipper,3.93433
45,Garchomp,3.90938
46,Diancie-Mega,3.74549
47,Hippowdon,3.70201
48,Swampert-Mega,3.68346
49,Alakazam-Mega,3.65535
50,Weavile,3.63069
51,Charizard-Mega-X,3.40682
52,Tapu Fini,3.2907
53,Mantine,3.254
54,Ditto,3.22279
55,Hoopa-Unbound,3.1332
56,Latias-Mega,3.02687
57,Volcarona,2.89146
58,Rotom-Wash,2.83939
59,Tyranitar-Mega,2.43325
60,Alomomola,2.19559
61,Latios-Mega,2.03445
62,Gyarados,1.98403
63,Gastrodon,1.91065
64,Ninetales-Alola,1.90613
65,Muk-Alola,1.86816
66,Gengar,1.81698
67,Slowbro-Mega,1.77189
68,Serperior,1.72756
69,Dragonite,1.66931
70,Kingdra,1.61458
71,Charizard-Mega-Y,1.56905
72,Nidoking,1.43695
73,Cresselia,1.43253
74,Scizor,1.37178
75,Manaphy,1.3379
76,Marowak-Alola,1.31709
77,Thundurus,1.29394
78,Hydreigon,1.26907
79,Seismitoad,1.25133
80,Nidoqueen,1.24383
81,Buzzwole,1.23931
82,Azumarill,1.19165
83,Latias,1.17748
84,Suicune,1.11714
85,Araquanid,1.1115
86,Shedinja,1.08842
