Rank,Pokemon,Weighted Usage %
1,Landorus-Therian,42.6537
2,Incineroar,39.55284
3,Tapu Lele,29.75038
4,Metagross-Mega,28.28198
5,Tapu Fini,24.40152
6,Zapdos,22.24529
7,Tapu Bulu,20.08412
8,Gengar-Mega,18.3514
9,Amoonguss,16.66822
10,Tapu Koko,14.55549
11,Zygarde,14.09227
12,Hoopa-Unbound,13.04842
13,Pelipper,12.47656
14,Kyurem-Black,11.84853
15,Kingdra,11.14891
16,Genesect,10.96936
17,Ferrothorn,10.33788
18,Deoxys-Attack,10.03505
19,Diancie,9.58891
20,Scrafty,8.85782
21,Kommo-o,8.36346
22,Kartana,8.1271
23,Heatran,7.85683
24,Charizard-Mega-Y,6.59972
25,Suicune,6.11147
26,Milotic,6.04261
27,Volcanion,5.6778
28,Volcarona,5.50153
29,Camerupt-Mega,5.04028
30,Ninetales-Alola,4.95536
31,Excadrill,4.92539
32,Gardevoir-Mega,4.82633
33,Diancie-Mega,4.75984
34,Celesteela,4.74326
35,Tyranitar,4.44495
36,Aerodactyl,4.41494
37,Porygon2,4.10387
38,Aegislash,3.90842
39,Bronzong,3.72698
40,Stakataka,3.68977
41,Tyranitar-Mega,3.4162
42,Araquanid,3.41001
43,Gyarados-Mega,3.37929
44,Chansey,3.35347
45,Mew,3.26437
46,Manectric-Mega,3.13691
47,Whimsicott,3.04523
48,Torkoal,2.98663
49,Zeraora,2.98045
50,Cresselia,2.94136
51,Shuckle,2.90328
52,Salamence-Mega,2.78214
53,Abomasnow-Mega,2.77002
54,Raichu-Alola,2.60013
55,Mimikyu,2.51115
56,Gothitelle,2.35726
57,Oranguru,2.34255
58,Blissey,2.27854
59,Swampert-Mega,2.12946
60,Gastrodon,1.95655
61,Victini,1.95366
62,Gigalith,1.89402
63,Venusaur-Mega,1.5921
64,Venusaur,1.59127
65,Garchomp,1.54102
66,Togedemaru,1.50998
67,Blacephalon,1.48251
68,Dusclops,1.44775
69,Arcanine,1.37396
70,Scizor-Mega,1.33074
71,Staraptor,1.32863
72,Smeargle,1.26093
73,Hippowdon,1.19687
74,Mawile-Mega,1.1929
75,Blastoise-Mega,1.05991
76,Weavile,1.01358
