Rank,Pokemon,Weighted Usage %
1,Landorus-Therian,28.55258
2,Tapu Fini,25.91167
3,Tapu Lele,25.68741
4,Marshadow,25.6815
5,Hoopa-Unbound,20.92453
6,Zapdos,19.40952
7,Heatran,18.54112
8,Aegislash,18.13509
9,Tapu Koko,16.7382
10,Salamence-Mega,15.5828
11,Tapu Bulu,15.55973
12,Whimsicott,15.20121
13,Deoxys-Attack,13.36144
14,Zygarde,13.13895
15,Diancie-Mega,12.41252
16,Amoonguss,11.40592
17,Volcarona,10.97931
18,Charizard-Mega-Y,10.23325
19,Scrafty,10.20667
20,Diancie,9.56417
21,Weavile,8.70992
22,Ferrothorn,8.55189
23,Gyarados-Mega,7.7334
24,Kyurem-Black,7.67937
25,Gardevoir-Mega,7.59657
26,Bronzong,7.54644
27,Celesteela,7.2159
28,Volcanion,6.76288
29,Tyranitar,6.34486
30,Kartana,6.14594
31,Pelipper,5.49835
32,Snorlax,5.45906
33,Camerupt-Mega,5.1351
34,Genesect,5.07485
35,Metagross-Mega,4.47629
36,Ninetales-Alola,4.43294
37,Tyranitar-Mega,4.03416
38,Ludicolo,3.99572
39,Politoed,3.9471
40,Kingdra,3.8886
41,Excadrill,3.49215
42,Shaymin-Sky,3.45222
43,Venusaur-Mega,3.24194
44,Landorus,3.20715
45,Hawlucha,3.17606
46,Gengar-Mega,3.12035
47,Blastoise-Mega,3.01727
48,Xurkitree,2.89807
49,Gastrodon,2.71636
50,Suicune,2.69538
51,Mimikyu,2.68485
52,Porygon2,2.63973
53,Araquanid,2.6208
54,Bisharp,2.58282
55,Hitmontop,2.48327
56,Marowak-Alola,2.39823
57,Scizor-Mega,2.37091
58,Arcanine,2.33543
59,Azumarill,2.16869
60,Gigalith,2.1516
61,Blaziken,2.11819
62,Victini,2.10741
63,Aerodactyl,2.08261
64,Abomasnow-Mega,2.08131
65,Cresselia,2.07319
66,Rotom-Wash,2.06625
67,Mawile-Mega,2.04769
68,Meloetta,2.03686
69,Nihilego,2.03442
70,Terrakion,2.0328
71,Porygon-Z,2.00439
72,Latios,1.95611
73,Swampert-Mega,1.79072
74,Mew,1.70711
75,Milotic,1.68317
76,Breloom,1.63313
77,Hippowdon,1.59416
78,Pheromosa,1.52691
79,Togekiss,1.46779
80,Lycanroc,1.44071
81,Oranguru,1.33539
82,Dusclops,1.32877
83,Sylveon,1.29137
84,Gyarados,1.25983
85,Torkoal,1.1531
86,Garchomp,1.09937
87,Thundurus,1.09914
88,Salamence,1.07811
89,Smeargle,1.07282
90,Drifblim,1.01478
