Rank,Pokemon,Weighted Usage %
1,Incineroar,42.15583
2,Tapu Koko,25.64032
3,Tapu Fini,25.57461
4,Zygarde,24.58501
5,Tapu Bulu,24.12987
6,Metagross-Mega,23.18957
7,Landorus-Therian,22.2722
8,Tapu Lele,18.37353
9,Suicune,14.55838
10,Kyurem-Black,14.37942
11,Diancie-Mega,14.13814
12,Ferrothorn,12.49766
13,Amoonguss,12.44697
14,Scrafty,11.48572
15,Gengar-Mega,10.91535
16,Kommo-o,10.19686
17,Hoopa-Unbound,9.95886
18,Deoxys-Attack,9.48086
19,Kingdra,8.73422
20,Zapdos,8.67805
21,Pelipper,8.31496
22,Volcanion,8.16795
23,Charizard-Mega-Y,7.54329
24,Volcarona,7.40152
25,Genesect,6.74401
26,Celesteela,6.69259
27,Mew,6.60522
28,Kartana,6.37325
29,Stakataka,6.26333
30,Milotic,5.75986
31,Tyranitar,5.66844
32,Shuckle,5.59144
33,Diancie,5.38093
34,Gothitelle,5.09178
35,Scizor-Mega,5.05802
36,Ninetales-Alola,5.00875
37,Mimikyu,4.74368
38,Camerupt-Mega,4.58724
39,Victini,4.17423
40,Smeargle,4.14202
41,Manectric-Mega,4.1008
42,Blissey,4.08042
43,Excadrill,4.05863
44,Gliscor,4.01346
45,Salamence-Mega,4.01111
46,Heatran,3.88187
47,Whimsicott,3.88062
48,Aerodactyl,3.5892
49,Gardevoir-Mega,3.26543
50,Cresselia,3.1062
51,Torkoal,3.06159
52,Blaziken-Mega,2.95278
53,Staraptor,2.77265
54,Pheromosa,2.70172
55,Aegislash,2.69583
56,Abomasnow-Mega,2.55921
57,Politoed,2.49732
58,Araquanid,2.34069
59,Porygon2,2.15559
60,Swampert-Mega,2.13852
61,Slowking,2.12061
62,Gastrodon,2.03409
63,Gigalith,1.98839
64,Bronzong,1.96046
65,Hippowdon,1.89057
66,Naganadel,1.86603
67,Mawile-Mega,1.81232
68,Shaymin-Sky,1.80044
69,Primarina,1.70328
70,Tyranitar-Mega,1.69531
71,Dragonite,1.65491
72,Dusclops,1.62588
73,Azumarill,1.60233
74,Venusaur,1.56472
75,Rhyperior,1.55209
76,Raichu-Alola,1.42807
77,Scizor,1.35901
78,Togedemaru,1.3539
79,Ludicolo,1.35071
80,Gyarados-Mega,1.34297
81,Oranguru,1.2274
82,Sceptile-Mega,1.03091
