Rank,Pokemon,Weighted Usage %
1,Landorus-Therian,38.62704
2,Magearna,29.20033
3,Greninja-Ash,21.7451
4,Heatran,20.19331
5,Zygarde,17.94971
6,Toxapex,17.58862
7,Zapdos,16.82742
8,Tornadus-Therian,16.64708
9,Chansey,15.82524
10,Kartana,15.67331
11,Clefable,15.62112
12,Tapu Koko,15.37518
13,Ferrothorn,15.10554
14,Tapu Lele,15.01718
15,Tapu Bulu,12.27113
16,Greninja,10.36082
17,Excadrill,10.32367
18,Mawile-Mega,10.08259
19,Tangrowth,9.6394
20,Scizor-Mega,9.36114
21,Skarmory,8.87991
22,Medicham-Mega,8.07248
23,Hawlucha,7.36846
24,Garchomp,7.36535
25,Alakazam-Mega,7.00403
26,Swampert-Mega,6.9916
27,Celesteela,6.98483
28,Gliscor,6.60403
29,Serperior,6.57873
30,Pelipper,6.27611
31,Keldeo,6.1068
32,Latias-Mega,5.89409
33,Charizard-Mega-X,5.34673
34,Tapu Fini,5.15344
35,Magnezone,4.93492
36,Sableye-Mega,4.90997
37,Hippowdon,4.79902
38,Pinsir-Mega,4.67715
39,Lopunny-Mega,4.56456
40,Blacephalon,4.15335
41,Gyarados-Mega,4.10031
42,Kyurem-Black,4.02609
43,Jirachi,4.0225
44,Rotom-Wash,3.89134
45,Tyranitar,3.86732
46,Volcarona,3.70689
47,Diancie-Mega,3.59158
48,Mew,3.48084
49,Victini,3.33095
50,Venusaur-Mega,3.2035
51,Charizard-Mega-Y,2.72293
52,Tyranitar-Mega,2.49764
53,Weavile,2.43134
54,Hoopa-Unbound,2.42864
55,Manaphy,2.41598
56,Bisharp,2.28326
57,Muk-Alola,2.28022
58,Gastrodon,2.17609
59,Mimikyu,2.17259
60,Quagsire,2.16867
61,Azumarill,2.11789
62,Reuniclus,2.08974
63,Marowak-Alola,2.06595
64,Alomomola,2.04939
65,Gyarados,2.02752
66,Thundurus-Therian,1.9506
67,Ninetales-Alola,1.81046
68,Slowbro,1.79336
69,Araquanid,1.75408
70,Amoonguss,1.69618
71,Ditto,1.6844
72,Gengar,1.65734
73,Slowbro-Mega,1.64052
74,Buzzwole,1.60189
75,Hydreigon,1.57254
76,Kingdra,1.51826
77,Mantine,1.48502
78,Terrakion,1.46681
79,Latios-Mega,1.29222
80,Suicune,1.27775
81,Crawdaunt,1.26342
82,Latios,1.25289
83,Scizor,1.07664
84,Shedinja,1.0646
85,Volcanion,1.06001
86,Heracross-Mega,1.01846
