Rank,Pokemon,Weighted Usage %
1,Landorus-Therian,42.48638
2,Magearna,25.54925
3,Ferrothorn,20.6451
4,Heatran,19.19197
5,Tornadus-Therian,18.91862
6,Toxapex,16.97067
7,Kartana,16.05312
8,Greninja-Ash,15.58021
9,Chansey,15.07064
10,Gliscor,13.98108
11,Rotom-Wash,13.33543
12,Skarmory,12.36806
13,Clefable,12.07488
14,Tapu Koko,11.78902
15,Tapu Lele,11.35578
16,Zapdos,10.18063
17,Scizor-Mega,9.24244
18,Mawile-Mega,9.11228
19,Tapu Bulu,8.98518
20,Tapu Fini,8.93332
21,Pelipper,8.69602
22,Garchomp,8.53595
23,Latias-Mega,8.45419
24,Lopunny-Mega,8.12085
25,Keldeo,7.87407
26,Excadrill,7.84313
27,Victini,7.72081
28,Greninja,7.70584
29,Swampert-Mega,7.55333
30,Celesteela,7.43171
31,Medicham-Mega,7.33978
32,Kommo-o,6.55875
33,Manaphy,6.10677
34,Serperior,6.08124
35,Volcarona,5.9744
36,Magnezone,5.96157
37,Hawlucha,5.7334
38,Tangrowth,5.64793
39,Sableye-Mega,5.56093
40,Diancie-Mega,5.48515
41,Bisharp,5.46671
42,Venusaur-Mega,5.3047
43,Ditto,4.93104
44,Jirachi,4.5936
45,Weavile,4.47374
46,Tyranitar,4.37812
47,Kyurem-Black,4.24856
48,Alakazam-Mega,4.2449
49,Reuniclus,3.96539
50,Blacephalon,3.95285
51,Charizard-Mega-Y,3.52252
52,Tyranitar-Mega,3.44757
53,Alomomola,3.08573
54,Charizard-Mega-X,3.07846
55,Pinsir-Mega,2.82587
56,Hoopa-Unbound,2.47619
57,Gastrodon,2.44643
58,Gyarados-Mega,2.23932
59,Azumarill,2.17126
60,Zeraora,2.15078
61,Marowak-Alola,2.13837
62,Quagsire,2.09894
63,Hydreigon,2.09372
64,Mew,2.08549
65,Latios-Mega,1.96543
66,Seismitoad,1.95194
67,Slowbro,1.88649
68,Kingdra,1.86899
69,Dragonite,1.75004
70,Muk-Alola,1.74353
71,Kyurem,1.69856
72,Crawdaunt,1.67719
73,Amoonguss,1.65198
74,Cresselia,1.61606
75,Thundurus-Therian,1.585
76,Mimikyu,1.43724
77,Gyarados,1.39737
78,Shedinja,1.32212
79,Hippowdon,1.21168
80,Stakataka,1.06453
81,Garchomp-Mega,1.04613
