Rank,Pokemon,Weighted Usage %
1,Landorus-Therian,37.54257
2,Magearna,34.28526
3,Kangaskhan-Mega,24.77079
4,Zygarde,21.86936
5,Tapu Lele,20.67947
6,Jirachi,20.4377
7,Heatran,19.12695
8,Salamence-Mega,17.96741
9,Tapu Koko,15.46423
10,Charizard-Mega-Y,12.71819
11,Aegislash,12.69656
12,Celesteela,11.96604
13,Hitmontop,11.4002
14,Cresselia,10.75104
15,Tapu Bulu,10.49118
16,Tapu Fini,9.32943
17,Volcanion,9.27066
18,Amoonguss,9.00914
19,Staraptor,8.50155
20,Ninetales-Alola,8.4946
21,Gengar-Mega,8.02911
22,Pheromosa,7.80375
23,Pelipper,7.50521
24,Deoxys-Attack,6.82847
25,Marowak-Alola,6.76677
26,Venusaur-Mega,6.45984
27,Hoopa-Unbound,6.17031
28,Xurkitree,5.89913
29,Gastrodon,5.65595
30,Kingdra,5.52945
31,Oranguru,5.38907
32,Rotom-Wash,5.25213
33,Arcanine,5.0679
34,Shaymin-Sky,4.9998
35,Scrafty,4.70141
36,Torkoal,4.50851
37,Ninetales,4.48439
38,Raichu,4.24954
39,Milotic,4.2131
40,Hydreigon,4.18576
41,Salazzle,4.08855
42,Azumarill,3.90529
43,Suicune,3.69406
44,Landorus,3.52783
45,Exeggutor-Alola,3.436
46,Diancie,3.43428
47,Kommo-o,3.40036
48,Kartana,3.36219
49,Mimikyu,3.12836
50,Zapdos,3.07807
51,Kyurem-Black,2.82171
52,Raichu-Alola,2.72884
53,Politoed,2.63247
54,Araquanid,2.40963
55,Buzzwole,2.37295
56,Thundurus,2.27682
57,Victini,2.18497
58,Metagross-Mega,2.04186
59,Volcarona,1.97684
60,Crawdaunt,1.94715
61,Sylveon,1.92592
62,Nihilego,1.90494
63,Mudsdale,1.87764
64,Vikavolt,1.85897
65,Mew,1.83304
66,Blastoise-Mega,1.70316
67,Golem-Alola,1.68026
68,Incineroar,1.66576
69,Wishiwashi,1.50192
70,Greninja,1.49907
71,Genesect,1.40053
72,Crabominable,1.37634
73,Scizor-Mega,1.34839
74,Sandslash-Alola,1.34186
75,Alakazam-Mega,1.30193
76,Necrozma,1.27946
77,Tyranitar,1.26071
78,Primarina,1.2324
79,Toxapex,1.23092
80,Comfey,1.20584
81,Greninja-Ash,1.19331
82,Breloom,1.17532
83,Golisopod,1.16429
84,Whimsicott,1.14129
85,Nidoking,1.1323
86,Gyarados,1.09026
87,Cofagrigus,1.08563
88,Bronzong,1.02592
