Rank,Pokemon,Weighted Usage %
1,Landorus-Therian,37.69304
2,Tapu Lele,31.31982
3,Heatran,29.16807
4,Kangaskhan-Mega,24.94744
5,Zapdos,23.58022
6,Salamence-Mega,19.66026
7,Tapu Fini,19.43168
8,Hoopa-Unbound,18.2385
9,Tyranitar,17.58175
10,Tapu Bulu,17.37384
11,Zygarde,16.92946
12,Tapu Koko,15.81675
13,Charizard-Mega-Y,15.11775
14,Aegislash,14.14573
15,Deoxys-Attack,13.83498
16,Metagross-Mega,9.47389
17,Politoed,9.05408
18,Porygon2,7.41209
19,Diancie,7.08503
20,Ferrothorn,7.04894
21,Excadrill,6.9132
22,Celesteela,6.82884
23,Amoonguss,6.74585
24,Mawile-Mega,6.55481
25,Milotic,6.23469
26,Jirachi,6.00095
27,Kingdra,5.94743
28,Genesect,5.74999
29,Terrakion,5.32845
30,Volcanion,5.00981
31,Snorlax,5.00028
32,Kyurem-Black,4.8786
33,Thundurus-Therian,4.80527
34,Gengar-Mega,4.73262
35,Whimsicott,4.72855
36,Bronzong,4.6259
37,Cresselia,4.50519
38,Scrafty,4.3477
39,Ludicolo,4.19455
40,Hydreigon,3.93022
41,Shaymin-Sky,3.76753
42,Garchomp,3.61652
43,Marowak-Alola,3.57088
44,Pelipper,3.50222
45,Suicune,3.42811
46,Gyarados-Mega,3.30882
47,Latios,3.01026
48,Drifblim,2.789
49,Mimikyu,2.61002
50,Ninetales-Alola,2.51665
51,Pheromosa,2.49184
52,Azumarill,2.48498
53,Sylveon,2.38371
54,Kartana,2.36482
55,Mew,2.33563
56,Araquanid,2.33338
57,Victini,2.18002
58,Venusaur,2.12183
59,Thundurus,2.02656
60,Oranguru,1.91886
61,Volcarona,1.85334
62,Greninja-Ash,1.82768
63,Drampa,1.81528
64,Nihilego,1.77804
65,Meloetta,1.76055
66,Crawdaunt,1.71059
67,Muk-Alola,1.60014
68,Gothitelle,1.54334
69,Rotom-Wash,1.52581
70,Venusaur-Mega,1.4916
71,Aerodactyl-Mega,1.48941
72,Weavile,1.44621
73,Rotom-Heat,1.42249
74,Magnezone,1.36745
75,Greninja,1.3206
76,Arcanine,1.27104
77,Hariyama,1.21728
78,Gyarados,1.19295
79,Xurkitree,1.18205
80,Scizor,1.10485
81,Cradily,1.10381
82,Hitmontop,1.08183
83,Togekiss,1.05015
84,Gastrodon,1.01919
