Rank,Pokemon,Weighted Usage %
1,Landorus-Therian,41.956
2,Magearna,27.93232
3,Greninja-Ash,19.50448
4,Ferrothorn,19.06975
5,Kartana,18.06925
6,Tornadus-Therian,17.99445
7,Toxapex,17.50252
8,Tapu Koko,16.50569
9,Heatran,16.38242
10,Tapu Lele,15.5776
11,Chansey,13.05372
12,Skarmory,11.97325
13,Excadrill,11.87905
14,Swampert-Mega,11.28346
15,Zapdos,11.18793
16,Pelipper,10.97742
17,Greninja,10.33312
18,Clefable,10.08426
19,Garchomp,9.97489
20,Tapu Bulu,9.76517
21,Tapu Fini,8.88665
22,Celesteela,8.20394
23,Rotom-Wash,7.97035
24,Charizard-Mega-X,7.03736
25,Tangrowth,7.0259
26,Gliscor,6.68327
27,Medicham-Mega,6.64401
28,Serperior,6.48023
29,Keldeo,6.46351
30,Mawile-Mega,6.34499
31,Latias-Mega,6.08098
32,Lopunny-Mega,5.96049
33,Tyranitar,5.94258
34,Hawlucha,5.71651
35,Jirachi,5.57507
36,Victini,5.29147
37,Venusaur-Mega,5.15252
38,Gyarados-Mega,5.05171
39,Magnezone,5.04195
40,Alakazam-Mega,4.73521
41,Kyurem-Black,4.70004
42,Scizor-Mega,4.5312
43,Diancie-Mega,4.41295
44,Volcarona,4.30952
45,Sableye-Mega,4.12703
46,Kommo-o,4.12318
47,Bisharp,4.09745
48,Pinsir-Mega,4.0549
49,Hippowdon,3.74813
50,Blacephalon,3.71853
51,Mew,3.63608
52,Azumarill,3.56714
53,Reuniclus,3.50795
54,Volcanion,3.38004
55,Manaphy,3.32121
56,Kingdra,3.23456
57,Tyranitar-Mega,2.97507
58,Weavile,2.79491
59,Crawdaunt,2.78974
60,Hoopa-Unbound,2.7897
61,Charizard-Mega-Y,2.72833
62,Latios-Mega,2.6926
63,Garchomp-Mega,2.29512
64,Araquanid,2.25624
65,Hydreigon,2.13163
66,Amoonguss,1.96634
67,Quagsire,1.88217
68,Breloom,1.76325
69,Manectric-Mega,1.70654
70,Mimikyu,1.69436
71,Latios,1.64091
72,Ditto,1.6297
73,Heracross-Mega,1.52887
74,Gastrodon,1.52215
75,Avalugg,1.41774
76,Salamence,1.32385
77,Thundurus-Therian,1.25418
78,Dragonite,1.23009
79,Gallade-Mega,1.21481
80,Slowbro,1.21051
81,Scizor,1.19451
82,Cresselia,1.17993
83,Gyarados,1.09638
84,Thundurus,1.08436
85,Seismitoad,1.0803
86,Shedinja,1.03786
87,Muk-Alola,1.03246
