Rank,Pokemon,Weighted Usage %,Real Usage,Real Usage %
1,Incineroar,26.97091,29927,8.565
2,Landorus-Therian,23.9932,42169,12.069
3,Tapu Koko,21.27386,40021,11.454
4,Tapu Lele,20.64353,28512,8.16
5,Tapu Fini,19.10873,26015,7.446
6,Tapu Bulu,15.66764,19220,5.501
7,Metagross-Mega,15.0752,19557,5.597
8,Zygarde,14.1092,15507,4.438
9,Zapdos,13.48491,26119,7.476
10,Amoonguss,11.75408,21702,6.211
11,Gengar-Mega,10.80991,15126,4.329
12,Charizard-Mega-Y,9.75574,27393,7.84
13,Ferrothorn,9.52261,24187,6.923
14,Kyurem-Black,9.50644,11376,3.256
15,Kommo-o,9.31498,17906,5.125
16,Volcanion,8.73298,11719,3.354
17,Hoopa-Unbound,8.69285,10583,3.029
18,Pelipper,8.20523,25055,7.171
19,Scrafty,7.64717,9598,2.747
20,Tyranitar,7.46385,16118,4.613
21,Suicune,7.20782,7713,2.208
22,Kartana,7.06758,16290,4.662
23,Celesteela,7.06561,18816,5.385
24,Stakataka,6.91736,11080,3.171
25,Milotic,6.90867,16603,4.752
26,Deoxys-Attack,6.56158,7404,2.119
27,Salamence-Mega,6.51811,10986,3.144
28,Diancie-Mega,5.96381,8995,2.574
29,Kingdra,5.92887,13482,3.859
30,Camerupt-Mega,5.80547,12570,3.598
31,Aegislash,5.78402,18216,5.214
32,Ninetales-Alola,5.75399,17217,4.928
33,Heatran,5.59078,16557,4.739
34,Excadrill,5.51207,12786,3.659
35,Mew,5.45127,14513,4.154
36,Genesect,5.24849,7537,2.157
37,Whimsicott,5.00142,19030,5.447
38,Weavile,4.86601,14387,4.118
39,Swampert-Mega,4.72984,17749,5.08
40,Volcarona,4.60533,17848,5.108
41,Mimikyu,4.54838,15326,4.386
42,Porygon2,4.39068,11133,3.186
43,Cresselia,4.18676,13404,3.836
44,Victini,4.15441,10902,3.12
45,Oranguru,3.88935,20937,5.992
46,Manectric-Mega,3.72424,9074,2.597
47,Togedemaru,3.70089,4278,1.224
48,Diancie,3.58422,3885,1.112
49,Gothitelle,3.48705,6982,1.998
50,Bruxish,3.42423,10100,2.891
51,Tyranitar-Mega,3.35095,10117,2.896
52,Garchomp,3.28046,17352,4.966
53,Politoed,3.27442,12060,3.452
54,Shuckle,3.06186,10950,3.134
55,Arcanine,2.96978,20654,5.911
56,Torkoal,2.89111,9722,2.783
57,Mawile-Mega,2.87001,8780,2.513
58,Infernape,2.86088,6706,1.919
59,Machamp,2.71012,4973,1.423
60,Bronzong,2.70929,8344,2.388
61,Gastrodon,2.63114,9430,2.699
62,Scizor-Mega,2.48599,6859,1.963
63,Togekiss,2.28519,13804,3.951
64,Gardevoir-Mega,2.25199,9477,2.712
65,Staraptor,2.21195,10819,3.097
66,Aerodactyl,2.19626,3396,0.972
67,Ludicolo,2.18559,8343,2.388
68,Smeargle,2.17475,8289,2.372
69,Venusaur,2.14231,6883,1.97
70,Abomasnow-Mega,2.01887,4325,1.238
71,Marowak-Alola,1.95868,9603,2.748
72,Rotom-Wash,1.90367,8466,2.423
73,Azumarill,1.87223,7817,2.237
74,Venusaur-Mega,1.86452,10834,3.101
75,Blissey,1.85126,5942,1.701
76,Raichu-Alola,1.81707,6329,1.811
77,Araquanid,1.69251,5054,1.447
78,Pheromosa,1.63007,4029,1.153
79,Terrakion,1.61276,6362,1.821
80,Comfey,1.5665,6939,1.986
81,Dusclops,1.53724,4210,1.205
82,Gigalith,1.50414,4046,1.158
83,Naganadel,1.46212,3788,1.084
84,Thundurus-Therian,1.42974,7537,2.157
85,Raichu,1.39495,6854,1.962
86,Chandelure,1.39386,6116,1.75
87,Xurkitree,1.39108,5829,1.668
88,Shaymin-Sky,1.38694,2994,0.857
89,Greninja,1.383,12732,3.644
90,Conkeldurr,1.26162,4020,1.151
91,Gyarados,1.25102,6768,1.937
92,Gliscor,1.24994,6359,1.82
93,Dragonite,1.24905,8821,2.525
94,Bisharp,1.24858,6168,1.765
95,Hippowdon,1.24576,3387,0.969
96,Blastoise-Mega,1.24165,4616,1.321
97,Darkrai,1.20143,2767,0.792
98,Greninja-Ash,1.18882,13039,3.732
99,Gyarados-Mega,1.18717,5885,1.684
100,Blaziken-Mega,1.12172,4431,1.268
101,Lucario-Mega,1.11056,5287,1.513
102,Hitmontop,1.07746,3342,0.957
103,Sceptile-Mega,1.01832,11689,3.346
