Rank,Pokemon,Weighted Usage %,Real Usage,Real Usage %
1,Incineroar,34.49166,65518,17.1
2,Landorus-Therian,29.01059,52677,13.748
3,Tapu Koko,22.59368,44742,11.677
4,Tapu Lele,19.53523,34970,9.127
5,Tapu Fini,18.97473,34109,8.902
6,Metagross-Mega,16.01887,24676,6.44
7,Charizard-Mega-Y,15.30215,34478,8.999
8,Kartana,15.29283,25188,6.574
9,Kommo-o,12.44729,21737,5.673
10,Zapdos,11.91535,26389,6.887
11,Zygarde,10.41721,11106,2.899
12,Amoonguss,10.10484,26675,6.962
13,Tapu Bulu,10.08955,18034,4.707
14,Pelipper,9.53241,27946,7.294
15,Celesteela,7.85858,22690,5.922
16,Ferrothorn,7.82833,25560,6.671
17,Porygon2,7.76951,15656,4.086
18,Gastrodon,7.7228,26713,6.972
19,Swampert-Mega,7.64364,22133,5.777
20,Diancie,7.37265,9373,2.446
21,Whimsicott,7.02153,23760,6.201
22,Salamence-Mega,6.92607,17264,4.506
23,Stakataka,6.77596,15091,3.939
24,Volcanion,6.53202,13184,3.441
25,Diancie-Mega,6.52682,12399,3.236
26,Aegislash,6.41834,22533,5.881
27,Kyurem-Black,6.38803,9731,2.54
28,Mew,6.25024,15353,4.007
29,Tyranitar,5.95038,18996,4.958
30,Gothitelle,5.87435,10999,2.871
31,Heatran,5.69431,14872,3.882
32,Camerupt-Mega,5.30254,15395,4.018
33,Milotic,5.29983,24164,6.307
34,Zeraora,5.13671,18019,4.703
35,Hoopa-Unbound,5.08332,7508,1.96
36,Genesect,5.00769,10429,2.722
37,Cresselia,4.90349,17209,4.491
38,Kingdra,4.70067,13264,3.462
39,Volcarona,4.50834,21632,5.646
40,Mimikyu,4.49642,18481,4.823
41,Politoed,4.41935,13138,3.429
42,Manectric-Mega,4.28225,9394,2.452
43,Ninetales-Alola,4.15275,15748,4.11
44,Scrafty,3.90468,10448,2.727
45,Gardevoir-Mega,3.88506,15410,4.022
46,Venusaur-Mega,3.81525,14805,3.864
47,Victini,3.80131,10556,2.755
48,Suicune,3.73672,7926,2.069
49,Garchomp,3.36502,20267,5.29
50,Excadrill,3.2514,12103,3.159
51,Tyranitar-Mega,3.10914,9727,2.539
52,Ludicolo,2.90152,9595,2.504
53,Mawile-Mega,2.83395,9294,2.426
54,Togedemaru,2.64562,7430,1.939
55,Smeargle,2.64014,10657,2.781
56,Terrakion,2.60508,6900,1.801
57,Greninja-Ash,2.56021,13699,3.575
58,Venusaur,2.48651,8802,2.297
59,Araquanid,2.45642,6089,1.589
60,Torkoal,2.42815,9058,2.364
61,Nihilego,2.37427,4156,1.085
62,Deoxys-Attack,2.35468,5887,1.536
63,Raichu,2.25885,8440,2.203
64,Bronzong,2.23292,7478,1.952
65,Rotom-Wash,2.22764,8491,2.216
66,Gyarados,2.17806,8362,2.182
67,Marowak-Alola,2.05381,10443,2.726
68,Abomasnow-Mega,2.05062,5261,1.373
69,Naganadel,1.98363,6335,1.653
70,Bisharp,1.94883,6508,1.699
71,Blacephalon,1.93942,6175,1.612
72,Greninja,1.87346,13639,3.56
73,Weavile,1.82296,7408,1.933
74,Oranguru,1.64156,13327,3.478
75,Shaymin-Sky,1.61726,4120,1.075
76,Gengar,1.6141,9495,2.478
77,Thundurus-Therian,1.5927,7877,2.056
78,Scizor-Mega,1.55915,5780,1.509
79,Shuckle,1.54304,11064,2.888
80,Primarina,1.5297,6109,1.594
81,Metagross,1.51854,6945,1.813
82,Umbreon,1.46442,7604,1.985
83,Tornadus,1.4096,1939,0.506
84,Serperior,1.40882,11706,3.055
85,Togekiss,1.39381,14408,3.76
86,Lurantis,1.38886,3918,1.023
87,Blaziken,1.32025,4733,1.235
88,Xurkitree,1.30679,6418,1.675
89,Aerodactyl,1.26562,2952,0.77
90,Blastoise-Mega,1.17609,4001,1.044
91,Darkrai,1.16805,3800,0.992
92,Blissey,1.164,5446,1.421
93,Lucario,1.15186,3876,1.012
94,Gyarados-Mega,1.15075,4763,1.243
95,Sylveon,1.10697,6859,1.79
96,Sceptile-Mega,1.10063,12822,3.346
97,Necrozma,1.09862,1368,0.357
98,Chansey,1.09496,8651,2.258
99,Persian-Alola,1.02581,4015,1.048
100,Bruxish,1.01489,4978,1.299
101,Azumarill,1.00996,9989,2.607
102,Hawlucha,1.00844,5260,1.373
