Rank,Pokemon,Weighted Usage %
1,Incineroar,33.6134
2,Landorus-Therian,29.25966
3,Tapu Koko,23.242
4,Tapu Lele,22.01246
5,Tapu Fini,19.95551
6,Kartana,15.97744
7,Metagross-Mega,14.43476
8,Charizard-Mega-Y,13.7612
9,Kommo-o,12.12279
10,Amoonguss,10.76273
11,Zygarde,10.44323
12,Mew,10.02725
13,Zapdos,9.29948
14,Gastrodon,8.48963
15,Diancie-Mega,8.44209
16,Whimsicott,8.35984
17,Tapu Bulu,8.24578
18,Salamence-Mega,8.19019
19,Diancie,7.67847
20,Pelipper,7.22542
21,Stakataka,6.83065
22,Hoopa-Unbound,6.83003
23,Celesteela,6.76913
24,Volcanion,6.76755
25,Gothitelle,6.6279
26,Swampert-Mega,6.3812
27,Kyurem-Black,6.35938
28,Porygon2,6.29359
29,Victini,6.13785
30,Camerupt-Mega,6.07446
31,Tyranitar,5.99573
32,Aegislash,5.94318
33,Ferrothorn,5.89222
34,Genesect,5.82372
35,Volcarona,5.5441
36,Heatran,5.51079
37,Terrakion,5.20371
38,Cresselia,4.92704
39,Milotic,4.84896
40,Manectric-Mega,4.73407
41,Excadrill,4.25388
42,Gardevoir-Mega,4.24423
43,Ninetales-Alola,4.23626
44,Zeraora,4.08421
45,Politoed,4.07618
46,Scrafty,3.84812
47,Kingdra,3.70384
48,Shaymin-Sky,3.60577
49,Suicune,3.57381
50,Smeargle,3.46894
51,Garchomp,3.44301
52,Mawile-Mega,3.28037
53,Venusaur-Mega,3.14696
54,Tyranitar-Mega,3.00966
55,Tornadus,2.9104
56,Deoxys-Attack,2.8205
57,Ludicolo,2.80775
58,Togedemaru,2.65538
59,Metagross,2.64085
60,Torkoal,2.62945
61,Scizor-Mega,2.51372
62,Gyarados,2.50101
63,Mimikyu,2.39223
64,Rotom-Wash,2.24042
65,Raichu,2.10797
66,Bisharp,1.98198
67,Lucario,1.96785
68,Venusaur,1.85904
69,Araquanid,1.83623
70,Blacephalon,1.79056
71,Blastoise-Mega,1.71622
72,Naganadel,1.69202
73,Oranguru,1.68524
74,Weavile,1.63523
75,Bronzong,1.58591
76,Thundurus-Therian,1.5663
77,Chansey,1.51803
78,Gengar,1.51173
79,Greninja,1.45771
80,Primarina,1.42994
81,Aerodactyl-Mega,1.35278
82,Lurantis,1.32677
83,Hitmontop,1.30134
84,Togekiss,1.29408
85,Sceptile-Mega,1.2809
86,Abomasnow-Mega,1.27911
87,Porygon-Z,1.19645
88,Greninja-Ash,1.15146
89,Xurkitree,1.15094
90,Marowak-Alola,1.12452
91,Sableye,1.11647
92,Gyarados-Mega,1.09011
93,Persian-Alola,1.05163
94,Blaziken,1.04789
95,Heliolisk,1.03019
96,Darkrai,1.02959
