Rank,Pokemon,Weighted Usage %,Real Usage,Real Usage %
1,Landorus-Therian,30.26661,42400,12.398
2,Tapu Lele,20.75289,28357,8.292
3,Tapu Fini,20.71047,29421,8.603
4,Marshadow,19.88094,26172,7.653
5,Tapu Koko,18.05872,42384,12.393
6,Zapdos,15.36964,22327,6.529
7,Heatran,13.50137,20746,6.066
8,Charizard-Mega-Y,12.86162,28014,8.192
9,Salamence-Mega,11.10671,12201,3.568
10,Volcanion,10.84768,12313,3.6
11,Celesteela,10.731,29375,8.589
12,Tapu Bulu,10.40104,14657,4.286
13,Whimsicott,9.78863,21822,6.381
14,Ferrothorn,9.03447,19765,5.779
15,Amoonguss,8.8121,15197,4.444
16,Kyurem-Black,8.53304,9610,2.81
17,Metagross-Mega,8.43628,11108,3.248
18,Hoopa-Unbound,7.90875,8295,2.426
19,Aegislash,7.83249,17112,5.004
20,Scrafty,7.64948,10100,2.953
21,Pelipper,7.58158,24460,7.152
22,Zygarde,7.33691,7787,2.277
23,Tyranitar,7.23303,15941,4.661
24,Stakataka,7.17508,14284,4.177
25,Snorlax,6.48463,20769,6.073
26,Ninetales-Alola,6.42057,21774,6.367
27,Kartana,6.39396,17573,5.138
28,Deoxys-Attack,6.22968,9082,2.656
29,Tyranitar-Mega,6.1324,10370,3.032
30,Kingdra,6.09873,14699,4.298
31,Garchomp,5.31426,26442,7.732
32,Arcanine,5.19983,28138,8.228
33,Diancie,5.17418,5522,1.615
34,Swampert-Mega,5.09325,15564,4.551
35,Porygon2,5.06018,14486,4.236
36,Genesect,4.46756,6956,2.034
37,Cresselia,4.45451,9787,2.862
38,Diancie-Mega,4.41013,10835,3.168
39,Politoed,4.35474,12974,3.794
40,Mew,4.27886,9585,2.803
41,Camerupt-Mega,4.27741,6309,1.845
42,Mimikyu,4.26255,19741,5.772
43,Blacephalon,4.20079,13986,4.09
44,Oranguru,4.08143,21126,6.177
45,Mawile-Mega,4.01953,8274,2.419
46,Torkoal,3.92634,9867,2.885
47,Gardevoir-Mega,3.87562,8532,2.495
48,Marowak-Alola,3.82889,19438,5.684
49,Volcarona,3.81723,17711,5.179
50,Excadrill,3.7848,12798,3.742
51,Venusaur,3.691,6786,1.984
52,Milotic,3.57788,14324,4.188
53,Naganadel,3.54469,10858,3.175
54,Necrozma,3.52077,2630,0.769
55,Scizor-Mega,3.49767,7878,2.304
56,Bronzong,3.38054,9169,2.681
57,Gastrodon,3.37717,15469,4.523
58,Victini,3.04702,6002,1.755
59,Ludicolo,2.95018,7477,2.186
60,Suicune,2.8898,5936,1.736
61,Pheromosa,2.73879,5957,1.742
62,Hitmontop,2.65516,4304,1.259
63,Gengar-Mega,2.60217,7529,2.202
64,Abomasnow-Mega,2.53408,4952,1.448
65,Primarina,2.45604,4472,1.308
66,Bisharp,2.43334,6324,1.849
67,Weavile,2.42352,12164,3.557
68,Gyarados,2.32249,8622,2.521
69,Terrakion,2.28881,6027,1.762
70,Muk-Alola,2.24833,8675,2.537
71,Thundurus-Therian,2.15457,6038,1.766
72,Venusaur-Mega,2.04577,9235,2.7
73,Kommo-o,2.02093,7629,2.231
74,Rotom-Wash,1.75569,5757,1.683
75,Hariyama,1.75205,3155,0.923
76,Gigalith,1.69039,5992,1.752
77,Araquanid,1.67785,6219,1.818
78,Manectric-Mega,1.61853,4767,1.394
79,Thundurus,1.5816,5027,1.47
80,Aerodactyl,1.57558,3948,1.154
81,Dusclops,1.57144,4944,1.446
82,Gyarados-Mega,1.51167,5285,1.545
83,Blastoise-Mega,1.50119,5168,1.511
84,Sylveon,1.49204,7303,2.135
85,Sceptile-Mega,1.48175,13102,3.831
86,Togekiss,1.46016,11735,3.431
87,Greninja-Ash,1.39361,14431,4.22
88,Xurkitree,1.33551,9056,2.648
89,Incineroar,1.32661,3310,0.968
90,Shaymin-Sky,1.25823,2653,0.776
91,Klefki,1.19734,4632,1.354
92,Slowbro,1.18263,3618,1.058
93,Conkeldurr,1.14784,5214,1.525
94,Lucario-Mega,1.1439,5733,1.676
95,Clefable,1.10413,10416,3.046
96,Gothitelle,1.05519,2556,0.747
97,Hydreigon,1.03937,3917,1.145
