Rank,Pokemon,Weighted Usage %,Real Usage,Real Usage %
1,Landorus-Therian,32.05304,57550,15.897
2,Incineroar,30.42178,58606,16.188
3,Tapu Koko,25.00332,46562,12.861
4,Tapu Fini,22.30854,31839,8.795
5,Tapu Lele,21.96017,31383,8.669
6,Kartana,18.98308,27320,7.546
7,Metagross-Mega,16.83038,24814,6.854
8,Charizard-Mega-Y,15.76847,36441,10.066
9,Zapdos,13.43044,28677,7.921
10,Kommo-o,12.04641,20751,5.732
11,Amoonguss,11.06494,27162,7.503
12,Zygarde,10.71924,13089,3.615
13,Tapu Bulu,10.28314,17955,4.96
14,Marshadow,8.6937,6964,1.924
15,Diancie,8.37999,8488,2.345
16,Kyurem-Black,8.37442,11586,3.2
17,Mew,8.35367,15578,4.303
18,Porygon2,8.02984,13788,3.809
19,Volcanion,7.52033,12813,3.539
20,Hoopa-Unbound,7.16281,8117,2.242
21,Pelipper,7.13869,23339,6.447
22,Salamence-Mega,7.11425,17387,4.803
23,Ferrothorn,7.04508,22932,6.334
24,Diancie-Mega,5.98372,11453,3.164
25,Politoed,5.9423,14412,3.981
26,Stakataka,5.81701,13133,3.628
27,Milotic,5.80599,21276,5.877
28,Swampert-Mega,5.76482,17954,4.959
29,Genesect,5.67498,9689,2.676
30,Camerupt-Mega,5.61837,12533,3.462
31,Kingdra,5.56063,14055,3.882
32,Mimikyu,5.40463,17895,4.943
33,Cresselia,5.24225,16054,4.434
34,Tyranitar,5.23426,17334,4.788
35,Volcarona,4.99536,19823,5.476
36,Scrafty,4.72763,10340,2.856
37,Deoxys-Attack,4.68599,8858,2.447
38,Gardevoir-Mega,4.55169,15289,4.223
39,Tyranitar-Mega,4.37412,11714,3.236
40,Victini,4.35274,9546,2.637
41,Gastrodon,4.34155,20904,5.774
42,Heatran,4.32781,14875,4.109
43,Whimsicott,4.32591,21346,5.896
44,Aegislash,4.26473,22648,6.256
45,Celesteela,4.21704,16875,4.661
46,Togedemaru,4.10575,7021,1.939
47,Mawile-Mega,3.83068,12173,3.362
48,Ninetales-Alola,3.81589,16509,4.56
49,Manectric-Mega,3.80776,9873,2.727
50,Garchomp,3.62153,20111,5.555
51,Scizor-Mega,3.53345,7531,2.08
52,Zeraora,3.51229,12531,3.461
53,Gothitelle,3.44026,6470,1.787
54,Torkoal,3.38012,10419,2.878
55,Bronzong,3.37073,9051,2.5
56,Excadrill,2.94784,11245,3.106
57,Smeargle,2.92983,9698,2.679
58,Shaymin-Sky,2.8454,4342,1.199
59,Oranguru,2.66074,15868,4.383
60,Suicune,2.52115,5744,1.587
61,Weavile,2.40836,10667,2.946
62,Bruxish,2.28904,4675,1.291
63,Gyarados,2.27974,10038,2.773
64,Rotom-Wash,2.18556,7071,1.953
65,Ludicolo,2.17595,9163,2.531
66,Serperior,2.16366,13098,3.618
67,Marowak-Alola,2.09914,7532,2.081
68,Blaziken,2.03908,7290,2.014
69,Chansey,1.91813,7803,2.155
70,Venusaur-Mega,1.87686,10436,2.883
71,Infernape,1.80986,6628,1.831
72,Lurantis,1.76531,4161,1.149
73,Togekiss,1.69457,13335,3.683
74,Machamp,1.66482,3467,0.958
75,Thundurus-Therian,1.61783,8282,2.288
76,Gyarados-Mega,1.54412,5762,1.592
77,Shuckle,1.51827,8293,2.291
78,Terrakion,1.5012,7402,2.045
79,Araquanid,1.48569,6565,1.813
80,Azumarill,1.42006,8052,2.224
81,Abomasnow-Mega,1.39775,5156,1.424
82,Blissey,1.3883,4415,1.22
83,Raichu,1.26422,6398,1.767
84,Xurkitree,1.24101,7736,2.137
85,Hitmontop,1.22998,4734,1.308
86,Sceptile-Mega,1.1875,11496,3.175
87,Hippowdon,1.18564,3277,0.905
88,Naganadel,1.14605,4458,1.231
89,Venusaur,1.1252,9175,2.534
90,Arcanine,1.11793,11501,3.177
91,Primarina,1.09449,5383,1.487
92,Greninja,1.08508,12152,3.357
93,Tornadus,1.0776,1789,0.494
94,Sylveon,1.04188,7259,2.005
