Rank,Pokemon,Weighted Usage %,Real Usage,Real Usage %
1,Landorus-Therian,29.65102,51753,13.708
2,Incineroar,27.89528,37242,9.864
3,Tapu Lele,22.74156,31003,8.212
4,Tapu Koko,19.23795,42146,11.163
5,Metagross-Mega,16.11763,22446,5.945
6,Tapu Fini,16.11519,28382,7.518
7,Zapdos,15.85152,29532,7.822
8,Tapu Bulu,15.0761,23504,6.226
9,Amoonguss,13.02569,24611,6.519
10,Gengar-Mega,12.03113,19980,5.292
11,Kommo-o,11.61022,20860,5.525
12,Ferrothorn,11.03084,25008,6.624
13,Zygarde,10.18513,15199,4.026
14,Charizard-Mega-Y,9.83832,33011,8.744
15,Hoopa-Unbound,8.75327,11590,3.07
16,Milotic,8.24825,20692,5.481
17,Pelipper,8.13774,25156,6.663
18,Kyurem-Black,7.87217,12627,3.345
19,Volcanion,7.40967,12021,3.184
20,Scrafty,7.1189,9932,2.631
21,Celesteela,6.92752,20300,5.377
22,Kartana,6.89991,17429,4.616
23,Stakataka,6.7744,11654,3.087
24,Camerupt-Mega,6.40262,10646,2.82
25,Heatran,6.25326,16242,4.302
26,Swampert-Mega,6.25023,18439,4.884
27,Tyranitar,6.16899,18734,4.962
28,Genesect,6.08539,10280,2.723
29,Ninetales-Alola,6.06122,22180,5.875
30,Zeraora,5.75458,16682,4.419
31,Diancie,5.75373,5643,1.495
32,Excadrill,5.71013,14123,3.741
33,Salamence-Mega,5.51219,12480,3.306
34,Suicune,5.22764,8687,2.301
35,Mew,5.12746,14926,3.954
36,Deoxys-Attack,5.02143,7894,2.091
37,Mimikyu,4.75023,18664,4.944
38,Porygon2,4.72281,13032,3.452
39,Cresselia,4.6566,17344,4.594
40,Kingdra,4.57938,12259,3.247
41,Tyranitar-Mega,4.39193,11397,3.019
42,Aegislash,4.3764,19760,5.234
43,Volcarona,4.16515,19174,5.079
44,Togedemaru,4.04683,5860,1.552
45,Diancie-Mega,3.97513,9099,2.41
46,Whimsicott,3.96968,21910,5.803
47,Weavile,3.92027,13539,3.586
48,Oranguru,3.72399,16720,4.429
49,Togekiss,3.57108,14973,3.966
50,Torkoal,3.52202,9816,2.6
51,Politoed,3.29119,12838,3.4
52,Manectric-Mega,2.94055,9644,2.554
53,Garchomp,2.83628,20090,5.321
54,Bruxish,2.81925,5168,1.369
55,Rotom-Wash,2.76148,9067,2.402
56,Aerodactyl,2.66806,3541,0.938
57,Bronzong,2.61381,7736,2.049
58,Machamp,2.58962,5266,1.395
59,Arcanine,2.56915,20056,5.312
60,Gastrodon,2.512,9698,2.569
61,Mawile-Mega,2.4823,9583,2.538
62,Victini,2.45961,9338,2.473
63,Marowak-Alola,2.41207,11311,2.996
64,Infernape,2.39585,6225,1.649
65,Gothitelle,2.37842,5959,1.578
66,Scizor-Mega,2.17251,7548,1.999
67,Araquanid,1.97385,6074,1.609
68,Hippowdon,1.92209,3745,0.992
69,Xurkitree,1.86421,7399,1.96
70,Sceptile-Mega,1.82105,13607,3.604
71,Gyarados-Mega,1.809,5217,1.382
72,Thundurus-Therian,1.80409,7885,2.089
73,Azumarill,1.77028,8701,2.305
74,Gyarados,1.72105,7838,2.076
75,Dusclops,1.60364,4799,1.271
76,Muk-Alola,1.57997,9759,2.585
77,Raichu,1.56903,8321,2.204
78,Hitmontop,1.56769,5381,1.425
79,Gardevoir-Mega,1.54946,9844,2.607
80,Raichu-Alola,1.52982,7084,1.876
81,Ludicolo,1.50933,7890,2.09
82,Venusaur,1.45145,6772,1.794
83,Naganadel,1.42162,4196,1.111
84,Primarina,1.39,6176,1.636
85,Landorus,1.34173,3139,0.831
86,Abomasnow-Mega,1.30644,4293,1.137
87,Terrakion,1.29044,5279,1.398
88,Staraptor,1.28992,7368,1.952
89,Hawlucha,1.25049,6549,1.735
90,Venusaur-Mega,1.25023,10395,2.753
91,Stoutland,1.24545,1801,0.477
92,Blacephalon,1.18449,5277,1.398
93,Conkeldurr,1.18311,4131,1.094
94,Smeargle,1.16766,9546,2.528
95,Pheromosa,1.16733,4223,1.119
96,Serperior,1.14838,12558,3.326
97,Cradily,1.1408,6350,1.682
98,Shuckle,1.12693,10191,2.699
99,Bisharp,1.12206,6950,1.841
100,Dragonite,1.11644,9172,2.429
101,Blastoise-Mega,1.11081,4971,1.317
102,Thundurus,1.10699,5612,1.486
103,Greninja-Ash,1.10416,14212,3.764
104,Comfey,1.09091,7429,1.968
