Rank,Pokemon,Weighted Usage %
1,Landorus-Therian,37.44465
2,Magearna,22.38799
3,Toxapex,20.10006
4,Zygarde,19.76848
5,Clefable,18.66981
6,Dugtrio,18.48352
7,Tapu Koko,15.66394
8,Greninja-Ash,15.58056
9,Chansey,15.44304
10,Celesteela,15.21265
11,Heatran,14.79517
12,Ferrothorn,13.9099
13,Pinsir-Mega,13.30651
14,Skarmory,13.25957
15,Scizor-Mega,13.25775
16,Zapdos,13.25692
17,Tapu Lele,13.01654
18,Mimikyu,11.9927
19,Greninja,11.98348
20,Mew,11.42156
21,Excadrill,11.07645
22,Latios,9.9818
23,Tangrowth,9.68868
24,Kartana,8.34126
25,Sableye-Mega,8.30488
26,Garchomp,7.63303
27,Tapu Fini,7.53846
28,Manaphy,7.47741
29,Bisharp,6.67
30,Keldeo,6.58292
31,Venusaur-Mega,6.3661
32,Mawile-Mega,6.20334
33,Magnezone,5.82764
34,Kyurem-Black,5.74981
35,Tapu Bulu,5.72561
36,Dragonite,5.47726
37,Diancie-Mega,5.44794
38,Pelipper,5.15565
39,Lopunny-Mega,4.65531
40,Weavile,4.5905
41,Tyranitar,4.51144
42,Swampert-Mega,4.22728
43,Latias-Mega,4.17215
44,Azelf,3.95105
45,Hawlucha,3.72044
46,Charizard-Mega-Y,3.65856
47,Medicham-Mega,3.57516
48,Marowak-Alola,3.48104
49,Ditto,3.47315
50,Ninetales-Alola,3.43274
51,Kingdra,3.37079
52,Mantine,3.35625
53,Gengar,3.11336
54,Shuckle,3.06546
55,Tyranitar-Mega,2.89625
56,Azumarill,2.80239
57,Charizard-Mega-X,2.73296
58,Gyarados-Mega,2.56653
59,Alakazam-Mega,2.48746
60,Alomomola,2.46328
61,Jirachi,2.34922
62,Cresselia,2.34483
63,Hoopa-Unbound,2.3369
64,Heracross-Mega,2.32992
65,Victini,2.1556
66,Volcarona,1.93882
67,Tornadus-Therian,1.86167
68,Suicune,1.76255
69,Gyarados,1.60515
70,Gliscor,1.59086
71,Amoonguss,1.5896
72,Latias,1.5883
73,Quagsire,1.57854
74,Uxie,1.52221
75,Crawdaunt,1.49013
76,Nihilego,1.43869
77,Hippowdon,1.3722
78,Tentacruel,1.31647
79,Gastrodon,1.24249
80,Serperior,1.16323
81,Smeargle,1.15791
82,Kyurem,1.09231
83,Reuniclus,1.03061
