Rank,Pokemon,Weighted Usage %
1,Incineroar,42.07961
2,Landorus-Therian,31.55455
3,Tapu Fini,30.54007
4,Tapu Koko,29.28681
5,Kartana,20.44108
6,Metagross-Mega,19.62656
7,Tapu Lele,19.08991
8,Zygarde,18.19167
9,Volcanion,15.9047
10,Amoonguss,13.79552
11,Diancie,12.63499
12,Zapdos,10.8124
13,Kommo-o,10.47055
14,Hoopa-Unbound,10.43756
15,Mew,10.30418
16,Gardevoir-Mega,9.81351
17,Aegislash,9.53077
18,Kyurem-Black,9.46633
19,Tapu Bulu,8.94865
20,Diancie-Mega,8.73469
21,Scrafty,8.25588
22,Gastrodon,8.17062
23,Charizard-Mega-Y,7.91296
24,Genesect,7.82197
25,Salamence-Mega,7.50048
26,Gothitelle,7.44822
27,Venusaur-Mega,7.11463
28,Stakataka,7.09175
29,Porygon2,6.79223
30,Volcarona,6.52452
31,Pelipper,5.18371
32,Camerupt-Mega,5.15376
33,Togedemaru,4.84493
34,Milotic,4.61429
35,Tyranitar,4.46962
36,Mimikyu,4.33375
37,Celesteela,4.22076
38,Cresselia,4.12609
39,Suicune,3.98635
40,Bronzong,3.77673
41,Torkoal,3.76011
42,Infernape,3.74817
43,Tyranitar-Mega,3.73358
44,Manectric-Mega,3.68309
45,Whimsicott,3.17025
46,Ludicolo,3.12684
47,Ferrothorn,3.07772
48,Swampert-Mega,3.03881
49,Mawile-Mega,3.01378
50,Persian-Alola,2.98979
51,Heatran,2.86172
52,Victini,2.82396
53,Scizor-Mega,2.80539
54,Smeargle,2.76083
55,Shuckle,2.74114
56,Blissey,2.70375
57,Araquanid,2.69099
58,Politoed,2.64147
59,Kingdra,2.62095
60,Deoxys-Attack,2.51656
61,Ninetales-Alola,2.50297
62,Nihilego,2.36644
63,Lurantis,2.36006
64,Excadrill,2.25052
65,Shaymin-Sky,2.02422
66,Slowbro,1.82485
67,Zeraora,1.721
68,Darkrai,1.63503
69,Xurkitree,1.60644
70,Azumarill,1.58541
71,Marowak-Alola,1.42248
72,Tornadus,1.39784
73,Togekiss,1.29301
74,Rotom-Wash,1.28599
75,Lucario-Mega,1.18267
76,Jellicent,1.1345
77,Latias-Mega,1.13189
78,Altaria-Mega,1.12113
79,Blastoise-Mega,1.10029
80,Blacephalon,1.07233
