Rank,Pokemon,Weighted Usage %
1,Aegislash,29.74469
2,Tapu Koko,22.77428
3,Landorus-Therian,19.82539
4,Genesect,19.1056
5,Toxapex,19.03892
6,Tapu Fini,18.76749
7,Landorus,17.19601
8,Pheromosa,17.08337
9,Tapu Lele,16.33389
10,Celesteela,13.18285
11,Marowak-Alola,12.64385
12,Ferrothorn,11.29482
13,Zygarde,11.06884
14,Tapu Bulu,10.80074
15,Dugtrio,10.79702
16,Scizor-Mega,9.79304
17,Latios,9.71968
18,Hoopa-Unbound,9.49862
19,Garchomp,9.39009
20,Mantine,9.03316
21,Chansey,8.55044
22,Skarmory,8.43099
23,Venusaur-Mega,8.35415
24,Charizard-Mega-X,8.2592
25,Heatran,8.20324
26,Sableye-Mega,7.90662
27,Kartana,7.68364
28,Excadrill,7.59085
29,Clefable,7.31061
30,Buzzwole,7.24253
31,Magearna,7.2138
32,Mimikyu,7.10148
33,Metagross-Mega,6.52683
34,Rotom-Wash,6.39402
35,Greninja,6.17755
36,Xurkitree,6.04913
37,Manaphy,5.97596
38,Bisharp,5.87794
39,Gyarados-Mega,5.46744
40,Pinsir-Mega,5.21058
41,Pelipper,4.94984
42,Porygon-Z,4.93982
43,Zapdos,4.91325
44,Tyranitar,4.64827
45,Mandibuzz,4.54189
46,Alakazam-Mega,4.4715
47,Hippowdon,3.99719
48,Nihilego,3.91768
49,Kingdra,3.79065
50,Tornadus-Therian,3.47672
51,Ninetales-Alola,3.45175
52,Magnezone,3.10465
53,Charizard-Mega-Y,2.98699
54,Blissey,2.93205
55,Gliscor,2.9196
56,Greninja-Ash,2.69384
57,Kyurem-Black,2.52355
58,Mamoswine,2.33301
59,Weavile,2.28449
60,Amoonguss,2.20675
61,Dragonite,2.18103
62,Scizor,2.15608
63,Keldeo,2.13347
64,Pyukumuku,2.00196
65,Latias,1.94919
66,Necrozma,1.84831
67,Azumarill,1.82859
68,Shedinja,1.81763
69,Tangrowth,1.72074
70,Azelf,1.59218
71,Kommo-o,1.56095
72,Umbreon,1.52793
73,Terrakion,1.48675
74,Zygarde-10%,1.35483
75,Seismitoad,1.25451
76,Smeargle,1.23911
77,Persian-Alola,1.23653
78,Volcarona,1.20696
79,Hydreigon,1.20141
80,Volcanion,1.16883
81,Torkoal,1.13305
82,Decidueye,1.13202
83,Thundurus-Therian,1.1084
84,Starmie,1.10784
85,Salazzle,1.10638
86,Raichu-Alola,1.09043
87,Venusaur,1.08632
88,Togekiss,1.00523
