Rank,Pokemon,Weighted Usage %
1,Incineroar,43.14866
2,Landorus-Therian,34.12772
3,Tapu Fini,33.09508
4,Metagross-Mega,30.56505
5,Tapu Lele,25.21724
6,Kartana,22.5988
7,Tapu Koko,20.47075
8,Mew,18.70795
9,Zygarde,15.94456
10,Zapdos,14.25243
11,Hoopa-Unbound,13.14965
12,Amoonguss,12.18747
13,Aegislash,12.03334
14,Victini,10.75332
15,Kommo-o,10.28556
16,Volcanion,9.16833
17,Diancie-Mega,8.64264
18,Diancie,8.58676
19,Deoxys-Attack,8.49446
20,Charizard-Mega-Y,8.30475
21,Porygon2,7.55908
22,Kyurem-Black,7.31263
23,Tyranitar,6.74348
24,Venusaur-Mega,6.73043
25,Zeraora,6.01313
26,Salamence-Mega,5.91428
27,Ferrothorn,5.86496
28,Mimikyu,5.85438
29,Tapu Bulu,5.62901
30,Manectric-Mega,5.44022
31,Stakataka,5.17301
32,Volcarona,5.00872
33,Gothitelle,5.00354
34,Gengar,4.9651
35,Gardevoir-Mega,4.74332
36,Torkoal,4.15777
37,Celesteela,4.02476
38,Gastrodon,3.69023
39,Milotic,3.68234
40,Scrafty,3.60276
41,Kingdra,3.55366
42,Excadrill,3.33625
43,Cresselia,3.18835
44,Heatran,3.15276
45,Togedemaru,3.14212
46,Smeargle,3.13029
47,Shuckle,3.04707
48,Ninetales-Alola,2.92358
49,Tyranitar-Mega,2.89888
50,Blissey,2.86144
51,Camerupt-Mega,2.83194
52,Pelipper,2.71505
53,Genesect,2.70333
54,Tornadus,2.57307
55,Suicune,2.5344
56,Tornadus-Therian,2.50344
57,Nihilego,2.49643
58,Garchomp,2.48734
59,Politoed,2.45808
60,Araquanid,2.45111
61,Whimsicott,2.33593
62,Gyarados-Mega,2.30098
63,Bronzong,2.28969
64,Scizor-Mega,2.28854
65,Mawile-Mega,2.1946
66,Chandelure,2.09626
67,Lycanroc,2.04998
68,Lurantis,1.80133
69,Serperior,1.60677
70,Latias,1.57748
71,Shaymin-Sky,1.57728
72,Gyarados,1.54306
73,Blaziken,1.51619
74,Raichu,1.51045
75,Xurkitree,1.44696
76,Latias-Mega,1.40585
77,Ludicolo,1.35547
78,Breloom,1.20159
79,Swampert-Mega,1.19754
80,Chansey,1.10196
81,Aromatisse,1.06574
82,Weavile,1.02326
