Rank,Pokemon,Weighted Usage %
1,Incineroar,42.73336
2,Landorus-Therian,39.58187
3,Metagross-Mega,28.37429
4,Tapu Lele,27.74368
5,Zapdos,23.82342
6,Tapu Fini,23.01003
7,Tapu Bulu,21.171
8,Amoonguss,19.50184
9,Gengar-Mega,19.24932
10,Tapu Koko,15.35146
11,Ferrothorn,15.35077
12,Kommo-o,14.85098
13,Zygarde,12.63935
14,Diancie,12.54296
15,Hoopa-Unbound,10.77677
16,Kyurem-Black,10.13174
17,Charizard-Mega-Y,9.51087
18,Celesteela,8.56963
19,Scrafty,8.15199
20,Pelipper,8.1364
21,Diancie-Mega,8.0069
22,Volcarona,7.84988
23,Suicune,7.5393
24,Milotic,7.46431
25,Kingdra,7.09554
26,Excadrill,6.46509
27,Genesect,6.45465
28,Zeraora,6.39752
29,Deoxys-Attack,5.95072
30,Camerupt-Mega,5.88737
31,Tyranitar,5.4147
32,Heatran,4.51654
33,Stakataka,4.49644
34,Aerodactyl,4.47741
35,Volcanion,4.12204
36,Ninetales-Alola,3.71577
37,Araquanid,3.68901
38,Porygon2,3.54975
39,Mimikyu,3.50776
40,Salamence-Mega,3.43887
41,Cresselia,3.43183
42,Aegislash,3.39043
43,Mew,3.37755
44,Kartana,3.36469
45,Manectric-Mega,3.17903
46,Muk-Alola,3.13166
47,Hippowdon,2.76296
48,Whimsicott,2.71001
49,Tyranitar-Mega,2.66822
50,Torkoal,2.6126
51,Swampert-Mega,2.55528
52,Gyarados-Mega,2.49147
53,Staraptor,2.18608
54,Venusaur,2.14022
55,Shuckle,2.12323
56,Gardevoir-Mega,2.04631
57,Blissey,2.02965
58,Gastrodon,1.98848
59,Gigalith,1.93384
60,Rotom-Wash,1.85027
61,Gothitelle,1.8202
62,Slowking,1.77495
63,Togekiss,1.7556
64,Mawile-Mega,1.60006
65,Raichu-Alola,1.58628
66,Victini,1.5376
67,Oranguru,1.50951
68,Dusclops,1.46903
69,Bronzong,1.4247
70,Chansey,1.41488
71,Scizor-Mega,1.3592
72,Garchomp,1.28422
73,Hitmontop,1.27369
74,Ludicolo,1.22207
75,Togedemaru,1.06777
76,Arcanine,1.0601
