Rank,Pokemon,Weighted Usage %
1,Landorus-Therian,35.07004
2,Genesect,28.56445
3,Tapu Lele,25.21668
4,Metagross-Mega,22.70535
5,Tapu Fini,20.52595
6,Garchomp,19.18279
7,Greninja-Ash,16.77226
8,Tapu Koko,16.47683
9,Zygarde,13.50228
10,Toxapex,13.04599
11,Ferrothorn,12.10426
12,Pheromosa,11.55022
13,Dugtrio,11.18188
14,Marowak-Alola,10.73628
15,Rotom-Wash,9.6486
16,Heatran,9.63998
17,Magnezone,9.44801
18,Scizor-Mega,9.37846
19,Chansey,9.284
20,Sableye-Mega,8.98046
21,Celesteela,8.92063
22,Latios,8.88608
23,Magearna,8.7999
24,Mimikyu,8.69597
25,Excadrill,8.45709
26,Skarmory,8.45485
27,Tapu Bulu,8.31582
28,Kartana,6.95998
29,Charizard-Mega-X,6.1575
30,Hoopa-Unbound,5.618
31,Venusaur-Mega,5.55934
32,Buzzwole,5.44042
33,Gyarados-Mega,5.20397
34,Pinsir-Mega,5.06535
35,Nihilego,5.04869
36,Mantine,4.90109
37,Pelipper,4.84906
38,Greninja,4.80057
39,Tangrowth,4.69823
40,Landorus,4.66293
41,Alakazam-Mega,4.59075
42,Zapdos,4.41056
43,Manaphy,4.28336
44,Tyranitar,4.19954
45,Kingdra,4.18939
46,Togekiss,4.08083
47,Tornadus-Therian,4.07436
48,Jirachi,3.83159
49,Clefable,3.65026
50,Mamoswine,3.5385
51,Kyurem-Black,3.46202
52,Amoonguss,3.44648
53,Zygarde-10%,3.37258
54,Mandibuzz,3.35901
55,Volcarona,3.3494
56,Muk-Alola,3.17992
57,Charizard-Mega-Y,2.8536
58,Shedinja,2.6141
59,Keldeo,2.46729
60,Serperior,2.38929
61,Alomomola,2.3804
62,Xurkitree,2.34451
63,Dragonite,2.19289
64,Quagsire,2.15053
65,Necrozma,2.06484
66,Salamence,2.05795
67,Scolipede,2.00753
68,Sharpedo-Mega,1.98828
69,Azelf,1.96093
70,Porygon-Z,1.90856
71,Terrakion,1.87885
72,Weavile,1.7649
73,Ninetales-Alola,1.64085
74,Gliscor,1.59974
75,Starmie,1.56108
76,Shuckle,1.55054
77,Bisharp,1.50209
78,Decidueye,1.41401
79,Hippowdon,1.40236
80,Hydreigon,1.39612
81,Seismitoad,1.28047
82,Torkoal,1.22326
83,Espeon,1.11052
84,Gyarados,1.10265
85,Primarina,1.08594
86,Mew,1.04567
87,Araquanid,1.04267
88,Azumarill,1.02884
