Rank,Pokemon,Weighted Usage %
1,Landorus-Therian,44.97515
2,Ferrothorn,26.21872
3,Magearna,24.69823
4,Greninja-Ash,20.16602
5,Tornadus-Therian,19.9399
6,Heatran,18.48946
7,Toxapex,15.34283
8,Tapu Koko,14.35212
9,Clefable,14.19534
10,Chansey,14.04534
11,Kartana,14.03215
12,Tapu Lele,13.73333
13,Mawile-Mega,13.49437
14,Latias-Mega,12.55156
15,Rotom-Wash,12.20317
16,Excadrill,11.9157
17,Skarmory,11.20698
18,Swampert-Mega,10.44329
19,Gliscor,10.39788
20,Pelipper,10.16746
21,Greninja,9.99771
22,Tapu Fini,9.33716
23,Zapdos,8.92593
24,Tapu Bulu,8.80698
25,Garchomp,8.13597
26,Serperior,8.02598
27,Medicham-Mega,7.68238
28,Hawlucha,7.64358
29,Magnezone,7.49857
30,Manaphy,6.97279
31,Celesteela,6.47904
32,Lopunny-Mega,6.02435
33,Volcarona,5.93591
34,Scizor-Mega,5.74343
35,Reuniclus,5.7064
36,Kommo-o,5.37448
37,Tyranitar-Mega,5.15604
38,Tangrowth,5.0924
39,Jirachi,5.08319
40,Keldeo,4.91725
41,Ditto,4.91339
42,Victini,4.87208
43,Gyarados,4.83073
44,Kyurem-Black,4.82048
45,Sableye-Mega,4.76894
46,Bisharp,4.49512
47,Diancie-Mega,4.35891
48,Tyranitar,4.32084
49,Alakazam-Mega,4.09589
50,Gastrodon,3.71341
51,Venusaur-Mega,3.37145
52,Weavile,3.31061
53,Gyarados-Mega,3.2599
54,Blacephalon,2.93588
55,Hoopa-Unbound,2.88477
56,Pinsir-Mega,2.7824
57,Charizard-Mega-Y,2.41814
58,Azumarill,2.36027
59,Charizard-Mega-X,2.08416
60,Amoonguss,1.97756
61,Dragonite,1.85836
62,Mew,1.85758
63,Shedinja,1.72993
64,Muk-Alola,1.70212
65,Kyurem,1.50698
66,Crawdaunt,1.49969
67,Garchomp-Mega,1.424
68,Slowbro,1.38512
69,Hydreigon,1.20119
70,Krookodile,1.20067
71,Seismitoad,1.16392
72,Mimikyu,1.1247
73,Latios-Mega,1.10044
74,Zeraora,1.08783
75,Alomomola,1.0514
76,Hippowdon,1.01676
77,Thundurus-Therian,1.0018
