Rank,Pokemon,Weighted Usage %
1,Landorus-Therian,32.67464
2,Tapu Fini,30.28716
3,Tapu Koko,23.56281
4,Tapu Bulu,19.90194
5,Scrafty,19.1452
6,Zygarde,18.2079
7,Snorlax,17.02356
8,Volcanion,16.72849
9,Hoopa-Unbound,16.13974
10,Tapu Lele,15.46411
11,Metagross-Mega,14.45813
12,Ferrothorn,13.84243
13,Zapdos,13.7835
14,Kartana,12.63677
15,Charizard-Mega-Y,12.30317
16,Diancie,12.23269
17,Heatran,11.81361
18,Tyranitar,10.76624
19,Salamence-Mega,10.18658
20,Stakataka,9.04873
21,Diancie-Mega,8.98446
22,Kyurem-Black,8.91202
23,Celesteela,8.90897
24,Amoonguss,8.84509
25,Camerupt-Mega,8.80744
26,Ninetales-Alola,7.94185
27,Aegislash,7.64796
28,Mew,7.57797
29,Cresselia,7.42401
30,Whimsicott,7.24228
31,Manectric-Mega,6.30393
32,Excadrill,5.22281
33,Gengar-Mega,5.04348
34,Tyranitar-Mega,4.9513
35,Volcarona,4.94555
36,Victini,4.90111
37,Porygon2,4.86981
38,Deoxys-Attack,4.80894
39,Necrozma,4.75554
40,Mawile-Mega,4.3604
41,Blacephalon,4.33962
42,Bronzong,4.07661
43,Mimikyu,4.06964
44,Pelipper,3.96729
45,Pheromosa,3.48016
46,Gothitelle,3.38172
47,Genesect,3.0869
48,Kingdra,3.00014
49,Gardevoir-Mega,2.92732
50,Suicune,2.88592
51,Scizor-Mega,2.70013
52,Meloetta,2.44236
53,Weavile,2.41361
54,Xurkitree,2.29023
55,Hitmontop,2.181
56,Cradily,2.13139
57,Oranguru,2.075
58,Charizard-Mega-X,2.03702
59,Kommo-o,1.99913
60,Gastrodon,1.97917
61,Azumarill,1.9546
62,Ludicolo,1.92771
63,Swampert-Mega,1.91895
64,Gigalith,1.87877
65,Blastoise,1.82331
66,Bisharp,1.8072
67,Gyarados-Mega,1.79473
68,Togekiss,1.75639
69,Thundurus-Therian,1.66238
70,Torkoal,1.62948
71,Terrakion,1.59031
72,Naganadel,1.5033
73,Tornadus,1.45426
74,Milotic,1.4337
75,Arcanine,1.37333
76,Blaziken-Mega,1.34865
77,Chansey,1.30925
78,Rotom-Wash,1.29361
79,Shaymin-Sky,1.27017
80,Marowak-Alola,1.24674
81,Togedemaru,1.22862
82,Incineroar,1.22826
83,Gyarados,1.16685
84,Araquanid,1.1447
85,Dusclops,1.13978
86,Politoed,1.05213
87,Abomasnow-Mega,1.03765
88,Hydreigon,1.01348
