Rank,Pokemon,Weighted Usage %
1,Incineroar,43.6942
2,Tapu Fini,36.6534
3,Landorus-Therian,34.36863
4,Metagross-Mega,27.97506
5,Tapu Lele,23.8918
6,Zapdos,23.26381
7,Tapu Koko,18.18422
8,Kommo-o,15.69417
9,Kartana,14.95364
10,Zygarde,14.60563
11,Tapu Bulu,14.26811
12,Amoonguss,13.9736
13,Kyurem-Black,13.59101
14,Volcanion,12.34668
15,Manectric-Mega,10.79831
16,Gastrodon,10.62512
17,Diancie-Mega,9.79252
18,Hoopa-Unbound,8.34072
19,Aegislash,8.32668
20,Mew,7.96739
21,Victini,7.40132
22,Charizard-Mega-Y,7.17996
23,Genesect,7.05684
24,Heatran,6.31921
25,Diancie,6.31725
26,Porygon2,6.13991
27,Milotic,6.12236
28,Pelipper,6.02351
29,Deoxys-Attack,5.69824
30,Kingdra,5.48223
31,Scrafty,5.44561
32,Camerupt-Mega,5.4263
33,Landorus,5.31826
34,Whimsicott,5.23054
35,Ferrothorn,4.71671
36,Tyranitar,4.67299
37,Salamence-Mega,4.51598
38,Scizor-Mega,4.45229
39,Cresselia,4.24336
40,Ninetales-Alola,4.21132
41,Venusaur-Mega,4.09457
42,Garchomp,4.01006
43,Stakataka,3.63241
44,Shaymin-Sky,3.5259
45,Politoed,3.39375
46,Mimikyu,3.32706
47,Swampert-Mega,3.25619
48,Lurantis,3.2366
49,Tornadus,3.21479
50,Suicune,3.17193
51,Ludicolo,3.02753
52,Volcarona,2.76991
53,Tyranitar-Mega,2.58928
54,Celesteela,2.52442
55,Blastoise,2.51089
56,Araquanid,2.44146
57,Slowbro,2.42181
58,Gothitelle,2.38089
59,Lucario-Mega,2.30067
60,Gardevoir-Mega,2.17852
61,Bronzong,2.08205
62,Raichu,1.88798
63,Blaziken-Mega,1.76674
64,Zeraora,1.74225
65,Togedemaru,1.7251
66,Thundurus,1.65752
67,Smeargle,1.62938
68,Gyarados-Mega,1.62589
69,Latias-Mega,1.57641
70,Chansey,1.46078
71,Excadrill,1.45403
72,Mawile-Mega,1.40224
73,Necrozma,1.38311
74,Nihilego,1.27919
75,Oranguru,1.23241
76,Bisharp,1.15378
77,Clefairy,1.0235
