Rank,Pokemon,Weighted Usage %
1,Landorus-Therian,39.72638
2,Magearna,24.63692
3,Ferrothorn,18.79964
4,Tornadus-Therian,18.32538
5,Heatran,17.82369
6,Kartana,17.76187
7,Toxapex,16.80408
8,Chansey,15.33086
9,Greninja-Ash,14.8703
10,Skarmory,13.37998
11,Tapu Koko,13.33644
12,Clefable,12.60868
13,Rotom-Wash,11.85668
14,Gliscor,11.65094
15,Zapdos,10.83975
16,Tapu Lele,10.78839
17,Tapu Fini,10.40908
18,Latias-Mega,10.026
19,Excadrill,9.18279
20,Kommo-o,8.67378
21,Garchomp,8.51255
22,Scizor-Mega,8.44416
23,Lopunny-Mega,8.38895
24,Tapu Bulu,8.35095
25,Medicham-Mega,8.29473
26,Mawile-Mega,7.77641
27,Victini,7.71283
28,Celesteela,7.52762
29,Swampert-Mega,7.16364
30,Ditto,6.92763
31,Greninja,6.91919
32,Serperior,6.88024
33,Pelipper,6.87326
34,Magnezone,6.55591
35,Jirachi,6.01405
36,Keldeo,5.8115
37,Tangrowth,5.7844
38,Tyranitar,5.61803
39,Sableye-Mega,5.33751
40,Hawlucha,5.12577
41,Blacephalon,4.65209
42,Weavile,4.45363
43,Diancie-Mega,4.39944
44,Venusaur-Mega,4.23675
45,Kyurem-Black,4.18745
46,Volcarona,4.10826
47,Gastrodon,3.83642
48,Bisharp,3.81685
49,Azumarill,3.72768
50,Pinsir-Mega,3.66845
51,Manaphy,3.62821
52,Alakazam-Mega,3.53552
53,Hoopa-Unbound,3.4117
54,Charizard-Mega-Y,3.33775
55,Charizard-Mega-X,3.19274
56,Gyarados-Mega,3.14596
57,Tyranitar-Mega,3.02251
58,Thundurus-Therian,2.95686
59,Hippowdon,2.88734
60,Reuniclus,2.8044
61,Marowak-Alola,2.51294
62,Alomomola,2.19056
63,Mimikyu,2.09128
64,Dragonite,2.06632
65,Mew,2.05681
66,Shedinja,1.88708
67,Crawdaunt,1.80408
68,Cresselia,1.7365
69,Hydreigon,1.71787
70,Ribombee,1.60596
71,Latios-Mega,1.59712
72,Scizor,1.58206
73,Slowbro,1.51516
74,Kingdra,1.51187
75,Slowbro-Mega,1.46434
76,Gyarados,1.41979
77,Garchomp-Mega,1.3836
78,Amoonguss,1.329
79,Muk-Alola,1.28159
80,Quagsire,1.27326
81,Mamoswine,1.06578
