Rank,Pokemon,Weighted Usage %
1,Landorus-Therian,34.06825
2,Tapu Bulu,29.56834
3,Tapu Fini,25.25589
4,Tapu Koko,23.6771
5,Incineroar,23.2658
6,Zygarde,22.31784
7,Zapdos,20.93549
8,Metagross-Mega,20.29214
9,Hoopa-Unbound,17.70792
10,Kyurem-Black,17.00888
11,Scrafty,16.96483
12,Tapu Lele,16.51422
13,Charizard-Mega-Y,14.53513
14,Aegislash,13.64942
15,Volcanion,12.34152
16,Amoonguss,12.28209
17,Tyranitar,11.51936
18,Salamence-Mega,9.59705
19,Camerupt-Mega,9.53845
20,Ferrothorn,8.99642
21,Heatran,7.93896
22,Gothitelle,7.68915
23,Stakataka,7.40299
24,Bronzong,7.26705
25,Suicune,7.1357
26,Scizor-Mega,6.71566
27,Genesect,6.15795
28,Meloetta,5.73206
29,Landorus,5.40204
30,Necrozma,5.23379
31,Mew,5.13996
32,Celesteela,4.93675
33,Victini,4.92078
34,Gengar-Mega,4.90316
35,Manectric-Mega,4.52138
36,Pelipper,4.35
37,Deoxys-Attack,4.03862
38,Tyranitar-Mega,3.79165
39,Excadrill,3.76011
40,Porygon2,3.65748
41,Cresselia,3.53056
42,Mawile-Mega,3.43698
43,Whimsicott,3.35895
44,Diancie,3.35692
45,Torkoal,3.15417
46,Azumarill,3.0542
47,Kommo-o,2.8818
48,Gardevoir-Mega,2.79761
49,Abomasnow-Mega,2.62083
50,Kingdra,2.48859
51,Swampert-Mega,2.47336
52,Togekiss,2.43033
53,Gigalith,2.40282
54,Shaymin-Sky,2.35112
55,Kartana,2.17905
56,Mimikyu,2.12709
57,Aerodactyl,2.08936
58,Togedemaru,2.03267
59,Gastrodon,1.92296
60,Hippowdon,1.92013
61,Ludicolo,1.83065
62,Ninetales-Alola,1.8199
63,Gyarados-Mega,1.81058
64,Naganadel,1.6779
65,Venusaur,1.54573
66,Rotom-Wash,1.49665
67,Greninja,1.44556
68,Bisharp,1.43937
69,Milotic,1.30394
70,Hydreigon,1.27513
71,Arcanine,1.2397
72,Muk-Alola,1.23371
73,Staraptor,1.23145
74,Dusclops,1.21578
75,Araquanid,1.16833
76,Oranguru,1.16189
77,Weavile,1.14739
78,Blastoise-Mega,1.13898
79,Alakazam-Mega,1.13677
80,Latias-Mega,1.13188
81,Volcarona,1.07116
82,Scizor,1.04065
83,Darmanitan,1.03321
84,Reuniclus,1.02838
