Rank,Pokemon,Weighted Usage %
1,Landorus-Therian,40.1992
2,Ferrothorn,24.99947
3,Magearna,23.4802
4,Tornadus-Therian,21.88222
5,Greninja-Ash,20.98766
6,Toxapex,19.94607
7,Chansey,17.93095
8,Heatran,16.65789
9,Tapu Koko,15.47426
10,Gliscor,14.52195
11,Kartana,14.39575
12,Clefable,11.44868
13,Skarmory,11.33263
14,Zapdos,11.05032
15,Tapu Fini,10.94322
16,Tapu Lele,10.70512
17,Swampert-Mega,10.66148
18,Pelipper,10.08829
19,Latias-Mega,10.0443
20,Rotom-Wash,9.55335
21,Excadrill,9.46935
22,Tapu Bulu,8.82986
23,Lopunny-Mega,8.64674
24,Mawile-Mega,8.62756
25,Garchomp,8.45903
26,Reuniclus,8.27198
27,Celesteela,8.25559
28,Greninja,8.13301
29,Tangrowth,7.28541
30,Medicham-Mega,7.10476
31,Scizor-Mega,6.97382
32,Manaphy,6.43297
33,Diancie-Mega,6.21475
34,Hawlucha,6.03407
35,Magnezone,5.82524
36,Serperior,5.45067
37,Jirachi,5.44207
38,Ditto,5.38534
39,Tyranitar-Mega,5.19533
40,Volcarona,5.15144
41,Kommo-o,5.12005
42,Victini,4.68487
43,Sableye-Mega,4.28969
44,Weavile,4.18484
45,Blacephalon,4.12606
46,Kyurem-Black,3.87891
47,Keldeo,3.68401
48,Gyarados-Mega,3.66334
49,Alakazam-Mega,3.64258
50,Tyranitar,3.63356
51,Venusaur-Mega,3.51185
52,Bisharp,3.37088
53,Gyarados,2.76426
54,Hoopa-Unbound,2.68395
55,Pinsir-Mega,2.663
56,Azumarill,2.62126
57,Hippowdon,2.51738
58,Mew,2.41726
59,Charizard-Mega-Y,2.4171
60,Slowbro,2.37899
61,Amoonguss,2.27347
62,Charizard-Mega-X,2.26279
63,Seismitoad,2.11744
64,Gastrodon,2.03124
65,Quagsire,1.50467
66,Hydreigon,1.49366
67,Crawdaunt,1.46398
68,Krookodile,1.45839
69,Slowbro-Mega,1.34861
70,Mimikyu,1.32724
71,Garchomp-Mega,1.25564
72,Zeraora,1.24882
73,Thundurus-Therian,1.2472
74,Dragonite,1.24615
75,Meloetta,1.19796
76,Muk-Alola,1.18134
77,Latios-Mega,1.09788
78,Cresselia,1.05643
79,Volcanion,1.04259
