Rank,Pokemon,Weighted Usage %
1,Landorus-Therian,36.58496
2,Tapu Fini,33.10298
3,Zapdos,24.55122
4,Marshadow,23.93771
5,Tapu Lele,21.17245
6,Tapu Bulu,17.06865
7,Tapu Koko,15.97505
8,Scrafty,15.9035
9,Volcanion,14.59731
10,Metagross-Mega,13.82437
11,Salamence-Mega,13.53014
12,Tyranitar,12.88785
13,Hoopa-Unbound,12.15778
14,Celesteela,12.09355
15,Kyurem-Black,12.07652
16,Heatran,11.57295
17,Ferrothorn,10.36505
18,Zygarde,10.29915
19,Amoonguss,10.05647
20,Stakataka,9.94207
21,Tyranitar-Mega,9.88846
22,Aegislash,9.37093
23,Diancie,9.19113
24,Diancie-Mega,8.72653
25,Kartana,8.40365
26,Mew,8.17932
27,Charizard-Mega-Y,7.90993
28,Ninetales-Alola,7.42655
29,Camerupt-Mega,7.41889
30,Bronzong,7.3295
31,Snorlax,6.4693
32,Whimsicott,6.08876
33,Blacephalon,5.63904
34,Naganadel,5.5181
35,Volcarona,5.41387
36,Scizor-Mega,5.1212
37,Xurkitree,4.83692
38,Deoxys-Attack,4.7154
39,Suicune,4.66639
40,Cresselia,4.29045
41,Porygon2,4.25438
42,Pelipper,4.13793
43,Genesect,4.05748
44,Excadrill,4.05722
45,Gastrodon,3.94282
46,Necrozma,3.39402
47,Victini,3.35909
48,Gardevoir-Mega,3.16012
49,Gyarados-Mega,3.09918
50,Meloetta,2.81731
51,Oranguru,2.78355
52,Torkoal,2.59041
53,Pheromosa,2.4261
54,Abomasnow-Mega,2.34544
55,Gyarados,2.21528
56,Kingdra,2.21333
57,Swampert-Mega,1.91838
58,Mawile-Mega,1.91023
59,Thundurus-Therian,1.79786
60,Azumarill,1.7869
61,Kommo-o,1.70664
62,Hitmontop,1.70597
63,Gengar-Mega,1.69284
64,Marowak-Alola,1.67673
65,Manectric-Mega,1.65288
66,Persian-Alola,1.63071
67,Terrakion,1.63037
68,Aerodactyl,1.60739
69,Lopunny-Mega,1.54773
70,Arcanine,1.53343
71,Gigalith,1.51624
72,Mimikyu,1.4745
73,Landorus,1.39775
74,Garchomp,1.33408
75,Blastoise-Mega,1.32208
76,Ludicolo,1.2548
77,Cradily,1.21839
78,Rotom-Wash,1.1923
79,Muk-Alola,1.18062
80,Greninja-Ash,1.16868
