, , Rank , Pokemon            , Usage %   , Raw    , %       , Real   , %       .1, .1
1, ,1.0, Landorus-Therian   , 46.83306% ,1007441.0, 27.888% ,859529.0, 31.445% , 
2, ,2.0, Magearna           , 24.55300% ,383547.0, 10.618% ,302058.0, 11.050% , 
3, ,3.0, Heatran            , 22.94437% ,447744.0, 12.395% ,365725.0, 13.380% , 
4, ,4.0, Tapu Koko          , 21.54190% ,628937.0, 17.411% ,500276.0, 18.302% , 
5, ,5.0, Clefable           , 20.05489% ,268661.0,  7.437% ,197904.0,  7.240% , 
6, ,6.0, Zygarde            , 17.96820% ,297831.0,  8.245% ,218029.0,  7.976% , 
7, ,7.0, Toxapex            , 17.12064% ,373960.0, 10.352% ,286740.0, 10.490% , 
8, ,8.0, Ferrothorn         , 15.78976% ,527200.0, 14.594% ,447871.0, 16.385% , 
9, ,9.0, Kartana            , 15.68094% ,410652.0, 11.368% ,299192.0, 10.946% , 
10, ,10.0, Chansey            , 15.17596% ,276926.0,  7.666% ,207296.0,  7.584% , 
11, ,11.0, Zapdos             , 14.92369% ,323129.0,  8.945% ,253793.0,  9.285% , 
12, ,12.0, Tapu Lele          , 13.08345% ,339815.0,  9.407% ,252899.0,  9.252% , 
13, ,13.0, Greninja-Ash       , 12.70411% ,512968.0, 14.200% ,376649.0, 13.779% , 
14, ,14.0, Greninja           , 12.18900% ,352572.0,  9.760% ,268594.0,  9.826% , 
15, ,15.0, Skarmory           , 11.39776% ,215668.0,  5.970% ,176423.0,  6.454% , 
16, ,16.0, Sableye-Mega       , 10.50829% ,116724.0,  3.231% ,99767.0,  3.650% , 
17, ,17.0, Tornadus-Therian   ,  9.73583% ,122866.0,  3.401% ,95216.0,  3.483% , 
18, ,18.0, Tapu Bulu          ,  9.64044% ,225868.0,  6.253% ,172776.0,  6.321% , 
19, ,19.0, Hawlucha           ,  8.79270% ,275342.0,  7.622% ,183832.0,  6.725% , 
20, ,20.0, Scizor-Mega        ,  8.60488% ,235552.0,  6.521% ,181681.0,  6.647% , 
21, ,21.0, Tangrowth          ,  8.16733% ,162009.0,  4.485% ,123210.0,  4.508% , 
22, ,22.0, Medicham-Mega      ,  7.54565% ,178795.0,  4.949% ,139163.0,  5.091% , 
23, ,23.0, Celesteela         ,  7.39464% ,240083.0,  6.646% ,187885.0,  6.874% , 
24, ,24.0, Amoonguss          ,  7.12970% ,96719.0,  2.677% ,71519.0,  2.616% , 
25, ,25.0, Mawile-Mega        ,  7.11250% ,156617.0,  4.336% ,114047.0,  4.172% , 
26, ,26.0, Tapu Fini          ,  6.89841% ,192036.0,  5.316% ,155812.0,  5.700% , 
27, ,27.0, Excadrill          ,  6.78400% ,255162.0,  7.064% ,194432.0,  7.113% , 
28, ,28.0, Alakazam-Mega      ,  6.73875% ,180496.0,  4.997% ,120740.0,  4.417% , 
29, ,29.0, Venusaur-Mega      ,  6.33951% ,182896.0,  5.063% ,139470.0,  5.102% , 
30, ,30.0, Ninetales-Alola    ,  6.21280% ,108402.0,  3.001% ,87776.0,  3.211% , 
31, ,31.0, Keldeo             ,  6.14996% ,143558.0,  3.974% ,108283.0,  3.961% , 
32, ,32.0, Magnezone          ,  5.97608% ,210522.0,  5.828% ,163310.0,  5.975% , 
33, ,33.0, Jirachi            ,  5.84113% ,116034.0,  3.212% ,87828.0,  3.213% , 
34, ,34.0, Gliscor            ,  5.40379% ,180269.0,  4.990% ,140049.0,  5.124% , 
35, ,35.0, Quagsire           ,  5.39391% ,52501.0,  1.453% ,38004.0,  1.390% , 
36, ,36.0, Pinsir-Mega        ,  4.79251% ,128392.0,  3.554% ,89325.0,  3.268% , 
37, ,37.0, Tyranitar          ,  4.77076% ,220297.0,  6.098% ,169317.0,  6.194% , 
38, ,38.0, Latias-Mega        ,  4.52228% ,56213.0,  1.556% ,39811.0,  1.456% , 
39, ,39.0, Pelipper           ,  4.50353% ,158255.0,  4.381% ,143325.0,  5.243% , 
40, ,40.0, Gastrodon          ,  4.47452% ,61216.0,  1.695% ,49428.0,  1.808% , 
41, ,41.0, Swampert-Mega      ,  4.41561% ,159105.0,  4.404% ,128113.0,  4.687% , 
42, ,42.0, Victini            ,  4.29917% ,170939.0,  4.732% ,129516.0,  4.738% , 
43, ,43.0, Latios-Mega        ,  4.27848% ,68816.0,  1.905% ,50419.0,  1.845% , 
44, ,44.0, Mew                ,  4.04265% ,161604.0,  4.474% ,124724.0,  4.563% , 
45, ,45.0, Weavile            ,  4.03726% ,118554.0,  3.282% ,85339.0,  3.122% , 
46, ,46.0, Kyurem-Black       ,  3.99994% ,157814.0,  4.369% ,115569.0,  4.228% , 
47, ,47.0, Hippowdon          ,  3.97739% ,56097.0,  1.553% ,48420.0,  1.771% , 
48, ,48.0, Mimikyu            ,  3.96946% ,248708.0,  6.885% ,172959.0,  6.328% , 
49, ,49.0, Garchomp           ,  3.89058% ,297692.0,  8.241% ,223307.0,  8.169% , 
50, ,50.0, Azumarill          ,  3.83589% ,106476.0,  2.948% ,80166.0,  2.933% , 
51, ,51.0, Hoopa-Unbound      ,  3.77605% ,102070.0,  2.826% ,71844.0,  2.628% , 
52, ,52.0, Diancie-Mega       ,  3.59120% ,111660.0,  3.091% ,86125.0,  3.151% , 
53, ,53.0, Latios             ,  3.26256% ,161769.0,  4.478% ,115028.0,  4.208% , 
54, ,54.0, Rotom-Wash         ,  3.21913% ,252067.0,  6.978% ,208842.0,  7.640% , 
55, ,55.0, Bisharp            ,  3.16870% ,174962.0,  4.843% ,122186.0,  4.470% , 
56, ,56.0, Volcarona          ,  3.15822% ,255709.0,  7.079% ,181540.0,  6.641% , 
57, ,57.0, Charizard-Mega-X   ,  2.94611% ,263881.0,  7.305% ,196030.0,  7.172% , 
58, ,58.0, Gyarados-Mega      ,  2.82853% ,128905.0,  3.568% ,96654.0,  3.536% , 
59, ,59.0, Lopunny-Mega       ,  2.78843% ,199607.0,  5.526% ,151972.0,  5.560% , 
60, ,60.0, Marowak-Alola      ,  2.71342% ,72316.0,  2.002% ,54981.0,  2.011% , 
61, ,61.0, Tyranitar-Mega     ,  2.33873% ,100121.0,  2.772% ,74269.0,  2.717% , 
62, ,62.0, Blacephalon        ,  2.20239% ,155430.0,  4.303% ,112252.0,  4.107% , 
63, ,63.0, Seismitoad         ,  2.14151% ,17442.0,  0.483% ,14520.0,  0.531% , 
64, ,64.0, Gengar             ,  1.98539% ,124480.0,  3.446% ,85533.0,  3.129% , 
65, ,65.0, Kingdra            ,  1.97413% ,74459.0,  2.061% ,51364.0,  1.879% , 
66, ,66.0, Ditto              ,  1.97128% ,52729.0,  1.460% ,37414.0,  1.369% , 
67, ,67.0, Manaphy            ,  1.96412% ,48079.0,  1.331% ,34391.0,  1.258% , 
68, ,68.0, Slowbro-Mega       ,  1.76232% ,25998.0,  0.720% ,19445.0,  0.711% , 
69, ,69.0, Araquanid          ,  1.74914% ,53280.0,  1.475% ,45893.0,  1.679% , 
70, ,70.0, Charizard-Mega-Y   ,  1.71929% ,159903.0,  4.427% ,124346.0,  4.549% , 
71, ,71.0, Mamoswine          ,  1.65929% ,138184.0,  3.825% ,111084.0,  4.064% , 
72, ,72.0, Reuniclus          ,  1.64944% ,29274.0,  0.810% ,20618.0,  0.754% , 
