, , Rank , Pokemon            , Usage %   , Raw    , %       , Real   , %       .1, .1
1, ,1.0, Incineroar         , 38.87529% ,42880.0, 13.386% ,0.0,  0.000% , 
2, ,2.0, Tapu Lele          , 35.74141% ,25843.0,  8.067% ,0.0,  0.000% , 
3, ,3.0, Tapu Fini          , 31.54738% ,25761.0,  8.042% ,0.0,  0.000% , 
4, ,4.0, Metagross-Mega     , 30.23218% ,19329.0,  6.034% ,0.0,  0.000% , 
5, ,5.0, Landorus-Therian   , 28.02840% ,42936.0, 13.403% ,0.0,  0.000% , 
6, ,6.0, Hoopa-Unbound      , 22.22027% ,8545.0,  2.667% ,0.0,  0.000% , 
7, ,7.0, Kommo-o            , 17.10948% ,16585.0,  5.177% ,0.0,  0.000% , 
8, ,8.0, Mew                , 15.69026% ,13456.0,  4.201% ,0.0,  0.000% , 
9, ,9.0, Volcanion          , 15.23078% ,9551.0,  2.982% ,0.0,  0.000% , 
10, ,10.0, Tapu Koko          , 14.78955% ,35708.0, 11.147% ,0.0,  0.000% , 
11, ,11.0, Zapdos             , 14.47515% ,23020.0,  7.186% ,0.0,  0.000% , 
12, ,12.0, Diancie            , 12.62575% ,6318.0,  1.972% ,0.0,  0.000% , 
13, ,13.0, Tapu Bulu          , 11.97476% ,15009.0,  4.685% ,0.0,  0.000% , 
14, ,14.0, Kartana            , 11.62375% ,19724.0,  6.157% ,0.0,  0.000% , 
15, ,15.0, Amoonguss          , 11.53417% ,19748.0,  6.165% ,0.0,  0.000% , 
16, ,16.0, Victini            , 10.74775% ,9675.0,  3.020% ,0.0,  0.000% , 
17, ,17.0, Zygarde            , 10.61751% ,12409.0,  3.874% ,0.0,  0.000% , 
18, ,18.0, Gastrodon          , 10.33860% ,16399.0,  5.119% ,0.0,  0.000% , 
19, ,19.0, Charizard-Mega-Y   ,  8.83865% ,29259.0,  9.134% ,0.0,  0.000% , 
20, ,20.0, Genesect           ,  7.83549% ,7602.0,  2.373% ,0.0,  0.000% , 
21, ,21.0, Pelipper           ,  7.19294% ,22097.0,  6.898% ,0.0,  0.000% , 
22, ,22.0, Kyurem-Black       ,  7.05841% ,9108.0,  2.843% ,0.0,  0.000% , 
23, ,23.0, Stakataka          ,  7.00456% ,9790.0,  3.056% ,0.0,  0.000% , 
24, ,24.0, Bronzong           ,  6.86359% ,8850.0,  2.763% ,0.0,  0.000% , 
25, ,25.0, Landorus           ,  6.68511% ,2521.0,  0.787% ,0.0,  0.000% , 
26, ,26.0, Porygon2           ,  6.50431% ,12499.0,  3.902% ,0.0,  0.000% , 
27, ,27.0, Scrafty            ,  6.39389% ,8934.0,  2.789% ,0.0,  0.000% , 
28, ,28.0, Manectric-Mega     ,  6.28295% ,8263.0,  2.579% ,0.0,  0.000% , 
29, ,29.0, Deoxys-Attack      ,  6.03680% ,7200.0,  2.248% ,0.0,  0.000% , 
30, ,30.0, Camerupt-Mega      ,  5.93103% ,11546.0,  3.604% ,0.0,  0.000% , 
31, ,31.0, Tyranitar-Mega     ,  5.81176% ,8998.0,  2.809% ,0.0,  0.000% , 
32, ,32.0, Cresselia          ,  5.42183% ,12702.0,  3.965% ,0.0,  0.000% , 
33, ,33.0, Milotic            ,  5.36283% ,19724.0,  6.157% ,0.0,  0.000% , 
34, ,34.0, Aegislash          ,  5.25793% ,16351.0,  5.104% ,0.0,  0.000% , 
35, ,35.0, Ferrothorn         ,  5.24858% ,18987.0,  5.927% ,0.0,  0.000% , 
36, ,36.0, Suicune            ,  5.15525% ,5987.0,  1.869% ,0.0,  0.000% , 
37, ,37.0, Celesteela         ,  4.96304% ,14668.0,  4.579% ,0.0,  0.000% , 
38, ,38.0, Volcarona          ,  4.63022% ,16131.0,  5.036% ,0.0,  0.000% , 
39, ,39.0, Diancie-Mega       ,  4.06767% ,6567.0,  2.050% ,0.0,  0.000% , 
40, ,40.0, Lurantis           ,  4.00450% ,4117.0,  1.285% ,0.0,  0.000% , 
41, ,41.0, Tyranitar          ,  3.59421% ,16365.0,  5.109% ,0.0,  0.000% , 
42, ,42.0, Smeargle           ,  3.36787% ,7365.0,  2.299% ,0.0,  0.000% , 
43, ,43.0, Scizor-Mega        ,  3.29739% ,6125.0,  1.912% ,0.0,  0.000% , 
44, ,44.0, Latias             ,  3.28809% ,3102.0,  0.968% ,0.0,  0.000% , 
45, ,45.0, Kingdra            ,  3.22572% ,11791.0,  3.681% ,0.0,  0.000% , 
46, ,46.0, Torkoal            ,  3.21903% ,7567.0,  2.362% ,0.0,  0.000% , 
47, ,47.0, Necrozma           ,  3.10580% ,1945.0,  0.607% ,0.0,  0.000% , 
48, ,48.0, Heatran            ,  2.90657% ,14008.0,  4.373% ,0.0,  0.000% , 
49, ,49.0, Venusaur-Mega      ,  2.82025% ,9707.0,  3.030% ,0.0,  0.000% , 
50, ,50.0, Gothitelle         ,  2.73094% ,4752.0,  1.483% ,0.0,  0.000% , 
51, ,51.0, Politoed           ,  2.59681% ,12474.0,  3.894% ,0.0,  0.000% , 
52, ,52.0, Garchomp           ,  2.56451% ,16287.0,  5.084% ,0.0,  0.000% , 
53, ,53.0, Mimikyu            ,  2.53446% ,15391.0,  4.805% ,0.0,  0.000% , 
54, ,54.0, Togedemaru         ,  2.53085% ,4801.0,  1.499% ,0.0,  0.000% , 
55, ,55.0, Blastoise-Mega     ,  2.50362% ,4678.0,  1.460% ,0.0,  0.000% , 
56, ,56.0, Gardevoir-Mega     ,  2.49934% ,8692.0,  2.713% ,0.0,  0.000% , 
57, ,57.0, Mawile-Mega        ,  2.49235% ,6864.0,  2.143% ,0.0,  0.000% , 
58, ,58.0, Whimsicott         ,  2.48233% ,16219.0,  5.063% ,0.0,  0.000% , 
59, ,59.0, Ninetales-Alola    ,  2.45418% ,15513.0,  4.843% ,0.0,  0.000% , 
60, ,60.0, Swampert-Mega      ,  2.42046% ,17245.0,  5.383% ,0.0,  0.000% , 
61, ,61.0, Salamence-Mega     ,  2.35341% ,14179.0,  4.426% ,0.0,  0.000% , 
