, , Rank , Pokemon            , Usage %   , Raw    , %       , Real   , %       .1, .1
65, ,65.0, Excadrill          ,  1.69599% ,11987.0,  3.416% ,0.0,  0.000% , 
66, ,66.0, Ludicolo           ,  1.56166% ,7452.0,  2.124% ,0.0,  0.000% , 
67, ,67.0, Togekiss           ,  1.51327% ,13150.0,  3.748% ,0.0,  0.000% , 
68, ,68.0, Landorus           ,  1.50850% ,2606.0,  0.743% ,0.0,  0.000% , 
69, ,69.0, Oranguru           ,  1.48550% ,16690.0,  4.756% ,0.0,  0.000% , 
70, ,70.0, Bisharp            ,  1.41012% ,7342.0,  2.092% ,0.0,  0.000% , 
71, ,71.0, Lucario-Mega       ,  1.19623% ,5921.0,  1.687% ,0.0,  0.000% , 
72, ,72.0, Tornadus           ,  1.10348% ,1547.0,  0.441% ,0.0,  0.000% , 
73, ,73.0, Raichu-Alola       ,  1.07039% ,4929.0,  1.405% ,0.0,  0.000% , 
74, ,74.0, Necrozma           ,  1.04173% ,1273.0,  0.363% ,0.0,  0.000% , 
75, ,75.0, Gastrodon          ,  1.01326% ,14792.0,  4.215% ,0.0,  0.000% , 
76, ,76.0, Abomasnow-Mega     ,  0.94677% ,4293.0,  1.223% ,0.0,  0.000% , 
77, ,77.0, Mawile-Mega        ,  0.91058% ,7037.0,  2.005% ,0.0,  0.000% , 
78, ,78.0, Gyarados-Mega      ,  0.85704% ,6275.0,  1.788% ,0.0,  0.000% , 
79, ,79.0, Garchomp           ,  0.80683% ,16972.0,  4.837% ,0.0,  0.000% , 
80, ,80.0, Hippowdon          ,  0.79632% ,3725.0,  1.062% ,0.0,  0.000% , 
81, ,81.0, Rotom-Wash         ,  0.78740% ,9172.0,  2.614% ,0.0,  0.000% , 
82, ,82.0, Arcanine           ,  0.69610% ,17571.0,  5.007% ,0.0,  0.000% , 
83, ,83.0, Venusaur-Mega      ,  0.66140% ,9451.0,  2.693% ,0.0,  0.000% , 
84, ,84.0, Comfey             ,  0.63427% ,5668.0,  1.615% ,0.0,  0.000% , 
85, ,85.0, Marowak-Alola      ,  0.62150% ,10289.0,  2.932% ,0.0,  0.000% , 
86, ,86.0, Cradily            ,  0.58934% ,5251.0,  1.496% ,0.0,  0.000% , 
87, ,87.0, Weavile            ,  0.58602% ,11163.0,  3.181% ,0.0,  0.000% , 
88, ,88.0, Stoutland          ,  0.55383% ,1967.0,  0.561% ,0.0,  0.000% , 
89, ,89.0, Azumarill          ,  0.50497% ,8030.0,  2.288% ,0.0,  0.000% , 
90, ,90.0, Hariyama           ,  0.50035% ,2393.0,  0.682% ,0.0,  0.000% , 
91, ,91.0, Blacephalon        ,  0.48601% ,6482.0,  1.847% ,0.0,  0.000% , 
92, ,92.0, Slowbro            ,  0.47556% ,2635.0,  0.751% ,0.0,  0.000% , 
93, ,93.0, Shaymin-Sky        ,  0.47389% ,4296.0,  1.224% ,0.0,  0.000% , 
94, ,94.0, Muk-Alola          ,  0.45199% ,9360.0,  2.667% ,0.0,  0.000% , 
95, ,95.0, Hydreigon          ,  0.44553% ,3917.0,  1.116% ,0.0,  0.000% , 
96, ,96.0, Gigalith           ,  0.41061% ,3419.0,  0.974% ,0.0,  0.000% , 
97, ,97.0, Aerodactyl-Mega    ,  0.40688% ,4758.0,  1.356% ,0.0,  0.000% , 
98, ,98.0, Primarina          ,  0.39706% ,4797.0,  1.367% ,0.0,  0.000% , 
99, ,99.0, Persian-Alola      ,  0.38939% ,3048.0,  0.869% ,0.0,  0.000% , 
100, ,100.0, Latias-Mega        ,  0.38417% ,1794.0,  0.511% ,0.0,  0.000% , 
101, ,101.0, Staraptor          ,  0.34560% ,7078.0,  2.017% ,0.0,  0.000% , 
102, ,102.0, Blaziken           ,  0.34469% ,5168.0,  1.473% ,0.0,  0.000% , 
103, ,103.0, Venusaur           ,  0.33531% ,7141.0,  2.035% ,0.0,  0.000% , 
104, ,104.0, Blaziken-Mega      ,  0.33360% ,5414.0,  1.543% ,0.0,  0.000% , 
105, ,105.0, Latias             ,  0.32929% ,3652.0,  1.041% ,0.0,  0.000% , 
106, ,106.0, Chandelure         ,  0.32332% ,5114.0,  1.457% ,0.0,  0.000% , 
107, ,107.0, Hawlucha           ,  0.32260% ,5804.0,  1.654% ,0.0,  0.000% , 
108, ,108.0, Magnezone          ,  0.30510% ,3674.0,  1.047% ,0.0,  0.000% , 
109, ,109.0, Terrakion          ,  0.29463% ,5790.0,  1.650% ,0.0,  0.000% , 
110, ,110.0, Greninja           ,  0.28983% ,13125.0,  3.740% ,0.0,  0.000% , 
111, ,111.0, Clefairy           ,  0.28193% ,2039.0,  0.581% ,0.0,  0.000% , 
112, ,112.0, Hitmontop          ,  0.28066% ,3874.0,  1.104% ,0.0,  0.000% , 
113, ,113.0, Meowstic           ,  0.25721% ,4147.0,  1.182% ,0.0,  0.000% , 
114, ,114.0, Tsareena           ,  0.25457% ,2713.0,  0.773% ,0.0,  0.000% , 
115, ,115.0, Greninja-Ash       ,  0.24950% ,13127.0,  3.741% ,0.0,  0.000% , 
116, ,116.0, Bruxish            ,  0.23852% ,5741.0,  1.636% ,0.0,  0.000% , 
117, ,117.0, Sharpedo-Mega      ,  0.23673% ,1195.0,  0.341% ,0.0,  0.000% , 
118, ,118.0, Krookodile         ,  0.23329% ,6422.0,  1.830% ,0.0,  0.000% , 
119, ,119.0, Conkeldurr         ,  0.23037% ,4179.0,  1.191% ,0.0,  0.000% , 
120, ,120.0, Sandslash-Alola    ,  0.22964% ,2812.0,  0.801% ,0.0,  0.000% , 
121, ,121.0, Durant             ,  0.22843% ,994.0,  0.283% ,0.0,  0.000% , 
122, ,122.0, Ribombee           ,  0.22653% ,4828.0,  1.376% ,0.0,  0.000% , 
123, ,123.0, Keldeo             ,  0.22570% ,3420.0,  0.975% ,0.0,  0.000% , 
124, ,124.0, Shedinja           ,  0.22540% ,10803.0,  3.079% ,0.0,  0.000% , 
125, ,125.0, Gyarados           ,  0.21987% ,8263.0,  2.355% ,0.0,  0.000% , 
126, ,126.0, Xurkitree          ,  0.21819% ,5749.0,  1.638% ,0.0,  0.000% , 
127, ,127.0, Slowbro-Mega       ,  0.21622% ,2797.0,  0.797% ,0.0,  0.000% , 
128, ,128.0, Raikou             ,  0.21140% ,1659.0,  0.473% ,0.0,  0.000% , 
129, ,129.0, Gliscor            ,  0.20514% ,7971.0,  2.272% ,0.0,  0.000% , 
