, , Rank , Pokemon            , Usage %   , Raw    , %       , Real   , %       .1, .1
1, ,1.0, Landorus-Therian   , 45.51370% ,1023017.0, 27.596% ,870529.0, 30.905% , 
2, ,2.0, Magearna           , 26.69433% ,387960.0, 10.465% ,304284.0, 10.802% , 
3, ,3.0, Zygarde            , 22.77122% ,351527.0,  9.482% ,255628.0,  9.075% , 
4, ,4.0, Heatran            , 21.55161% ,510537.0, 13.772% ,419152.0, 14.880% , 
5, ,5.0, Clefable           , 19.35121% ,343906.0,  9.277% ,258874.0,  9.190% , 
6, ,6.0, Kartana            , 16.89314% ,415613.0, 11.211% ,304802.0, 10.821% , 
7, ,7.0, Tapu Koko          , 15.81007% ,601043.0, 16.213% ,473839.0, 16.822% , 
8, ,8.0, Chansey            , 15.30114% ,270487.0,  7.296% ,202528.0,  7.190% , 
9, ,9.0, Greninja           , 15.22077% ,380602.0, 10.267% ,290761.0, 10.322% , 
10, ,10.0, Toxapex            , 15.10958% ,377649.0, 10.187% ,289750.0, 10.286% , 
11, ,11.0, Tornadus-Therian   , 14.03678% ,172940.0,  4.665% ,135111.0,  4.797% , 
12, ,12.0, Greninja-Ash       , 13.83870% ,523189.0, 14.113% ,385148.0, 13.673% , 
13, ,13.0, Ferrothorn         , 13.78949% ,548039.0, 14.783% ,465832.0, 16.538% , 
14, ,14.0, Tapu Lele          , 13.65060% ,325622.0,  8.784% ,243001.0,  8.627% , 
15, ,15.0, Excadrill          , 12.03229% ,269011.0,  7.256% ,208747.0,  7.411% , 
16, ,16.0, Tapu Bulu          , 11.51000% ,244712.0,  6.601% ,188240.0,  6.683% , 
17, ,17.0, Skarmory           , 10.87011% ,223749.0,  6.036% ,184024.0,  6.533% , 
18, ,18.0, Tangrowth          , 10.19617% ,170685.0,  4.604% ,130845.0,  4.645% , 
19, ,19.0, Zapdos             , 10.05994% ,316862.0,  8.547% ,249264.0,  8.849% , 
20, ,20.0, Celesteela         ,  8.54554% ,244733.0,  6.602% ,192249.0,  6.825% , 
21, ,21.0, Scizor-Mega        ,  7.98231% ,229042.0,  6.178% ,177025.0,  6.285% , 
22, ,22.0, Medicham-Mega      ,  7.26554% ,186614.0,  5.034% ,145548.0,  5.167% , 
23, ,23.0, Blacephalon        ,  7.11446% ,204928.0,  5.528% ,148244.0,  5.263% , 
24, ,24.0, Alakazam-Mega      ,  6.99313% ,202353.0,  5.458% ,137331.0,  4.875% , 
25, ,25.0, Mawile-Mega        ,  6.74358% ,164758.0,  4.444% ,121021.0,  4.296% , 
26, ,26.0, Sableye-Mega       ,  6.68236% ,131770.0,  3.554% ,113211.0,  4.019% , 
27, ,27.0, Hawlucha           ,  6.64478% ,246548.0,  6.651% ,166372.0,  5.906% , 
28, ,28.0, Tyranitar          ,  6.48570% ,227520.0,  6.137% ,175138.0,  6.218% , 
29, ,29.0, Tapu Fini          ,  5.72153% ,216598.0,  5.843% ,175512.0,  6.231% , 
30, ,30.0, Gyarados-Mega      ,  5.63616% ,147726.0,  3.985% ,110371.0,  3.918% , 
31, ,31.0, Latios-Mega        ,  5.52706% ,93200.0,  2.514% ,69088.0,  2.453% , 
32, ,32.0, Gliscor            ,  5.38322% ,200434.0,  5.407% ,154416.0,  5.482% , 
33, ,33.0, Venusaur-Mega      ,  5.29536% ,186727.0,  5.037% ,142488.0,  5.058% , 
34, ,34.0, Ninetales-Alola    ,  5.27434% ,112389.0,  3.032% ,90867.0,  3.226% , 
35, ,35.0, Keldeo             ,  5.26419% ,139201.0,  3.755% ,105240.0,  3.736% , 
36, ,36.0, Magnezone          ,  5.01406% ,201540.0,  5.436% ,156553.0,  5.558% , 
37, ,37.0, Mew                ,  4.77247% ,163360.0,  4.407% ,127331.0,  4.520% , 
38, ,38.0, Hippowdon          ,  4.75930% ,52240.0,  1.409% ,44821.0,  1.591% , 
39, ,39.0, Pinsir-Mega        ,  4.71282% ,127224.0,  3.432% ,88503.0,  3.142% , 
40, ,40.0, Amoonguss          ,  4.30962% ,120976.0,  3.263% ,89512.0,  3.178% , 
41, ,41.0, Lopunny-Mega       ,  4.27919% ,208614.0,  5.627% ,158252.0,  5.618% , 
