, , Rank , Pokemon            , Usage %   , Raw    , %       , Real   , %       .1, .1
1, ,1.0, Tapu Lele          , 38.06666% ,34929.0,  8.671% ,0.0,  0.000% , 
2, ,2.0, Landorus-Therian   , 37.83758% ,41224.0, 10.233% ,0.0,  0.000% , 
3, ,3.0, Salamence-Mega     , 23.65455% ,17495.0,  4.343% ,0.0,  0.000% , 
4, ,4.0, Heatran            , 22.09559% ,23715.0,  5.887% ,0.0,  0.000% , 
5, ,5.0, Tapu Fini          , 20.44628% ,24042.0,  5.968% ,0.0,  0.000% , 
6, ,6.0, Zapdos             , 20.21662% ,18529.0,  4.600% ,0.0,  0.000% , 
7, ,7.0, Hoopa-Unbound      , 18.90570% ,10358.0,  2.571% ,0.0,  0.000% , 
8, ,8.0, Aegislash          , 18.70376% ,16308.0,  4.048% ,0.0,  0.000% , 
9, ,9.0, Metagross-Mega     , 17.90633% ,19484.0,  4.837% ,0.0,  0.000% , 
10, ,10.0, Tapu Koko          , 17.35132% ,42969.0, 10.666% ,0.0,  0.000% , 
11, ,11.0, Deoxys-Attack      , 16.96485% ,7433.0,  1.845% ,0.0,  0.000% , 
12, ,12.0, Zygarde            , 13.48679% ,10020.0,  2.487% ,0.0,  0.000% , 
13, ,13.0, Amoonguss          , 12.97024% ,11166.0,  2.772% ,0.0,  0.000% , 
14, ,14.0, Charizard-Mega-Y   , 12.29099% ,39664.0,  9.846% ,0.0,  0.000% , 
15, ,15.0, Tyranitar          , 11.88331% ,23170.0,  5.752% ,0.0,  0.000% , 
16, ,16.0, Scrafty            ,  9.29782% ,5550.0,  1.378% ,0.0,  0.000% , 
17, ,17.0, Porygon2           ,  8.95265% ,17933.0,  4.452% ,0.0,  0.000% , 
18, ,18.0, Tapu Bulu          ,  8.34762% ,14424.0,  3.581% ,0.0,  0.000% , 
19, ,19.0, Celesteela         ,  7.72106% ,25901.0,  6.430% ,0.0,  0.000% , 
20, ,20.0, Ferrothorn         ,  7.39877% ,17829.0,  4.426% ,0.0,  0.000% , 
21, ,21.0, Snorlax            ,  7.39869% ,18355.0,  4.556% ,0.0,  0.000% , 
22, ,22.0, Politoed           ,  7.39285% ,17166.0,  4.261% ,0.0,  0.000% , 
23, ,23.0, Gengar-Mega        ,  7.16540% ,12731.0,  3.160% ,0.0,  0.000% , 
24, ,24.0, Genesect           ,  7.09080% ,5652.0,  1.403% ,0.0,  0.000% , 
25, ,25.0, Mawile-Mega        ,  7.04398% ,15980.0,  3.967% ,0.0,  0.000% , 
26, ,26.0, Victini            ,  6.41835% ,6942.0,  1.723% ,0.0,  0.000% , 
27, ,27.0, Diancie            ,  6.19036% ,6104.0,  1.515% ,0.0,  0.000% , 
28, ,28.0, Latios             ,  6.03882% ,7160.0,  1.777% ,0.0,  0.000% , 
29, ,29.0, Gyarados-Mega      ,  5.80028% ,10900.0,  2.706% ,0.0,  0.000% , 
30, ,30.0, Cresselia          ,  5.59905% ,7998.0,  1.985% ,0.0,  0.000% , 
31, ,31.0, Kartana            ,  5.47642% ,19693.0,  4.888% ,0.0,  0.000% , 
32, ,32.0, Kingdra            ,  5.31857% ,13096.0,  3.251% ,0.0,  0.000% , 
33, ,33.0, Suicune            ,  5.14687% ,5924.0,  1.471% ,0.0,  0.000% , 
34, ,34.0, Volcanion          ,  4.89556% ,8174.0,  2.029% ,0.0,  0.000% , 
35, ,35.0, Breloom            ,  4.55795% ,7877.0,  1.955% ,0.0,  0.000% , 
36, ,36.0, Excadrill          ,  4.40917% ,13770.0,  3.418% ,0.0,  0.000% , 
37, ,37.0, Mimikyu            ,  4.04965% ,25843.0,  6.415% ,0.0,  0.000% , 
38, ,38.0, Marowak-Alola      ,  3.98773% ,26976.0,  6.696% ,0.0,  0.000% , 
39, ,39.0, Milotic            ,  3.93556% ,14761.0,  3.664% ,0.0,  0.000% , 
40, ,40.0, Magnezone          ,  3.86873% ,8441.0,  2.095% ,0.0,  0.000% , 
41, ,41.0, Pelipper           ,  3.82688% ,24883.0,  6.177% ,0.0,  0.000% , 
