, , Rank , Pokemon            , Usage %   , Raw    , %       , Real   , %       .1, .1
1, ,1.0, Landorus-Therian   , 41.54820% ,1078478.0, 25.717% ,913833.0, 28.619% , 
2, ,2.0, Magearna           , 23.93781% ,575262.0, 13.718% ,451357.0, 14.135% , 
3, ,3.0, Zygarde            , 20.63282% ,388898.0,  9.274% ,286884.0,  8.985% , 
4, ,4.0, Celesteela         , 17.84378% ,354238.0,  8.447% ,281768.0,  8.824% , 
5, ,5.0, Dugtrio            , 17.44857% ,269659.0,  6.430% ,193433.0,  6.058% , 
6, ,6.0, Greninja-Ash       , 16.67169% ,626433.0, 14.938% ,465080.0, 14.565% , 
7, ,7.0, Toxapex            , 16.64744% ,360725.0,  8.602% ,277074.0,  8.677% , 
8, ,8.0, Clefable           , 15.87765% ,248722.0,  5.931% ,185628.0,  5.813% , 
9, ,9.0, Chansey            , 15.37320% ,311727.0,  7.433% ,235225.0,  7.367% , 
10, ,10.0, Tapu Koko          , 15.23354% ,607099.0, 14.477% ,473878.0, 14.841% , 
11, ,11.0, Skarmory           , 15.07246% ,332086.0,  7.919% ,274450.0,  8.595% , 
12, ,12.0, Tangrowth          , 13.93063% ,339595.0,  8.098% ,266297.0,  8.340% , 
13, ,13.0, Mew                , 13.89336% ,316066.0,  7.537% ,250551.0,  7.847% , 
14, ,14.0, Heatran            , 13.68910% ,488776.0, 11.655% ,400176.0, 12.533% , 
15, ,15.0, Tapu Lele          , 13.66088% ,370093.0,  8.825% ,272509.0,  8.534% , 
16, ,16.0, Greninja           , 13.21813% ,483300.0, 11.525% ,369153.0, 11.561% , 
17, ,17.0, Ferrothorn         , 13.06291% ,555253.0, 13.241% ,474295.0, 14.854% , 
18, ,18.0, Latios             , 11.14426% ,289710.0,  6.908% ,207869.0,  6.510% , 
19, ,19.0, Zapdos             , 10.27116% ,280516.0,  6.689% ,223333.0,  6.994% , 
20, ,20.0, Tapu Fini          , 10.07739% ,420568.0, 10.029% ,339643.0, 10.637% , 
21, ,21.0, Lopunny-Mega       ,  9.86138% ,341437.0,  8.142% ,270259.0,  8.464% , 
22, ,22.0, Garchomp           ,  8.60902% ,438466.0, 10.456% ,331782.0, 10.391% , 
23, ,23.0, Sableye-Mega       ,  8.39816% ,134278.0,  3.202% ,117334.0,  3.675% , 
24, ,24.0, Marshadow          ,  8.36723% ,223959.0,  5.341% ,171327.0,  5.366% , 
25, ,25.0, Keldeo             ,  8.31729% ,201468.0,  4.804% ,152649.0,  4.781% , 
26, ,26.0, Mawile-Mega        ,  7.90880% ,166680.0,  3.975% ,121805.0,  3.815% , 
27, ,27.0, Venusaur-Mega      ,  7.72019% ,198020.0,  4.722% ,152053.0,  4.762% , 
28, ,28.0, Excadrill          ,  7.33749% ,309861.0,  7.389% ,235444.0,  7.374% , 
29, ,29.0, Tapu Bulu          ,  7.33081% ,263560.0,  6.285% ,199048.0,  6.234% , 
30, ,30.0, Pinsir-Mega        ,  6.90073% ,166208.0,  3.963% ,116600.0,  3.652% , 
31, ,31.0, Mimikyu            ,  6.15821% ,322605.0,  7.693% ,226602.0,  7.097% , 
32, ,32.0, Scizor-Mega        ,  5.78855% ,226505.0,  5.401% ,177609.0,  5.562% , 
33, ,33.0, Charizard-Mega-Y   ,  5.71609% ,296524.0,  7.071% ,234281.0,  7.337% , 
34, ,34.0, Bisharp            ,  5.54137% ,268512.0,  6.403% ,184389.0,  5.775% , 
35, ,35.0, Tyranitar          ,  5.45499% ,242378.0,  5.780% ,188479.0,  5.903% , 
36, ,36.0, Medicham-Mega      ,  5.33717% ,167594.0,  3.996% ,128355.0,  4.020% , 
37, ,37.0, Pelipper           ,  4.38303% ,187939.0,  4.482% ,172060.0,  5.389% , 
38, ,38.0, Ninetales-Alola    ,  4.28456% ,111192.0,  2.651% ,91245.0,  2.858% , 
39, ,39.0, Tyranitar-Mega     ,  4.24156% ,133970.0,  3.195% ,98356.0,  3.080% , 
40, ,40.0, Gengar             ,  4.06172% ,266640.0,  6.358% ,186177.0,  5.831% , 
41, ,41.0, Charizard-Mega-X   ,  3.96709% ,244565.0,  5.832% ,183716.0,  5.754% , 
42, ,42.0, Marowak-Alola      ,  3.80029% ,206770.0,  4.931% ,156203.0,  4.892% , 
43, ,43.0, Kyurem-Black       ,  3.73221% ,149095.0,  3.555% ,110698.0,  3.467% , 
44, ,44.0, Suicune            ,  3.66170% ,55728.0,  1.329% ,40750.0,  1.276% , 
45, ,45.0, Magnezone          ,  3.63103% ,194735.0,  4.644% ,152007.0,  4.761% , 
46, ,46.0, Swampert-Mega      ,  3.55006% ,169986.0,  4.053% ,138174.0,  4.327% , 
47, ,47.0, Rotom-Wash         ,  3.53145% ,228604.0,  5.451% ,186192.0,  5.831% , 
48, ,48.0, Alakazam-Mega      ,  3.51199% ,158611.0,  3.782% ,107676.0,  3.372% , 
49, ,49.0, Manaphy            ,  3.50551% ,75870.0,  1.809% ,55894.0,  1.750% , 
50, ,50.0, Kartana            ,  3.15156% ,217518.0,  5.187% ,158320.0,  4.958% , 
51, ,51.0, Quagsire           ,  2.96747% ,29665.0,  0.707% ,21854.0,  0.684% , 
52, ,52.0, Tornadus-Therian   ,  2.89186% ,76156.0,  1.816% ,59030.0,  1.849% , 
53, ,53.0, Kingdra            ,  2.84648% ,119610.0,  2.852% ,84661.0,  2.651% , 
54, ,54.0, Jirachi            ,  2.82803% ,147018.0,  3.506% ,113028.0,  3.540% , 
55, ,55.0, Nihilego           ,  2.74891% ,150677.0,  3.593% ,114509.0,  3.586% , 
56, ,56.0, Latias             ,  2.62539% ,66225.0,  1.579% ,47214.0,  1.479% , 
57, ,57.0, Volcarona          ,  2.53463% ,277174.0,  6.609% ,199852.0,  6.259% , 
58, ,58.0, Manectric-Mega     ,  2.46074% ,166271.0,  3.965% ,132491.0,  4.149% , 
59, ,59.0, Smeargle           ,  2.35678% ,152564.0,  3.638% ,141359.0,  4.427% , 
60, ,60.0, Mantine            ,  2.29637% ,44862.0,  1.070% ,35823.0,  1.122% , 
61, ,61.0, Hoopa-Unbound      ,  2.27742% ,110177.0,  2.627% ,76998.0,  2.411% , 
62, ,62.0, Heracross-Mega     ,  2.27003% ,89789.0,  2.141% ,64656.0,  2.025% , 
63, ,63.0, Hawlucha           ,  2.26459% ,99021.0,  2.361% ,69695.0,  2.183% , 
64, ,64.0, Gallade-Mega       ,  2.18109% ,179246.0,  4.274% ,127375.0,  3.989% , 
65, ,65.0, Scizor             ,  2.13612% ,93728.0,  2.235% ,71209.0,  2.230% , 
66, ,66.0, Cresselia          ,  2.10758% ,47844.0,  1.141% ,36195.0,  1.134% , 
67, ,67.0, Serperior          ,  2.01857% ,177549.0,  4.234% ,127796.0,  4.002% , 
68, ,68.0, Gyarados-Mega      ,  1.63508% ,102671.0,  2.448% ,77954.0,  2.441% , 
69, ,69.0, Mandibuzz          ,  1.62606% ,56524.0,  1.348% ,43549.0,  1.364% , 
70, ,70.0, Azelf              ,  1.61845% ,45160.0,  1.077% ,41632.0,  1.304% , 
71, ,71.0, Gardevoir-Mega     ,  1.58024% ,142924.0,  3.408% ,99983.0,  3.131% , 
72, ,72.0, Victini            ,  1.53714% ,99711.0,  2.378% ,79061.0,  2.476% , 
73, ,73.0, Talonflame         ,  1.50917% ,51678.0,  1.232% ,37650.0,  1.179% , 
74, ,74.0, Camerupt-Mega      ,  1.49258% ,46657.0,  1.113% ,37169.0,  1.164% , 
75, ,75.0, Azumarill          ,  1.49123% ,107205.0,  2.556% ,80732.0,  2.528% , 
76, ,76.0, Weavile            ,  1.47366% ,115418.0,  2.752% ,84015.0,  2.631% , 
77, ,77.0, Tentacruel         ,  1.41176% ,60570.0,  1.444% ,47128.0,  1.476% , 
78, ,78.0, Alomomola          ,  1.38366% ,26744.0,  0.638% ,20238.0,  0.634% , 
79, ,79.0, Dragonite          ,  1.37017% ,170254.0,  4.060% ,121164.0,  3.795% , 
80, ,80.0, Thundurus          ,  1.36893% ,55843.0,  1.332% ,42071.0,  1.318% , 
81, ,81.0, Gyarados           ,  1.35683% ,105530.0,  2.516% ,80661.0,  2.526% , 
82, ,82.0, Hydreigon          ,  1.33763% ,70211.0,  1.674% ,51587.0,  1.616% , 
83, ,83.0, Amoonguss          ,  1.29293% ,43260.0,  1.032% ,32531.0,  1.019% , 
84, ,84.0, Mamoswine          ,  1.23213% ,68656.0,  1.637% ,56007.0,  1.754% , 
85, ,85.0, Hippowdon          ,  1.21043% ,55534.0,  1.324% ,47782.0,  1.496% , 
