, , Rank , Pokemon            , Usage %   , Raw    , %       , Real   , %       .1, .1
1, ,1.0, Tapu Lele          , 29.48288% ,23987.0,  7.928% ,0.0,  0.000% , 
2, ,2.0, Tapu Fini          , 27.00263% ,19188.0,  6.342% ,0.0,  0.000% , 
3, ,3.0, Hoopa-Unbound      , 26.20658% ,8732.0,  2.886% ,0.0,  0.000% , 
4, ,4.0, Landorus-Therian   , 26.19274% ,30126.0,  9.957% ,0.0,  0.000% , 
5, ,5.0, Salamence-Mega     , 20.09540% ,11168.0,  3.691% ,0.0,  0.000% , 
6, ,6.0, Heatran            , 18.98172% ,16226.0,  5.363% ,0.0,  0.000% , 
7, ,7.0, Zapdos             , 18.89838% ,14629.0,  4.835% ,0.0,  0.000% , 
8, ,8.0, Aegislash          , 18.50119% ,16986.0,  5.614% ,0.0,  0.000% , 
9, ,9.0, Tapu Koko          , 18.37835% ,37899.0, 12.526% ,0.0,  0.000% , 
10, ,10.0, Deoxys-Attack      , 16.55478% ,7922.0,  2.618% ,0.0,  0.000% , 
11, ,11.0, Tyranitar          , 16.10823% ,16269.0,  5.377% ,0.0,  0.000% , 
12, ,12.0, Metagross-Mega     , 15.83193% ,9849.0,  3.255% ,0.0,  0.000% , 
13, ,13.0, Snorlax            , 14.48612% ,15905.0,  5.257% ,0.0,  0.000% , 
14, ,14.0, Diancie            , 13.25553% ,6518.0,  2.154% ,0.0,  0.000% , 
15, ,15.0, Amoonguss          , 11.92616% ,11140.0,  3.682% ,0.0,  0.000% , 
16, ,16.0, Zygarde            , 11.58491% ,7185.0,  2.375% ,0.0,  0.000% , 
17, ,17.0, Ferrothorn         , 11.30717% ,16166.0,  5.343% ,0.0,  0.000% , 
18, ,18.0, Celesteela         , 11.24856% ,20321.0,  6.716% ,0.0,  0.000% , 
19, ,19.0, Charizard-Mega-Y   , 10.02112% ,28472.0,  9.410% ,0.0,  0.000% , 
20, ,20.0, Scrafty            ,  9.91050% ,5302.0,  1.752% ,0.0,  0.000% , 
21, ,21.0, Pelipper           ,  9.06026% ,23786.0,  7.862% ,0.0,  0.000% , 
22, ,22.0, Tapu Bulu          ,  8.15245% ,10979.0,  3.629% ,0.0,  0.000% , 
23, ,23.0, Victini            ,  7.96874% ,3928.0,  1.298% ,0.0,  0.000% , 
24, ,24.0, Kingdra            ,  7.48992% ,13665.0,  4.516% ,0.0,  0.000% , 
25, ,25.0, Gengar-Mega        ,  7.04005% ,7917.0,  2.617% ,0.0,  0.000% , 
26, ,26.0, Excadrill          ,  6.85317% ,12136.0,  4.011% ,0.0,  0.000% , 
27, ,27.0, Kyurem-Black       ,  6.50718% ,3429.0,  1.133% ,0.0,  0.000% , 
28, ,28.0, Gigalith           ,  6.29315% ,5136.0,  1.698% ,0.0,  0.000% , 
29, ,29.0, Politoed           ,  6.26960% ,15768.0,  5.212% ,0.0,  0.000% , 
30, ,30.0, Volcanion          ,  6.25401% ,8881.0,  2.935% ,0.0,  0.000% , 
31, ,31.0, Abomasnow-Mega     ,  6.15335% ,5998.0,  1.982% ,0.0,  0.000% , 
32, ,32.0, Gyarados-Mega      ,  5.68694% ,6061.0,  2.003% ,0.0,  0.000% , 
33, ,33.0, Cresselia          ,  5.32499% ,8436.0,  2.788% ,0.0,  0.000% , 
34, ,34.0, Milotic            ,  5.20102% ,13088.0,  4.326% ,0.0,  0.000% , 
35, ,35.0, Porygon2           ,  4.98064% ,14784.0,  4.886% ,0.0,  0.000% , 
36, ,36.0, Ludicolo           ,  4.59383% ,7617.0,  2.518% ,0.0,  0.000% , 
37, ,37.0, Terrakion          ,  4.49002% ,5546.0,  1.833% ,0.0,  0.000% , 
38, ,38.0, Mew                ,  4.46462% ,6762.0,  2.235% ,0.0,  0.000% , 
39, ,39.0, Volcarona          ,  4.31263% ,19193.0,  6.344% ,0.0,  0.000% , 
40, ,40.0, Breloom            ,  3.99539% ,4906.0,  1.621% ,0.0,  0.000% , 
41, ,41.0, Swampert-Mega      ,  3.98080% ,13676.0,  4.520% ,0.0,  0.000% , 
42, ,42.0, Marowak-Alola      ,  3.87365% ,20710.0,  6.845% ,0.0,  0.000% , 
43, ,43.0, Shaymin-Sky        ,  3.42807% ,4917.0,  1.625% ,0.0,  0.000% , 
44, ,44.0, Thundurus-Therian  ,  3.23886% ,6911.0,  2.284% ,0.0,  0.000% , 
45, ,45.0, Mawile-Mega        ,  3.13027% ,9167.0,  3.030% ,0.0,  0.000% , 
46, ,46.0, Scizor-Mega        ,  3.06412% ,5937.0,  1.962% ,0.0,  0.000% , 
47, ,47.0, Araquanid          ,  3.04844% ,10588.0,  3.499% ,0.0,  0.000% , 
48, ,48.0, Suicune            ,  2.79064% ,4106.0,  1.357% ,0.0,  0.000% , 
49, ,49.0, Arcanine           ,  2.72436% ,24303.0,  8.032% ,0.0,  0.000% , 
50, ,50.0, Aerodactyl         ,  2.61619% ,2662.0,  0.880% ,0.0,  0.000% , 
51, ,51.0, Genesect           ,  2.60304% ,2780.0,  0.919% ,0.0,  0.000% , 
52, ,52.0, Hippowdon          ,  2.52167% ,3595.0,  1.188% ,0.0,  0.000% , 
53, ,53.0, Mimikyu            ,  2.48277% ,19980.0,  6.604% ,0.0,  0.000% , 
54, ,54.0, Kartana            ,  2.47764% ,17011.0,  5.622% ,0.0,  0.000% , 
55, ,55.0, Rhydon             ,  2.47566% ,1275.0,  0.421% ,0.0,  0.000% , 
56, ,56.0, Landorus           ,  2.24774% ,2093.0,  0.692% ,0.0,  0.000% , 
57, ,57.0, Porygon-Z          ,  2.22818% ,7323.0,  2.420% ,0.0,  0.000% , 
58, ,58.0, Gastrodon          ,  2.09851% ,13669.0,  4.518% ,0.0,  0.000% , 
59, ,59.0, Sylveon            ,  2.07692% ,8045.0,  2.659% ,0.0,  0.000% , 
60, ,60.0, Weavile            ,  2.01586% ,12772.0,  4.221% ,0.0,  0.000% , 
61, ,61.0, Ninetales-Alola    ,  1.95290% ,15098.0,  4.990% ,0.0,  0.000% , 
62, ,62.0, Blastoise-Mega     ,  1.93178% ,4829.0,  1.596% ,0.0,  0.000% , 
63, ,63.0, Torkoal            ,  1.86883% ,9735.0,  3.218% ,0.0,  0.000% , 
64, ,64.0, Garchomp           ,  1.86434% ,24935.0,  8.241% ,0.0,  0.000% , 
65, ,65.0, Latios             ,  1.86039% ,4049.0,  1.338% ,0.0,  0.000% , 
66, ,66.0, Raichu             ,  1.74778% ,6464.0,  2.136% ,0.0,  0.000% , 
67, ,67.0, Hydreigon          ,  1.66464% ,4164.0,  1.376% ,0.0,  0.000% , 
68, ,68.0, Venusaur-Mega      ,  1.60655% ,10551.0,  3.487% ,0.0,  0.000% , 
69, ,69.0, Oranguru           ,  1.58167% ,18271.0,  6.039% ,0.0,  0.000% , 
70, ,70.0, Gyarados           ,  1.51617% ,6692.0,  2.212% ,0.0,  0.000% , 
71, ,71.0, Whimsicott         ,  1.51306% ,13234.0,  4.374% ,0.0,  0.000% , 
72, ,72.0, Omastar            ,  1.46414% ,1212.0,  0.401% ,0.0,  0.000% , 
73, ,73.0, Greninja-Ash       ,  1.46166% ,14355.0,  4.745% ,0.0,  0.000% , 
74, ,74.0, Muk-Alola          ,  1.44129% ,14721.0,  4.865% ,0.0,  0.000% , 
75, ,75.0, Thundurus          ,  1.37481% ,3965.0,  1.310% ,0.0,  0.000% , 
76, ,76.0, Smeargle           ,  1.34678% ,7105.0,  2.348% ,0.0,  0.000% , 
77, ,77.0, Hitmontop          ,  1.31299% ,3358.0,  1.110% ,0.0,  0.000% , 
78, ,78.0, Azumarill          ,  1.28465% ,9695.0,  3.204% ,0.0,  0.000% , 
79, ,79.0, Murkrow            ,  1.24841% ,1686.0,  0.557% ,0.0,  0.000% , 
80, ,80.0, Sceptile-Mega      ,  1.21911% ,15325.0,  5.065% ,0.0,  0.000% , 
81, ,81.0, Pheromosa          ,  1.20677% ,6589.0,  2.178% ,0.0,  0.000% , 
82, ,82.0, Tyranitar-Mega     ,  1.18831% ,5433.0,  1.796% ,0.0,  0.000% , 
83, ,83.0, Bronzong           ,  1.11477% ,6627.0,  2.190% ,0.0,  0.000% , 
84, ,84.0, Togekiss           ,  1.10035% ,12037.0,  3.978% ,0.0,  0.000% , 
85, ,85.0, Hariyama           ,  1.09332% ,2053.0,  0.679% ,0.0,  0.000% , 
86, ,86.0, Venusaur           ,  1.07592% ,6969.0,  2.303% ,0.0,  0.000% , 
87, ,87.0, Dusclops           ,  0.93959% ,3771.0,  1.246% ,0.0,  0.000% , 
88, ,88.0, Rotom-Wash         ,  0.91096% ,10186.0,  3.367% ,0.0,  0.000% , 
89, ,89.0, Meloetta           ,  0.90828% ,1048.0,  0.346% ,0.0,  0.000% , 
90, ,90.0, Keldeo             ,  0.80323% ,2133.0,  0.705% ,0.0,  0.000% , 
91, ,91.0, Buzzwole           ,  0.79725% ,3819.0,  1.262% ,0.0,  0.000% , 
92, ,92.0, Drampa             ,  0.78210% ,4447.0,  1.470% ,0.0,  0.000% , 
93, ,93.0, Bisharp            ,  0.77959% ,5879.0,  1.943% ,0.0,  0.000% , 
94, ,94.0, Ninetales          ,  0.73356% ,8085.0,  2.672% ,0.0,  0.000% , 
95, ,95.0, Medicham-Mega      ,  0.73037% ,5348.0,  1.768% ,0.0,  0.000% , 
96, ,96.0, Clefairy           ,  0.71813% ,2467.0,  0.815% ,0.0,  0.000% , 
97, ,97.0, Togedemaru         ,  0.69911% ,4020.0,  1.329% ,0.0,  0.000% , 
98, ,98.0, Goodra             ,  0.66956% ,6679.0,  2.207% ,0.0,  0.000% , 
99, ,99.0, Cradily            ,  0.66129% ,4997.0,  1.652% ,0.0,  0.000% , 
100, ,100.0, Xurkitree          ,  0.63234% ,7502.0,  2.480% ,0.0,  0.000% , 
101, ,101.0, Incineroar         ,  0.61215% ,2215.0,  0.732% ,0.0,  0.000% , 
102, ,102.0, Aerodactyl-Mega    ,  0.58050% ,5237.0,  1.731% ,0.0,  0.000% , 
103, ,103.0, Parasect           ,  0.56398% ,1127.0,  0.372% ,0.0,  0.000% , 
104, ,104.0, Gothitelle         ,  0.55380% ,2512.0,  0.830% ,0.0,  0.000% , 
105, ,105.0, Seismitoad         ,  0.51665% ,1953.0,  0.645% ,0.0,  0.000% , 
106, ,106.0, Entei              ,  0.49626% ,782.0,  0.258% ,0.0,  0.000% , 
107, ,107.0, Chansey            ,  0.47420% ,5208.0,  1.721% ,0.0,  0.000% , 
108, ,108.0, Vikavolt           ,  0.46129% ,3880.0,  1.282% ,0.0,  0.000% , 
109, ,109.0, Chandelure         ,  0.45776% ,6811.0,  2.251% ,0.0,  0.000% , 
110, ,110.0, Drifblim           ,  0.43635% ,2107.0,  0.696% ,0.0,  0.000% , 
111, ,111.0, Slowbro-Mega       ,  0.42100% ,3804.0,  1.257% ,0.0,  0.000% , 
112, ,112.0, Metagross          ,  0.42003% ,5687.0,  1.880% ,0.0,  0.000% , 
113, ,113.0, Comfey             ,  0.40129% ,9116.0,  3.013% ,0.0,  0.000% , 
114, ,114.0, Manectric-Mega     ,  0.38777% ,4281.0,  1.415% ,0.0,  0.000% , 
115, ,115.0, Raichu-Alola       ,  0.38752% ,8748.0,  2.891% ,0.0,  0.000% , 
116, ,116.0, Clefable           ,  0.38365% ,9375.0,  3.099% ,0.0,  0.000% , 
117, ,117.0, Turtonator         ,  0.37513% ,1616.0,  0.534% ,0.0,  0.000% , 
118, ,118.0, Cofagrigus         ,  0.36973% ,3972.0,  1.313% ,0.0,  0.000% , 
119, ,119.0, Scizor             ,  0.36720% ,4409.0,  1.457% ,0.0,  0.000% , 
120, ,120.0, Rhyperior          ,  0.34907% ,3345.0,  1.106% ,0.0,  0.000% , 
121, ,121.0, Nihilego           ,  0.32625% ,4808.0,  1.589% ,0.0,  0.000% , 
122, ,122.0, Greninja           ,  0.32184% ,14370.0,  4.749% ,0.0,  0.000% , 
123, ,123.0, Mamoswine          ,  0.30387% ,4160.0,  1.375% ,0.0,  0.000% , 
124, ,124.0, Necrozma           ,  0.29918% ,1397.0,  0.462% ,0.0,  0.000% , 
125, ,125.0, Magnezone          ,  0.29798% ,4726.0,  1.562% ,0.0,  0.000% , 
126, ,126.0, Houndoom-Mega      ,  0.29622% ,4304.0,  1.423% ,0.0,  0.000% , 
127, ,127.0, Umbreon            ,  0.28895% ,4920.0,  1.626% ,0.0,  0.000% , 
128, ,128.0, Salamence          ,  0.28831% ,4890.0,  1.616% ,0.0,  0.000% , 
129, ,129.0, Blaziken           ,  0.28245% ,5213.0,  1.723% ,0.0,  0.000% , 
130, ,130.0, Typhlosion         ,  0.27320% ,5097.0,  1.685% ,0.0,  0.000% , 
131, ,131.0, Exeggutor-Alola    ,  0.27276% ,2410.0,  0.797% ,0.0,  0.000% , 
132, ,132.0, Darkrai            ,  0.26320% ,2679.0,  0.885% ,0.0,  0.000% , 
133, ,133.0, Audino-Mega        ,  0.25919% ,5208.0,  1.721% ,0.0,  0.000% , 
134, ,134.0, Sandslash-Alola    ,  0.25443% ,4371.0,  1.445% ,0.0,  0.000% , 
135, ,135.0, Rotom-Heat         ,  0.24975% ,1929.0,  0.638% ,0.0,  0.000% , 
136, ,136.0, Primarina          ,  0.24773% ,3650.0,  1.206% ,0.0,  0.000% , 
137, ,137.0, Aromatisse         ,  0.23726% ,2023.0,  0.669% ,0.0,  0.000% , 
138, ,138.0, Lilligant          ,  0.23441% ,6014.0,  1.988% ,0.0,  0.000% , 
139, ,139.0, Gengar             ,  0.22399% ,7445.0,  2.461% ,0.0,  0.000% , 
140, ,140.0, Dragalge           ,  0.21500% ,1299.0,  0.429% ,0.0,  0.000% , 
141, ,141.0, Stoutland          ,  0.21450% ,1612.0,  0.533% ,0.0,  0.000% , 
142, ,142.0, Hawlucha           ,  0.21442% ,3888.0,  1.285% ,0.0,  0.000% , 
143, ,143.0, Dragonite          ,  0.21139% ,7847.0,  2.594% ,0.0,  0.000% , 
144, ,144.0, Aurorus            ,  0.21083% ,2747.0,  0.908% ,0.0,  0.000% , 
145, ,145.0, Abomasnow          ,  0.20606% ,1122.0,  0.371% ,0.0,  0.000% , 
146, ,146.0, Wishiwashi         ,  0.20279% ,3060.0,  1.011% ,0.0,  0.000% , 
147, ,147.0, Crabominable       ,  0.19757% ,1575.0,  0.521% ,0.0,  0.000% , 
148, ,148.0, Infernape          ,  0.19170% ,7117.0,  2.352% ,0.0,  0.000% , 
149, ,149.0, Serperior          ,  0.18956% ,9183.0,  3.035% ,0.0,  0.000% , 
150, ,150.0, Charizard-Mega-X   ,  0.18857% ,7485.0,  2.474% ,0.0,  0.000% , 
151, ,151.0, Glaceon            ,  0.18754% ,2037.0,  0.673% ,0.0,  0.000% , 
152, ,152.0, Malamar            ,  0.18468% ,3608.0,  1.192% ,0.0,  0.000% , 
153, ,153.0, Pachirisu          ,  0.18174% ,2951.0,  0.975% ,0.0,  0.000% , 
154, ,154.0, Sableye-Mega       ,  0.18134% ,4336.0,  1.433% ,0.0,  0.000% , 
155, ,155.0, Heracross-Mega     ,  0.17213% ,4150.0,  1.372% ,0.0,  0.000% , 
156, ,156.0, Conkeldurr         ,  0.16974% ,3404.0,  1.125% ,0.0,  0.000% , 
157, ,157.0, Alakazam-Mega      ,  0.16848% ,5976.0,  1.975% ,0.0,  0.000% , 
158, ,158.0, Slowbro            ,  0.16808% ,3076.0,  1.017% ,0.0,  0.000% , 
159, ,159.0, Golem-Alola        ,  0.16384% ,3961.0,  1.309% ,0.0,  0.000% , 
160, ,160.0, Heliolisk          ,  0.16378% ,4974.0,  1.644% ,0.0,  0.000% , 
161, ,161.0, Reuniclus          ,  0.16184% ,3359.0,  1.110% ,0.0,  0.000% , 
162, ,162.0, Toxapex            ,  0.15981% ,6876.0,  2.273% ,0.0,  0.000% , 
163, ,163.0, Tentacruel         ,  0.15964% ,2609.0,  0.862% ,0.0,  0.000% , 
164, ,164.0, Garchomp-Mega      ,  0.15874% ,6622.0,  2.189% ,0.0,  0.000% , 
165, ,165.0, Golisopod          ,  0.15309% ,2751.0,  0.909% ,0.0,  0.000% , 
166, ,166.0, Vanilluxe          ,  0.14711% ,1682.0,  0.556% ,0.0,  0.000% , 
167, ,167.0, Talonflame         ,  0.14681% ,5916.0,  1.955% ,0.0,  0.000% , 
168, ,168.0, Shuckle            ,  0.14679% ,7330.0,  2.423% ,0.0,  0.000% , 
169, ,169.0, Lucario-Mega       ,  0.14615% ,4495.0,  1.486% ,0.0,  0.000% , 
170, ,170.0, Krookodile         ,  0.14285% ,5169.0,  1.708% ,0.0,  0.000% , 
171, ,171.0, Togetic            ,  0.13832% ,3176.0,  1.050% ,0.0,  0.000% , 
172, ,172.0, Gorebyss           ,  0.13772% ,544.0,  0.180% ,0.0,  0.000% , 
173, ,173.0, Gardevoir          ,  0.13088% ,6555.0,  2.167% ,0.0,  0.000% , 
174, ,174.0, Salazzle           ,  0.12896% ,4911.0,  1.623% ,0.0,  0.000% , 
175, ,175.0, Ursaring           ,  0.12767% ,871.0,  0.288% ,0.0,  0.000% , 
176, ,176.0, Machamp            ,  0.12663% ,3891.0,  1.286% ,0.0,  0.000% , 
177, ,177.0, Skarmory           ,  0.12444% ,3881.0,  1.283% ,0.0,  0.000% , 
178, ,178.0, Rotom-Frost        ,  0.12273% ,843.0,  0.279% ,0.0,  0.000% , 
179, ,179.0, Escavalier         ,  0.12129% ,1432.0,  0.473% ,0.0,  0.000% , 
180, ,180.0, Pidgeot-Mega       ,  0.11344% ,2958.0,  0.978% ,0.0,  0.000% , 
181, ,181.0, Dewgong            ,  0.11038% ,695.0,  0.230% ,0.0,  0.000% , 
182, ,182.0, Electivire         ,  0.10728% ,7065.0,  2.335% ,0.0,  0.000% , 
183, ,183.0, Roserade           ,  0.10522% ,2453.0,  0.811% ,0.0,  0.000% , 
184, ,184.0, Jolteon            ,  0.10172% ,7499.0,  2.479% ,0.0,  0.000% , 
185, ,185.0, Charjabug          ,  0.10137% ,1703.0,  0.563% ,0.0,  0.000% , 
186, ,186.0, Victreebel         ,  0.10112% ,1347.0,  0.445% ,0.0,  0.000% , 
187, ,187.0, Shiftry            ,  0.09829% ,866.0,  0.286% ,0.0,  0.000% , 
188, ,188.0, Oricorio-Pom-Pom   ,  0.09800% ,6638.0,  2.194% ,0.0,  0.000% , 
189, ,189.0, Armaldo            ,  0.09695% ,1111.0,  0.367% ,0.0,  0.000% , 
190, ,190.0, Persian-Alola      ,  0.09632% ,2695.0,  0.891% ,0.0,  0.000% , 
191, ,191.0, Crobat             ,  0.09594% ,5125.0,  1.694% ,0.0,  0.000% , 
192, ,192.0, Mudsdale           ,  0.09392% ,3250.0,  1.074% ,0.0,  0.000% , 
193, ,193.0, Staraptor          ,  0.09339% ,4521.0,  1.494% ,0.0,  0.000% , 
194, ,194.0, Lanturn            ,  0.09229% ,4300.0,  1.421% ,0.0,  0.000% , 
195, ,195.0, Trevenant          ,  0.09190% ,2959.0,  0.978% ,0.0,  0.000% , 
196, ,196.0, Dugtrio            ,  0.09015% ,2596.0,  0.858% ,0.0,  0.000% , 
197, ,197.0, Toxicroak          ,  0.09001% ,3023.0,  0.999% ,0.0,  0.000% , 
198, ,198.0, Blaziken-Mega      ,  0.08936% ,3953.0,  1.307% ,0.0,  0.000% , 
199, ,199.0, Feraligatr         ,  0.08916% ,2684.0,  0.887% ,0.0,  0.000% , 
200, ,200.0, Darmanitan         ,  0.08871% ,2155.0,  0.712% ,0.0,  0.000% , 
201, ,201.0, Regigigas          ,  0.08699% ,2075.0,  0.686% ,0.0,  0.000% , 
202, ,202.0, Gliscor            ,  0.08640% ,5668.0,  1.873% ,0.0,  0.000% , 
203, ,203.0, Lucario            ,  0.08427% ,3832.0,  1.267% ,0.0,  0.000% , 
204, ,204.0, Ribombee           ,  0.08097% ,3891.0,  1.286% ,0.0,  0.000% , 
205, ,205.0, Meowstic           ,  0.07714% ,2433.0,  0.804% ,0.0,  0.000% , 
206, ,206.0, Zygarde-10%        ,  0.07630% ,522.0,  0.173% ,0.0,  0.000% , 
207, ,207.0, Minior             ,  0.07533% ,2074.0,  0.685% ,0.0,  0.000% , 
208, ,208.0, Moltres            ,  0.07494% ,534.0,  0.176% ,0.0,  0.000% , 
209, ,209.0, Beedrill-Mega      ,  0.07478% ,3900.0,  1.289% ,0.0,  0.000% , 
210, ,210.0, Beartic            ,  0.07410% ,2131.0,  0.704% ,0.0,  0.000% , 
211, ,211.0, Espeon             ,  0.07370% ,5264.0,  1.740% ,0.0,  0.000% , 
212, ,212.0, Lapras             ,  0.07365% ,3853.0,  1.273% ,0.0,  0.000% , 
213, ,213.0, Latias             ,  0.07363% ,2400.0,  0.793% ,0.0,  0.000% , 
214, ,214.0, Jellicent          ,  0.07283% ,1904.0,  0.629% ,0.0,  0.000% , 
215, ,215.0, Kyurem             ,  0.07279% ,405.0,  0.134% ,0.0,  0.000% , 
216, ,216.0, Sableye            ,  0.07216% ,4150.0,  1.372% ,0.0,  0.000% , 
217, ,217.0, Slowking           ,  0.07120% ,1982.0,  0.655% ,0.0,  0.000% , 
218, ,218.0, Liepard            ,  0.07094% ,1759.0,  0.581% ,0.0,  0.000% , 
219, ,219.0, Sharpedo-Mega      ,  0.07029% ,1148.0,  0.379% ,0.0,  0.000% , 
220, ,220.0, Tornadus-Therian   ,  0.06994% ,1145.0,  0.378% ,0.0,  0.000% , 
221, ,221.0, Electabuzz         ,  0.06904% ,511.0,  0.169% ,0.0,  0.000% , 
222, ,222.0, Regirock           ,  0.06876% ,534.0,  0.176% ,0.0,  0.000% , 
223, ,223.0, Alakazam           ,  0.06736% ,2820.0,  0.932% ,0.0,  0.000% , 
224, ,224.0, Solrock            ,  0.06672% ,413.0,  0.137% ,0.0,  0.000% , 
225, ,225.0, Tornadus           ,  0.06655% ,1181.0,  0.390% ,0.0,  0.000% , 
226, ,226.0, Scolipede          ,  0.06600% ,3050.0,  1.008% ,0.0,  0.000% , 
227, ,227.0, Donphan            ,  0.06263% ,1070.0,  0.354% ,0.0,  0.000% , 
228, ,228.0, Blastoise          ,  0.06157% ,3454.0,  1.142% ,0.0,  0.000% , 
229, ,229.0, Klefki             ,  0.06062% ,4240.0,  1.401% ,0.0,  0.000% , 
230, ,230.0, Silvally           ,  0.05994% ,569.0,  0.188% ,0.0,  0.000% , 
231, ,231.0, Manaphy            ,  0.05945% ,2060.0,  0.681% ,0.0,  0.000% , 
232, ,232.0, Blissey            ,  0.05921% ,3929.0,  1.299% ,0.0,  0.000% , 
233, ,233.0, Golduck            ,  0.05879% ,2109.0,  0.697% ,0.0,  0.000% , 
234, ,234.0, Raikou             ,  0.05667% ,1572.0,  0.520% ,0.0,  0.000% , 
235, ,235.0, Starmie            ,  0.05629% ,3009.0,  0.995% ,0.0,  0.000% , 
236, ,236.0, Noivern            ,  0.05627% ,3114.0,  1.029% ,0.0,  0.000% , 
237, ,237.0, Magneton           ,  0.05450% ,437.0,  0.144% ,0.0,  0.000% , 
238, ,238.0, Nidoking           ,  0.05422% ,2962.0,  0.979% ,0.0,  0.000% , 
239, ,239.0, Vaporeon           ,  0.05377% ,3955.0,  1.307% ,0.0,  0.000% , 
240, ,240.0, Stantler           ,  0.05362% ,894.0,  0.295% ,0.0,  0.000% , 
241, ,241.0, Galvantula         ,  0.05252% ,3543.0,  1.171% ,0.0,  0.000% , 
242, ,242.0, Mienshao           ,  0.05143% ,2410.0,  0.797% ,0.0,  0.000% , 
243, ,243.0, Marowak            ,  0.04963% ,790.0,  0.261% ,0.0,  0.000% , 
244, ,244.0, Octillery          ,  0.04870% ,337.0,  0.111% ,0.0,  0.000% , 
245, ,245.0, Tangrowth          ,  0.04611% ,2418.0,  0.799% ,0.0,  0.000% , 
246, ,246.0, Sawsbuck           ,  0.04553% ,769.0,  0.254% ,0.0,  0.000% , 
247, ,247.0, Diggersby          ,  0.04425% ,957.0,  0.316% ,0.0,  0.000% , 
248, ,248.0, Walrein            ,  0.04404% ,1537.0,  0.508% ,0.0,  0.000% , 
249, ,249.0, Rampardos          ,  0.04281% ,1395.0,  0.461% ,0.0,  0.000% , 
250, ,250.0, Cloyster           ,  0.04247% ,3900.0,  1.289% ,0.0,  0.000% , 
251, ,251.0, Crawdaunt          ,  0.04213% ,2481.0,  0.820% ,0.0,  0.000% , 
252, ,252.0, Mr. Mime           ,  0.04191% ,1786.0,  0.590% ,0.0,  0.000% , 
253, ,253.0, Pinsir-Mega        ,  0.04130% ,1353.0,  0.447% ,0.0,  0.000% , 
254, ,254.0, Decidueye          ,  0.04081% ,2874.0,  0.950% ,0.0,  0.000% , 
255, ,255.0, Palossand          ,  0.04060% ,2574.0,  0.851% ,0.0,  0.000% , 
256, ,256.0, Jynx               ,  0.04024% ,865.0,  0.286% ,0.0,  0.000% , 
257, ,257.0, Archeops           ,  0.04015% ,1158.0,  0.383% ,0.0,  0.000% , 
258, ,258.0, Braviary           ,  0.03894% ,1176.0,  0.389% ,0.0,  0.000% , 
259, ,259.0, Rotom-Mow          ,  0.03829% ,765.0,  0.253% ,0.0,  0.000% , 
260, ,260.0, Lickilicky         ,  0.03780% ,909.0,  0.300% ,0.0,  0.000% , 
261, ,261.0, Exeggutor          ,  0.03748% ,1242.0,  0.410% ,0.0,  0.000% , 
262, ,262.0, Kabutops           ,  0.03747% ,2053.0,  0.679% ,0.0,  0.000% , 
263, ,263.0, Bewear             ,  0.03725% ,1943.0,  0.642% ,0.0,  0.000% , 
264, ,264.0, Musharna           ,  0.03721% ,844.0,  0.279% ,0.0,  0.000% , 
265, ,265.0, Kommo-o            ,  0.03651% ,2038.0,  0.674% ,0.0,  0.000% , 
266, ,266.0, Seaking            ,  0.03650% ,2594.0,  0.857% ,0.0,  0.000% , 
267, ,267.0, Eelektross         ,  0.03620% ,3805.0,  1.258% ,0.0,  0.000% , 
268, ,268.0, Poliwrath          ,  0.03601% ,1758.0,  0.581% ,0.0,  0.000% , 
269, ,269.0, Shedinja           ,  0.03366% ,5857.0,  1.936% ,0.0,  0.000% , 
