, , Rank , Pokemon            , Usage %   , Raw    , %       , Real   , %       .1, .1
1, ,1.0, Landorus-Therian   , 40.19920% ,1321864.0, 29.611% ,1142262.0, 33.048% , 
2, ,2.0, Ferrothorn         , 24.99947% ,751421.0, 16.833% ,644282.0, 18.640% , 
3, ,3.0, Magearna           , 23.48020% ,632921.0, 14.178% ,503620.0, 14.571% , 
4, ,4.0, Tornadus-Therian   , 21.88222% ,444578.0,  9.959% ,350559.0, 10.142% , 
5, ,5.0, Greninja-Ash       , 20.98766% ,731739.0, 16.392% ,535229.0, 15.485% , 
6, ,6.0, Toxapex            , 19.94607% ,453666.0, 10.163% ,354002.0, 10.242% , 
7, ,7.0, Chansey            , 17.93095% ,334008.0,  7.482% ,256935.0,  7.434% , 
8, ,8.0, Heatran            , 16.65789% ,613617.0, 13.746% ,505086.0, 14.613% , 
9, ,9.0, Tapu Koko          , 15.47426% ,669848.0, 15.005% ,536102.0, 15.510% , 
10, ,10.0, Gliscor            , 14.52195% ,402882.0,  9.025% ,316303.0,  9.151% , 
11, ,11.0, Kartana            , 14.39575% ,542521.0, 12.153% ,400948.0, 11.600% , 
12, ,12.0, Clefable           , 11.44868% ,268265.0,  6.009% ,198251.0,  5.736% , 
13, ,13.0, Skarmory           , 11.33263% ,228669.0,  5.122% ,190610.0,  5.515% , 
14, ,14.0, Zapdos             , 11.05032% ,406588.0,  9.108% ,327172.0,  9.466% , 
15, ,15.0, Tapu Fini          , 10.94322% ,347590.0,  7.786% ,286583.0,  8.291% , 
16, ,16.0, Tapu Lele          , 10.70512% ,419326.0,  9.393% ,317439.0,  9.184% , 
17, ,17.0, Swampert-Mega      , 10.66148% ,260803.0,  5.842% ,213742.0,  6.184% , 
18, ,18.0, Pelipper           , 10.08829% ,259806.0,  5.820% ,238665.0,  6.905% , 
19, ,19.0, Latias-Mega        , 10.04430% ,69618.0,  1.560% ,53163.0,  1.538% , 
20, ,20.0, Rotom-Wash         ,  9.55335% ,441976.0,  9.901% ,373626.0, 10.810% , 
21, ,21.0, Excadrill          ,  9.46935% ,378883.0,  8.487% ,296988.0,  8.592% , 
22, ,22.0, Tapu Bulu          ,  8.82986% ,302431.0,  6.775% ,233140.0,  6.745% , 
23, ,23.0, Lopunny-Mega       ,  8.64674% ,261810.0,  5.865% ,203594.0,  5.890% , 
24, ,24.0, Mawile-Mega        ,  8.62756% ,241789.0,  5.416% ,180001.0,  5.208% , 
25, ,25.0, Garchomp           ,  8.45903% ,469682.0, 10.521% ,375585.0, 10.866% , 
26, ,26.0, Reuniclus          ,  8.27198% ,70413.0,  1.577% ,50981.0,  1.475% , 
27, ,27.0, Celesteela         ,  8.25559% ,311238.0,  6.972% ,248980.0,  7.203% , 
28, ,28.0, Greninja           ,  8.13301% ,424053.0,  9.499% ,326388.0,  9.443% , 
29, ,29.0, Tangrowth          ,  7.28541% ,248935.0,  5.576% ,195536.0,  5.657% , 
30, ,30.0, Medicham-Mega      ,  7.10476% ,254073.0,  5.691% ,203042.0,  5.874% , 
31, ,31.0, Scizor-Mega        ,  6.97382% ,239140.0,  5.357% ,185424.0,  5.365% , 
32, ,32.0, Manaphy            ,  6.43297% ,79125.0,  1.772% ,57695.0,  1.669% , 
33, ,33.0, Diancie-Mega       ,  6.21475% ,179559.0,  4.022% ,146286.0,  4.232% , 
34, ,34.0, Hawlucha           ,  6.03407% ,297084.0,  6.655% ,202614.0,  5.862% , 
35, ,35.0, Magnezone          ,  5.82524% ,296200.0,  6.635% ,232624.0,  6.730% , 
36, ,36.0, Serperior          ,  5.45067% ,404275.0,  9.056% ,297814.0,  8.616% , 
37, ,37.0, Jirachi            ,  5.44207% ,188508.0,  4.223% ,147544.0,  4.269% , 
38, ,38.0, Ditto              ,  5.38534% ,78573.0,  1.760% ,57624.0,  1.667% , 
39, ,39.0, Tyranitar-Mega     ,  5.19533% ,190516.0,  4.268% ,146321.0,  4.233% , 
40, ,40.0, Volcarona          ,  5.15144% ,333452.0,  7.470% ,240441.0,  6.956% , 
41, ,41.0, Kommo-o            ,  5.12005% ,240327.0,  5.384% ,178233.0,  5.157% , 
42, ,42.0, Victini            ,  4.68487% ,265000.0,  5.936% ,204481.0,  5.916% , 
43, ,43.0, Sableye-Mega       ,  4.28969% ,118960.0,  2.665% ,104901.0,  3.035% , 
44, ,44.0, Weavile            ,  4.18484% ,154702.0,  3.465% ,114310.0,  3.307% , 
45, ,45.0, Blacephalon        ,  4.12606% ,206950.0,  4.636% ,150291.0,  4.348% , 
