Rank,Pokemon,Weighted Usage %,Real Usage,Real Usage %
1,Landorus-Therian,43.7927,1321864,29.611
2,Magearna,26.42564,632921,14.178
3,Ferrothorn,20.06015,751421,16.833
4,Greninja-Ash,19.67491,731739,16.392
5,Tornadus-Therian,18.39604,444578,9.959
6,Tapu Koko,17.70629,669848,15.005
7,Kartana,16.88674,542521,12.153
8,Heatran,15.28831,613617,13.746
9,Toxapex,13.66474,453666,10.163
10,Tapu Lele,12.5482,419326,9.393
11,Tapu Fini,11.61908,347590,7.786
12,Chansey,10.49986,334008,7.482
13,Excadrill,10.44043,378883,8.487
14,Zapdos,10.3961,406588,9.108
15,Garchomp,10.25141,469682,10.521
16,Rotom-Wash,10.12847,441976,9.901
17,Greninja,9.75094,424053,9.499
18,Tapu Bulu,9.52554,302431,6.775
19,Medicham-Mega,8.70954,254073,5.691
20,Mawile-Mega,8.60716,241789,5.416
21,Swampert-Mega,8.4703,260803,5.842
22,Pelipper,8.35372,259806,5.82
23,Gliscor,8.32276,402882,9.025
24,Serperior,8.2774,404275,9.056
25,Celesteela,7.72631,311238,6.972
26,Hawlucha,7.63336,297084,6.655
27,Clefable,7.4511,268265,6.009
28,Tangrowth,7.21618,248935,5.576
29,Victini,7.12773,265000,5.936
30,Magnezone,6.96931,296200,6.635
31,Scizor-Mega,6.77055,239140,5.357
32,Lopunny-Mega,6.65077,261810,5.865
33,Skarmory,6.53671,228669,5.122
34,Kommo-o,6.51556,240327,5.384
35,Volcarona,5.80119,333452,7.47
36,Jirachi,5.43062,188508,4.223
37,Gyarados-Mega,5.2138,167813,3.759
38,Alakazam-Mega,5.2137,285326,6.392
39,Kyurem-Black,5.15875,211337,4.734
40,Latias-Mega,4.97315,69618,1.56
41,Diancie-Mega,4.90489,179559,4.022
42,Tyranitar,4.78279,274619,6.152
43,Blacephalon,4.76309,206950,4.636
44,Tyranitar-Mega,4.72429,190516,4.268
45,Reuniclus,4.65783,70413,1.577
46,Azumarill,4.28619,228295,5.114
47,Charizard-Mega-X,3.96526,281690,6.31
48,Manaphy,3.74201,79125,1.772
49,Charizard-Mega-Y,3.54936,239613,5.368
50,Hoopa-Unbound,3.24165,88218,1.976
51,Mew,3.23123,156703,3.51
52,Keldeo,3.22051,134126,3.005
53,Ditto,3.20232,78573,1.76
54,Sableye-Mega,3.00838,118960,2.665
55,Pinsir-Mega,2.93938,101006,2.263
56,Weavile,2.90695,154702,3.465
57,Dragonite,2.8601,202608,4.539
58,Gyarados,2.67977,111147,2.49
59,Bisharp,2.57887,103215,2.312
60,Venusaur-Mega,2.54171,172131,3.856
61,Mimikyu,2.3992,190198,4.261
62,Hippowdon,2.08847,57590,1.29
63,Crawdaunt,2.0595,58607,1.313
64,Gastrodon,2.03915,71762,1.608
65,Thundurus-Therian,1.87344,81723,1.831
66,Cresselia,1.80608,62895,1.409
67,Slowbro,1.78615,48862,1.095
68,Amoonguss,1.75461,52058,1.166
69,Marowak-Alola,1.71829,67688,1.516
70,Ribombee,1.71304,60071,1.346
71,Latios-Mega,1.53517,50959,1.142
72,Mamoswine,1.46815,74902,1.678
73,Thundurus,1.46218,52011,1.165
74,Hydreigon,1.43078,82555,1.849
75,Salamence,1.39352,106508,2.386
76,Latios,1.39178,85528,1.916
77,Garchomp-Mega,1.36342,72635,1.627
78,Kingdra,1.35241,65360,1.464
79,Heracross-Mega,1.28348,54265,1.216
80,Seismitoad,1.20648,31038,0.695
81,Muk-Alola,1.20198,72020,1.613
82,Slowbro-Mega,1.19849,27886,0.625
83,Gengar,1.14495,114734,2.57
84,Gallade-Mega,1.14001,78513,1.759
85,Araquanid,1.05846,61941,1.388
86,Breloom,1.05511,113228,2.536
