Rank,Pokemon,Weighted Usage %
1,Landorus-Therian,41.69428
2,Magearna,23.54051
3,Greninja-Ash,17.56835
4,Tapu Koko,16.83604
5,Ferrothorn,16.57651
6,Kartana,16.29754
7,Heatran,15.85506
8,Tapu Lele,14.48586
9,Tornadus-Therian,13.94596
10,Zapdos,12.01291
11,Toxapex,11.27732
12,Tapu Bulu,10.5384
13,Tapu Fini,10.51403
14,Chansey,10.43782
15,Rotom-Wash,10.34281
16,Excadrill,10.01657
17,Victini,9.99081
18,Garchomp,9.89917
19,Greninja,9.3406
20,Serperior,9.28579
21,Mawile-Mega,8.871
22,Hawlucha,8.41586
23,Kommo-o,8.2631
24,Medicham-Mega,8.09405
25,Clefable,7.71598
26,Scizor-Mega,7.44016
27,Gliscor,7.24891
28,Skarmory,6.80567
29,Pelipper,6.57775
30,Celesteela,6.57229
31,Swampert-Mega,6.53144
32,Lopunny-Mega,6.46094
33,Magnezone,6.37927
34,Volcarona,6.08061
35,Charizard-Mega-X,5.91739
36,Tangrowth,5.4531
37,Kyurem-Black,5.34927
38,Jirachi,5.25018
39,Tyranitar,5.03738
40,Blacephalon,4.74611
41,Alakazam-Mega,4.67837
42,Gyarados-Mega,4.59488
43,Keldeo,4.51937
44,Latias-Mega,4.46403
45,Tyranitar-Mega,4.37555
46,Diancie-Mega,4.36136
47,Pinsir-Mega,4.11912
48,Sableye-Mega,3.91961
49,Azumarill,3.78518
50,Ditto,3.76575
51,Charizard-Mega-Y,3.55502
52,Mimikyu,3.31363
53,Dragonite,3.22675
54,Hoopa-Unbound,3.21513
55,Manaphy,2.974
56,Mew,2.65673
57,Venusaur-Mega,2.64947
58,Marowak-Alola,2.57653
59,Weavile,2.57023
60,Bisharp,2.52121
61,Gastrodon,2.26065
62,Reuniclus,2.2333
63,Crawdaunt,2.18833
64,Cresselia,2.17191
65,Ribombee,2.14479
66,Torkoal,2.14129
67,Gyarados,2.05647
68,Thundurus-Therian,1.95366
69,Slowbro,1.89642
70,Hydreigon,1.88685
71,Hippowdon,1.81448
72,Mamoswine,1.76465
73,Kingdra,1.63668
74,Salamence,1.56226
75,Latios-Mega,1.51157
76,Araquanid,1.49548
77,Venusaur,1.48734
78,Muk-Alola,1.27209
79,Heracross-Mega,1.26823
80,Buzzwole,1.25048
81,Seismitoad,1.24245
82,Quagsire,1.22378
83,Breloom,1.20082
84,Amoonguss,1.18997
85,Garchomp-Mega,1.18179
86,Conkeldurr,1.15499
87,Ninetales-Alola,1.14549
88,Alomomola,1.10756
89,Kyurem,1.09408
90,Latios,1.0918
91,Cloyster,1.05266
92,Diggersby,1.04987
93,Shedinja,1.01182
94,Alakazam,1.00862
