Rank,Pokemon,Weighted Usage %,Real Usage,Real Usage %
1,Landorus-Therian,51.74725,1276045,30.367
2,Magearna,24.47485,499786,11.894
3,Tapu Koko,20.95282,701058,16.684
4,Greninja-Ash,18.29296,617762,14.701
5,Heatran,17.1804,533639,12.699
6,Kartana,16.18864,412618,9.819
7,Naganadel,16.11623,438908,10.445
8,Ferrothorn,14.82629,565507,13.458
9,Tapu Lele,14.58256,365602,8.701
10,Zygarde,12.90239,295698,7.037
11,Toxapex,12.73636,434107,10.331
12,Greninja,11.94879,394214,9.381
13,Tyranitar,11.60192,352154,8.38
14,Excadrill,10.34095,353579,8.414
15,Tapu Bulu,9.79704,283984,6.758
16,Celesteela,9.11298,352261,8.383
17,Scizor-Mega,8.9957,267795,6.373
18,Blacephalon,8.64258,311781,7.42
19,Latios,8.61765,255008,6.069
20,Keldeo,8.45295,200218,4.765
21,Mimikyu,8.42059,339707,8.084
22,Lopunny-Mega,7.84118,303748,7.229
23,Chansey,7.78158,294010,6.997
24,Pinsir-Mega,7.66855,179015,4.26
25,Hawlucha,7.29428,267997,6.378
26,Zapdos,7.28799,257830,6.136
27,Clefable,7.2875,233323,5.553
28,Tapu Fini,6.95666,287670,6.846
29,Magnezone,6.55018,235662,5.608
30,Gyarados-Mega,6.45462,162150,3.859
31,Tangrowth,6.30205,217747,5.182
32,Mawile-Mega,6.195,174479,4.152
33,Bisharp,6.18037,259903,6.185
34,Skarmory,6.09451,248083,5.904
35,Stakataka,5.71995,176625,4.203
36,Medicham-Mega,5.71478,176559,4.202
37,Mew,5.53084,215471,5.128
38,Kyurem-Black,4.96948,166700,3.967
39,Diancie-Mega,4.96921,165653,3.942
40,Garchomp,4.84632,324243,7.716
41,Charizard-Mega-X,4.61009,268836,6.398
42,Tyranitar-Mega,4.4675,151684,3.61
43,Venusaur-Mega,4.46448,211773,5.04
44,Victini,4.30127,153927,3.663
45,Volcarona,4.13524,261135,6.214
46,Marowak-Alola,4.07077,203444,4.842
47,Pelipper,3.94934,169545,4.035
48,Sableye-Mega,3.75048,115285,2.744
49,Rotom-Wash,3.72853,163362,3.888
50,Swampert-Mega,3.52389,164310,3.91
51,Alakazam-Mega,3.22161,180380,4.293
52,Charizard-Mega-Y,2.97736,216089,5.142
53,Shuckle,2.90917,97513,2.321
54,Cresselia,2.82339,62430,1.486
55,Gliscor,2.73816,171329,4.077
56,Hoopa-Unbound,2.68425,72523,1.726
57,Latias-Mega,2.66635,45240,1.077
58,Serperior,2.63028,156270,3.719
59,Ditto,2.48626,54123,1.288
60,Gengar,2.46922,228137,5.429
61,Uxie,2.36679,45890,1.092
62,Ninetales-Alola,2.31001,142281,3.386
63,Weavile,2.28313,120944,2.878
64,Tornadus-Therian,2.10079,60325,1.436
65,Mantine,2.08059,59357,1.413
66,Jirachi,2.05847,83527,1.988
67,Kommo-o,2.02158,88826,2.114
68,Kingdra,1.9648,111048,2.643
69,Latios-Mega,1.96285,47727,1.136
70,Dragonite,1.90478,241275,5.742
71,Crawdaunt,1.90315,47405,1.128
72,Ribombee,1.84682,63033,1.5
73,Gyarados,1.77079,90376,2.151
74,Azumarill,1.54992,100919,2.402
75,Quagsire,1.54404,36402,0.866
76,Alomomola,1.51566,28463,0.677
77,Volcanion,1.49349,57853,1.377
78,Hippowdon,1.48177,53553,1.274
79,Lycanroc-Dusk,1.4778,149748,3.564
80,Manaphy,1.40988,71829,1.709
81,Araquanid,1.32407,59962,1.427
82,Porygon2,1.25874,60886,1.449
83,Buzzwole,1.17139,66151,1.574
84,Mamoswine,1.1578,63740,1.517
85,Latias,1.14401,45244,1.077
86,Manectric-Mega,1.12501,70821,1.685
87,Nihilego,1.11932,57335,1.364
88,Thundurus,1.11459,42390,1.009
89,Gastrodon,1.07551,45476,1.082
90,Heracross-Mega,1.07549,58530,1.393
91,Amoonguss,1.07053,40467,0.963
92,Reuniclus,1.06689,28258,0.672
93,Muk-Alola,1.05328,62606,1.49
94,Thundurus-Therian,1.02708,67786,1.613
