Rank,Pokemon,Weighted Usage %,Real Usage,Real Usage %
1,Landorus-Therian,40.70085,964461,26.965
2,Magearna,26.10497,428323,11.975
3,Greninja-Ash,20.59657,565112,15.8
4,Heatran,19.95714,560178,15.662
5,Zygarde,18.69877,349013,9.758
6,Tapu Koko,17.34755,530418,14.83
7,Kartana,16.72606,418046,11.688
8,Tornadus-Therian,15.4502,264828,7.404
9,Ferrothorn,14.87331,539184,15.075
10,Tapu Lele,13.2683,305990,8.555
11,Toxapex,12.47011,352105,9.844
12,Zapdos,12.43305,330480,9.24
13,Tapu Bulu,11.72284,269978,7.548
14,Greninja,11.52804,329402,9.21
15,Excadrill,11.49599,272145,7.609
16,Clefable,10.04167,274018,7.661
17,Mawile-Mega,9.99097,214040,5.984
18,Chansey,9.85401,290790,8.13
19,Tangrowth,9.5151,220897,6.176
20,Tapu Fini,8.33379,212188,5.932
21,Scizor-Mega,8.14012,228585,6.391
22,Garchomp,7.89915,306779,8.577
23,Medicham-Mega,7.82464,203261,5.683
24,Blacephalon,7.76261,207014,5.788
25,Victini,7.15159,180422,5.044
26,Serperior,6.83881,277304,7.753
27,Celesteela,6.64163,223788,6.257
28,Hawlucha,6.52976,208099,5.818
29,Gyarados-Mega,6.34439,149431,4.178
30,Kyurem-Black,6.23675,185216,5.178
31,Charizard-Mega-X,5.95371,288626,8.07
32,Alakazam-Mega,5.77426,220842,6.174
33,Pelipper,5.7558,150099,4.197
34,Swampert-Mega,5.71124,156910,4.387
35,Rotom-Wash,5.58276,268469,7.506
36,Gliscor,5.46591,321483,8.988
37,Pinsir-Mega,5.12134,119398,3.338
38,Magnezone,5.09376,188630,5.274
39,Skarmory,5.06004,189467,5.297
40,Tyranitar,4.96243,200763,5.613
41,Mimikyu,4.91776,217031,6.068
42,Lopunny-Mega,4.8724,187752,5.249
43,Mew,4.8714,140761,3.935
44,Volcarona,4.79152,243011,6.794
45,Keldeo,4.57297,126264,3.53
46,Jirachi,4.4753,131101,3.665
47,Sableye-Mega,3.97391,121965,3.41
48,Manaphy,3.61287,67355,1.883
49,Diancie-Mega,3.57747,78902,2.206
50,Charizard-Mega-Y,3.55931,207168,5.792
51,Hippowdon,3.28001,62813,1.756
52,Tyranitar-Mega,3.08154,96052,2.685
53,Hoopa-Unbound,2.92418,106868,2.988
54,Weavile,2.33307,139104,3.889
55,Bisharp,2.28798,81426,2.277
56,Venusaur-Mega,2.28563,137097,3.833
57,Gastrodon,2.24746,114644,3.205
58,Latias-Mega,2.23981,45238,1.265
59,Crawdaunt,2.18311,53952,1.508
60,Ribombee,2.13808,39792,1.113
61,Gyarados,2.13079,93903,2.625
62,Azumarill,2.11631,93613,2.617
63,Dragonite,2.09292,149234,4.172
64,Reuniclus,2.05704,39923,1.116
65,Amoonguss,1.78433,43443,1.215
66,Thundurus-Therian,1.78395,63738,1.782
67,Heracross-Mega,1.75388,48908,1.367
68,Kommo-o,1.75201,62417,1.745
69,Ninetales-Alola,1.74692,87631,2.45
70,Kingdra,1.72042,63164,1.766
71,Ditto,1.71853,51094,1.429
72,Araquanid,1.69068,53432,1.494
73,Hydreigon,1.65327,59516,1.664
74,Mamoswine,1.54279,63900,1.787
75,Quagsire,1.53231,41152,1.151
76,Muk-Alola,1.50599,68998,1.929
77,Marowak-Alola,1.46518,54285,1.518
78,Latios-Mega,1.40849,38049,1.064
79,Latios,1.39298,77848,2.177
80,Shuckle,1.29289,59930,1.676
81,Slowbro,1.28436,33620,0.94
82,Volcanion,1.27791,44381,1.241
83,Garchomp-Mega,1.25679,54599,1.527
84,Cresselia,1.1997,41923,1.172
85,Salamence,1.15021,82129,2.296
86,Xurkitree,1.1227,58190,1.627
87,Gengar,1.10322,113995,3.187
88,Buzzwole,1.0991,45061,1.26
89,Slowbro-Mega,1.09139,22166,0.62
90,Aggron-Mega,1.01446,28768,0.804
91,Alomomola,1.0039,16946,0.474
