Rank,Pokemon,Weighted Usage %,Real Usage,Real Usage %
1,Aegislash,30.22708,173842,17.78
2,Tapu Koko,23.67374,205579,21.026
3,Pheromosa,19.81851,185112,18.932
4,Landorus-Therian,18.73396,110446,11.296
5,Toxapex,18.1263,186532,19.078
6,Landorus,17.51109,99961,10.224
7,Genesect,16.69058,80167,8.199
8,Tapu Lele,16.47921,110592,11.311
9,Tapu Fini,15.71056,90853,9.292
10,Marowak-Alola,15.05936,151252,15.469
11,Celesteela,12.55094,101996,10.432
12,Tapu Bulu,11.88402,94654,9.681
13,Zygarde,10.42125,52185,5.337
14,Scizor-Mega,10.30782,93526,9.565
15,Ferrothorn,10.17034,68995,7.056
16,Heatran,9.86634,69914,7.15
17,Garchomp,9.40255,81522,8.338
18,Dugtrio,8.6225,56982,5.828
19,Latios,8.55017,59696,6.105
20,Buzzwole,8.43791,75401,7.712
21,Hoopa-Unbound,8.15836,40927,4.186
22,Magearna,7.92393,63124,6.456
23,Skarmory,7.72845,52155,5.334
24,Mantine,7.62834,53199,5.441
25,Venusaur-Mega,7.50924,47185,4.826
26,Greninja,7.48746,65723,6.722
27,Metagross-Mega,7.31705,57914,5.923
28,Chansey,7.04993,39149,4.004
29,Xurkitree,6.93947,85452,8.74
30,Charizard-Mega-X,6.79198,56341,5.762
31,Excadrill,6.70391,49131,5.025
32,Kartana,6.68378,77062,7.882
33,Rotom-Wash,6.43566,48578,4.968
34,Clefable,6.10793,41240,4.218
35,Porygon-Z,5.95988,42693,4.366
36,Mimikyu,5.90094,68661,7.022
37,Bisharp,5.86784,28087,2.873
38,Sableye-Mega,5.65683,28274,2.892
39,Pelipper,5.6134,68896,7.046
40,Manaphy,5.10984,21566,2.206
41,Pinsir-Mega,5.08017,38341,3.921
42,Gyarados-Mega,4.86991,28785,2.944
43,Magnezone,4.49065,39920,4.083
44,Alakazam-Mega,4.47728,42012,4.297
45,Nihilego,4.16441,41058,4.199
46,Zapdos,4.13918,22145,2.265
47,Kingdra,4.07374,45213,4.624
48,Mandibuzz,3.88112,23682,2.422
49,Greninja-Ash,3.77764,67136,6.866
50,Tyranitar,3.57611,35766,3.658
51,Hippowdon,3.49224,34638,3.543
52,Ninetales-Alola,2.8672,42705,4.368
53,Gliscor,2.8491,30060,3.074
54,Dragonite,2.76411,30615,3.131
55,Tornadus-Therian,2.63607,18202,1.862
56,Mamoswine,2.62703,22314,2.282
57,Charizard-Mega-Y,2.60763,34082,3.486
58,Azumarill,2.55492,27648,2.828
59,Keldeo,2.42211,17648,1.805
60,Weavile,2.3549,27435,2.806
61,Azelf,2.25114,15770,1.613
62,Necrozma,2.23924,22995,2.352
63,Kommo-o,2.19982,49210,5.033
64,Latias,2.08631,20393,2.086
65,Zygarde-10%,2.0245,15154,1.55
66,Amoonguss,1.83539,12537,1.282
67,Scizor,1.759,14550,1.488
68,Tangrowth,1.73388,13075,1.337
69,Kyurem-Black,1.69567,11487,1.175
70,Salazzle,1.64513,54324,5.556
71,Decidueye,1.64315,61627,6.303
72,Minior,1.58397,43439,4.443
73,Raichu-Alola,1.47324,33642,3.441
74,Golisopod,1.47156,42044,4.3
75,Pyukumuku,1.44627,18749,1.918
76,Volcarona,1.42407,18859,1.929
77,Terrakion,1.4153,5751,0.588
78,Starmie,1.41398,17034,1.742
79,Blissey,1.37512,8627,0.882
80,Araquanid,1.36835,32092,3.282
81,Hydreigon,1.36443,12367,1.265
82,Muk-Alola,1.33309,22729,2.325
83,Thundurus,1.30605,9049,0.925
84,Jirachi,1.29671,13763,1.408
85,Dhelmise,1.16104,25919,2.651
86,Aerodactyl-Mega,1.12775,12651,1.294
87,Mew,1.09466,15477,1.583
88,Shuckle,1.01458,6970,0.713
89,Sharpedo-Mega,1.01392,8191,0.838
90,Primarina,1.00832,28155,2.88
91,Volcanion,1.00786,14411,1.474
