Rank,Pokemon,Weighted Usage %,Real Usage,Real Usage %
1,Landorus-Therian,44.83647,1270091,28.284
2,Magearna,27.4828,599033,13.34
3,Greninja-Ash,20.45589,771713,17.185
4,Tapu Koko,18.62086,674104,15.012
5,Kartana,18.52377,576883,12.847
6,Ferrothorn,17.48062,722753,16.095
7,Tornadus-Therian,16.16387,382304,8.514
8,Heatran,14.86104,597009,13.295
9,Tapu Lele,12.53137,374279,8.335
10,Zapdos,11.32464,416755,9.281
11,Greninja,11.1394,445780,9.927
12,Tapu Fini,11.09708,331860,7.39
13,Garchomp,10.90414,468068,10.423
14,Toxapex,10.86344,430092,9.578
15,Rotom-Wash,10.33919,427532,9.521
16,Excadrill,10.14838,336271,7.488
17,Medicham-Mega,9.41296,232783,5.184
18,Tapu Bulu,8.77952,290960,6.479
19,Chansey,8.35419,348511,7.761
20,Celesteela,8.0722,337655,7.519
21,Mawile-Mega,8.06446,237376,5.286
22,Kommo-o,7.81225,278796,6.209
23,Serperior,7.64623,387156,8.622
24,Pelipper,7.59283,244307,5.441
25,Swampert-Mega,7.38411,248703,5.538
26,Tangrowth,7.23568,237040,5.279
27,Victini,7.0376,241976,5.389
28,Scizor-Mega,6.95207,245158,5.459
29,Clefable,6.70899,272739,6.074
30,Magnezone,6.56524,277036,6.169
31,Hawlucha,6.47692,268992,5.99
32,Lopunny-Mega,6.27748,272677,6.072
33,Gliscor,5.79861,414500,9.231
34,Kyurem-Black,5.77465,204278,4.549
35,Tyranitar,5.75077,265988,5.923
36,Skarmory,5.59247,227983,5.077
37,Volcarona,5.51643,311938,6.947
38,Blacephalon,5.33681,222879,4.963
39,Charizard-Mega-X,5.26005,309415,6.89
40,Jirachi,5.24258,180920,4.029
41,Alakazam-Mega,5.04749,271016,6.035
42,Diancie-Mega,5.03214,191451,4.263
43,Gyarados-Mega,4.73841,166423,3.706
44,Keldeo,4.41079,155908,3.472
45,Azumarill,4.37627,150646,3.355
46,Charizard-Mega-Y,3.77741,235023,5.234
47,Mew,3.76312,162137,3.611
48,Pinsir-Mega,3.67703,124965,2.783
49,Tyranitar-Mega,3.53102,131855,2.936
50,Sableye-Mega,3.52625,121095,2.697
51,Hoopa-Unbound,3.52367,127682,2.843
52,Mimikyu,3.41102,263725,5.873
53,Latias-Mega,3.38737,62154,1.384
54,Venusaur-Mega,3.35529,200757,4.471
55,Dragonite,2.92482,202413,4.508
56,Manaphy,2.47894,55387,1.233
57,Weavile,2.40855,142438,3.172
58,Reuniclus,2.36337,54963,1.224
59,Hippowdon,2.2142,61595,1.372
60,Cresselia,2.21335,68301,1.521
61,Latios-Mega,2.08725,52502,1.169
62,Bisharp,2.05325,104253,2.322
63,Araquanid,1.97611,79785,1.777
64,Ribombee,1.7973,60216,1.341
65,Ditto,1.79389,70496,1.57
66,Kingdra,1.77293,78070,1.739
67,Amoonguss,1.76261,56244,1.253
68,Gastrodon,1.70824,70476,1.569
69,Crawdaunt,1.66151,50895,1.133
70,Hydreigon,1.65303,70862,1.578
71,Marowak-Alola,1.64888,78670,1.752
72,Latios,1.60063,85706,1.909
73,Heracross-Mega,1.56767,55186,1.229
74,Thundurus,1.46057,50049,1.115
75,Garchomp-Mega,1.45065,82659,1.841
76,Thundurus-Therian,1.38399,82643,1.84
77,Muk-Alola,1.37575,85556,1.905
78,Volcanion,1.36375,69042,1.538
79,Salamence,1.362,89914,2.002
80,Mamoswine,1.34034,71986,1.603
81,Manectric-Mega,1.335,78722,1.753
82,Gyarados,1.28872,102494,2.282
83,Slowbro,1.2235,40395,0.9
84,Quagsire,1.20689,46022,1.025
85,Buzzwole,1.18399,56422,1.256
86,Zeraora,1.16684,100291,2.233
87,Torkoal,1.15708,46528,1.036
88,Beedrill-Mega,1.05324,106860,2.38
89,Kyurem,1.00188,17778,0.396
