Rank,Pokemon,Weighted Usage %,Real Usage,Real Usage %
1,Landorus-Therian,43.32226,455137,25.331
2,Tapu Koko,25.08007,308998,17.198
3,Magearna,22.24705,201670,11.224
4,Ferrothorn,18.0597,258498,14.387
5,Greninja-Ash,17.6438,255296,14.209
6,Tapu Lele,16.18874,156167,8.692
7,Heatran,15.59353,205623,11.444
8,Zygarde,15.34291,138545,7.711
9,Greninja,13.38693,194360,10.817
10,Excadrill,12.00606,157844,8.785
11,Toxapex,11.65294,159428,8.873
12,Celesteela,11.48393,160483,8.932
13,Latios,10.86069,112738,6.275
14,Kartana,10.84693,125290,6.973
15,Mew,10.82714,115242,6.414
16,Scizor-Mega,10.55535,111399,6.2
17,Tangrowth,9.66552,117372,6.533
18,Mimikyu,9.11394,151864,8.452
19,Tapu Fini,9.08256,138988,7.736
20,Zapdos,8.92382,117200,6.523
21,Tapu Bulu,8.61896,106581,5.932
22,Garchomp,8.58551,175749,9.782
23,Chansey,8.56842,128674,7.162
24,Clefable,8.30783,107286,5.971
25,Keldeo,8.30585,82273,4.579
26,Mawile-Mega,7.26666,83947,4.672
27,Magnezone,7.16573,107659,5.992
28,Diancie-Mega,7.1653,78363,4.361
29,Pelipper,7.13971,98465,5.48
30,Skarmory,7.01787,116881,6.505
31,Pinsir-Mega,6.80713,61189,3.406
32,Kyurem-Black,6.68214,79869,4.445
33,Hawlucha,6.53021,89423,4.977
34,Lopunny-Mega,6.29996,111271,6.193
35,Swampert-Mega,6.24612,93571,5.208
36,Tyranitar,6.21323,109741,6.108
37,Victini,5.5708,61601,3.428
38,Charizard-Mega-X,5.30633,119624,6.658
39,Medicham-Mega,5.3003,69099,3.846
40,Marowak-Alola,4.76001,97567,5.43
41,Volcarona,4.62775,124361,6.921
42,Venusaur-Mega,4.44838,89735,4.994
43,Gyarados-Mega,4.39802,58323,3.246
44,Kingdra,4.33611,64022,3.563
45,Sableye-Mega,3.949,52074,2.898
46,Ninetales-Alola,3.78267,76015,4.231
47,Bisharp,3.70545,96864,5.391
48,Charizard-Mega-Y,3.63554,104968,5.842
49,Manaphy,3.6083,42902,2.388
50,Hoopa-Unbound,3.44711,36204,2.015
51,Alakazam-Mega,3.362,78331,4.36
52,Gengar,3.24709,113974,6.343
53,Tyranitar-Mega,3.06814,51716,2.878
54,Latias-Mega,2.94171,19601,1.091
55,Serperior,2.77415,77091,4.291
56,Dragonite,2.75182,112433,6.258
57,Jirachi,2.58365,41997,2.337
58,Mantine,2.3065,24203,1.347
59,Gyarados,2.21785,46785,2.604
60,Azelf,2.19639,30681,1.708
61,Cresselia,2.04517,22031,1.226
62,Dugtrio,2.03615,26900,1.497
63,Weavile,2.00251,49347,2.746
64,Tornadus-Therian,1.96801,28353,1.578
65,Rotom-Wash,1.85651,63377,3.527
66,Hippowdon,1.8534,26523,1.476
67,Azumarill,1.81201,49533,2.757
68,Manectric-Mega,1.80921,39743,2.212
69,Nihilego,1.69508,35954,2.001
70,Shuckle,1.65065,31547,1.756
71,Latias,1.59187,24620,1.37
72,Ditto,1.57866,21936,1.221
73,Crawdaunt,1.51634,18598,1.035
74,Quagsire,1.49874,16749,0.932
75,Uxie,1.46742,11976,0.667
76,Suicune,1.42508,21173,1.178
77,Smeargle,1.38929,35534,1.978
78,Salamence,1.36256,42823,2.383
79,Thundurus-Therian,1.36157,32297,1.798
80,Mamoswine,1.31498,29799,1.659
81,Gallade-Mega,1.29594,41153,2.29
82,Gliscor,1.26358,61643,3.431
83,Heracross-Mega,1.25766,33627,1.872
84,Mandibuzz,1.243,23986,1.335
85,Gastrodon,1.19836,24988,1.391
86,Thundurus,1.19076,19528,1.087
87,Amoonguss,1.07587,22339,1.243
